,maxval,maxdate,maxarg
1981,18.791536,1981-05-06,217
1982,30.898325,1982-04-26,207
1983,15.361889,1983-04-27,208
1984,12.37246,1984-05-02,214
1985,16.905704,1985-04-10,191
1986,16.809235,1986-04-09,190
1987,17.530184,1987-04-09,190
1988,9.592832,1988-03-20,171
1989,12.11331,1989-03-21,171
1990,18.405521,1990-03-12,162
1991,14.083219,1991-03-16,166
1992,15.437572,1992-02-12,134
1993,15.775318,1993-01-29,120
1994,11.816262,1994-02-20,142
1995,18.806894,1995-02-24,146
1996,18.512978,1996-02-03,125
1997,12.358358,1997-02-09,131
1998,21.181421,1998-01-22,113
1999,18.143078,1999-01-15,106
2000,11.744705,2000-01-06,97
2001,8.496897,2000-12-26,86
2002,16.626337,2002-01-08,99
2003,15.362141,2003-01-03,94
2004,22.87638,2004-01-02,93
2005,8.11852,2004-12-18,78
2006,11.856754,2005-12-08,68
2007,13.534189,2006-12-08,68
2008,16.875364,2007-11-28,58
2009,16.058565,2008-11-11,41
2010,15.681205,2009-11-27,57
2011,19.13489,2010-11-25,55
2012,12.419669,2012-09-30,365
2013,14.966851,2012-10-27,26
2014,4.4463115,2014-01-22,113
2015,13.04752,2015-02-17,139
2016,16.64948,2016-02-14,136
2017,18.520462,2017-02-15,137
2018,15.526466,2018-02-20,142
2019,17.395365,2019-02-05,127
2020,8.17952,2020-01-13,104
2021,12.939402,2021-01-19,110
2022,14.460445,2022-01-21,112
2023,20.535522,2023-01-21,112
2024,17.857426,2024-01-13,104
2025,14.594792,2024-12-29,89
2026,11.358444,2025-12-23,83
2027,6.8252163,2026-11-21,51
2028,10.993705,2027-12-13,73
2029,12.439473,2028-11-30,60
2030,12.828822,2029-12-14,74
2031,11.88626,2031-09-29,363
2032,14.509903,2031-11-07,37
2033,20.300226,2032-11-27,57
2034,14.50833,2033-11-12,42
2035,15.389247,2035-09-30,364
2036,17.913216,2035-11-12,42
2037,14.454697,2037-09-30,364
2038,15.034442,2037-10-20,19
2039,15.357034,2038-10-17,16
2040,16.569391,2040-09-18,353
2041,17.195423,2040-10-10,9
2042,9.690454,2042-09-22,356
2043,14.600061,2043-09-17,351
2044,12.690916,2043-10-09,8
2045,15.999104,2045-09-07,341
2046,13.433246,2045-10-01,0
2047,20.075657,2047-09-04,338
2048,22.2529,2048-08-21,325
2049,11.145913,2048-10-02,1
2050,13.220186,2050-08-06,309
2051,8.003617,2051-07-26,298
2052,10.417804,2052-07-10,283
2053,9.668846,2053-07-07,279
2054,8.886558,2054-07-13,285
2055,11.212006,2055-07-11,283
2056,7.902012,2056-06-19,262
2057,16.66552,2057-07-11,283
2058,11.590816,2058-06-21,263
2059,13.60216,2059-06-23,265
2060,11.087579,2060-06-03,246
2061,9.199434,2061-06-12,254
2062,19.331984,2062-05-31,242
2063,9.923109,2063-05-23,234
2064,10.236099,2064-05-31,243
2065,10.03965,2065-04-29,210
2066,13.868538,2066-05-12,223
2067,16.412369,2067-05-14,225
2068,13.911795,2068-05-07,219
2069,15.948243,2069-05-16,227
2070,8.543805,2070-03-30,180
2071,18.786495,2071-04-21,202
2072,16.965084,2072-03-28,179
2073,11.972952,2073-04-06,187
2074,19.531776,2074-04-10,191
2075,10.554984,2075-03-14,164
2076,10.28759,2076-03-06,157
2077,10.483323,2077-02-28,150
2078,14.742518,2078-03-08,158
2079,9.760972,2079-03-16,166
2080,12.63887,2080-04-01,183
2081,13.102196,2081-01-30,121
2082,8.6305065,2082-02-14,136
2083,9.038188,2083-01-21,112
2084,5.8594255,2084-01-05,96
2085,14.191496,2085-01-31,122
2086,11.746549,2086-02-07,129
2087,19.564579,2087-01-16,107
2088,11.750231,2088-01-23,114
2089,7.6249204,2089-01-16,107
2090,8.165132,2090-01-09,100
2091,12.750539,2090-12-25,85
2092,8.201572,2091-12-16,76
2093,10.406624,2092-12-12,72
2094,8.956079,2093-12-02,62
2095,15.771569,2094-11-30,60
2096,3.4434426,2096-09-30,365
2097,7.4602656,2096-11-11,41
