,maxval,maxdate,maxarg
1981,25.332405,1981-04-09,190
1982,45.43061,1982-04-20,201
1983,19.177357,1983-04-23,204
1984,12.029328,1984-03-23,174
1985,30.520622,1985-04-10,191
1986,9.160428,1986-03-28,178
1987,26.739752,1987-04-05,186
1988,16.792318,1988-02-23,145
1989,11.677282,1989-02-10,132
1990,29.520267,1990-03-03,153
1991,21.82559,1991-02-15,137
1992,17.335314,1992-02-07,129
1993,15.13172,1993-02-09,131
1994,9.41391,1994-01-27,118
1995,24.605873,1995-02-01,123
1996,14.464374,1996-01-22,113
1997,12.161149,1997-02-05,127
1998,20.422894,1998-01-13,104
1999,11.969259,1999-01-07,98
2000,12.364506,2000-01-04,95
2001,11.6116295,2001-09-30,364
2002,18.815495,2001-12-31,91
2003,23.546387,2003-01-02,93
2004,27.38711,2003-12-11,71
2005,18.412916,2004-12-16,76
2006,14.618783,2005-11-22,52
2007,11.3811655,2006-11-29,59
2008,21.477533,2008-09-30,365
2009,23.463202,2008-11-05,35
2010,17.406563,2009-11-23,53
2011,17.713839,2010-11-20,50
2012,27.309874,2012-09-30,365
2013,30.526186,2012-10-29,28
2014,11.517574,2014-01-27,118
2015,19.8922,2015-02-10,132
2016,12.732993,2016-02-05,127
2017,25.010082,2017-01-25,116
2018,18.662258,2018-01-31,122
2019,19.414143,2019-01-29,120
2020,16.343334,2020-01-10,101
2021,23.481508,2021-01-04,95
2022,18.516577,2022-09-30,364
2023,33.293552,2023-01-16,107
2024,11.007336,2024-09-30,365
2025,19.505527,2024-12-29,89
2026,18.774282,2025-12-21,81
2027,13.440567,2026-11-21,51
2028,12.00957,2028-09-30,365
2029,17.977167,2028-11-20,50
2030,8.288615,2029-10-09,8
2031,10.089846,2030-11-13,43
2032,23.516428,2032-09-27,362
2033,25.73778,2032-11-19,49
2034,22.905867,2033-10-30,29
2035,19.501925,2034-11-02,32
2036,17.039444,2035-10-09,8
2037,22.761036,2037-09-21,355
2038,21.34608,2038-09-30,364
2039,25.351814,2039-09-30,364
2040,26.34779,2039-10-09,8
2041,18.973248,2040-10-03,2
2042,15.396205,2042-08-24,327
2043,15.078758,2043-08-30,333
2044,13.734611,2044-07-22,295
2045,18.115662,2045-08-26,329
2046,22.760397,2046-08-08,311
2047,33.395725,2047-08-16,319
2048,29.940996,2048-08-07,311
2049,14.255657,2049-08-11,314
2050,19.941935,2050-08-03,306
2051,13.887283,2051-06-30,272
2052,10.075962,2052-07-13,286
2053,22.316633,2053-06-22,264
2054,11.966602,2054-07-12,284
2055,11.09905,2055-06-29,271
2056,5.6797338,2056-04-30,212
2057,16.665031,2057-07-04,276
2058,17.060873,2058-06-07,249
2059,12.942394,2059-05-15,226
2060,13.198224,2060-05-23,235
2061,17.647175,2061-05-31,242
2062,26.249601,2062-05-19,230
2063,12.282456,2063-05-13,224
2064,19.965387,2064-05-18,230
2065,8.022872,2065-04-27,208
2066,24.560991,2066-04-11,192
2067,14.1990185,2067-05-12,223
2068,8.729051,2068-04-01,183
2069,13.50424,2069-04-12,193
2070,13.2091675,2070-03-24,174
2071,14.1154995,2071-04-06,187
2072,17.029083,2072-03-25,176
2073,15.294569,2073-03-18,168
2074,8.204135,2074-03-05,155
2075,14.252092,2075-03-10,160
2076,20.348171,2076-02-07,129
2077,9.807124,2077-02-22,144
2078,11.906346,2078-02-06,128
2079,10.335527,2079-01-29,120
2080,4.6704793,2080-01-21,112
2081,20.498232,2081-01-25,116
2082,3.3271673,2082-01-03,94
2083,6.002609,2083-01-12,103
2084,12.779556,2084-01-06,97
2085,16.158007,2085-01-08,99
2086,6.656687,2085-12-11,71
2087,17.747673,2086-12-14,74
2088,14.272845,2087-12-23,83
2089,10.309613,2088-12-06,66
2090,7.1318593,2090-09-28,362
2091,13.144226,2090-12-09,69
2092,8.673507,2091-12-12,72
2093,10.258612,2092-11-16,46
2094,10.297684,2094-09-30,364
2095,14.529735,2094-10-23,22
2096,7.4014654,2095-11-28,58
2097,3.7252963,2097-09-30,364
