,maxval,maxdate,maxarg
1981,34.08016,1981-03-24,174
1982,21.81057,1982-02-20,142
1983,13.841781,1983-01-21,112
1984,3.996934,1984-01-31,122
1985,20.253473,1985-03-07,157
1986,8.519461,1986-02-05,127
1987,18.53674,1987-03-11,161
1988,32.940613,1988-02-23,145
1989,6.8567376,1989-02-03,125
1990,19.766146,1990-01-22,113
1991,11.158941,1990-11-03,33
1992,3.3615913,1992-01-03,94
1993,14.578397,1992-12-14,74
1994,14.80939,1993-12-08,68
1995,30.457897,1995-01-03,94
1996,11.544015,1996-01-21,112
1997,6.391796,1997-09-30,364
1998,10.913955,1998-09-30,364
1999,21.44967,1998-11-08,38
2000,5.4427733,2000-09-14,349
2001,7.8668623,2001-09-27,361
2002,11.010145,2002-08-27,330
2003,10.0564995,2002-10-26,25
2004,15.816023,2003-11-02,32
2005,15.589558,2004-12-02,62
2006,16.322592,2006-09-30,364
2007,17.592863,2006-10-11,10
2008,18.269505,2007-10-30,29
2009,10.073372,2009-09-30,364
2010,14.607059,2010-09-08,342
2011,12.641839,2010-10-28,27
2012,9.447166,2012-08-24,328
2013,2.3313606,2012-10-11,10
2014,6.1551075,2013-12-07,67
2015,7.6096745,2015-02-05,127
2016,2.1827838,2015-10-30,29
2017,7.5110006,2016-12-01,61
2018,20.486078,2017-11-02,32
2019,11.252377,2018-11-03,33
2020,7.6482377,2020-09-30,365
2021,17.00264,2020-11-03,33
2022,5.317952,2022-01-06,97
2023,25.691763,2022-11-25,55
2024,10.324,2024-09-12,347
2025,8.031895,2025-09-21,355
2026,16.45788,2025-12-01,61
2027,7.880141,2027-09-13,347
2028,7.5691614,2027-11-22,52
2029,1.7362263,2029-07-12,284
2030,7.3627977,2030-08-17,320
2031,13.897805,2031-09-17,351
2032,13.513744,2031-10-25,24
2033,6.482719,2033-06-28,270
2034,3.6977098,2034-09-10,344
2035,4.731714,2034-10-23,22
2036,5.7018423,2036-08-19,323
2037,12.113241,2037-06-22,264
2038,2.1751688,2038-06-13,255
2039,7.1039343,2039-09-22,356
2040,5.134941,2039-10-01,0
2041,3.4556673,2041-08-12,315
2042,0.94798845,2042-08-08,311
2043,1.1849364,2043-05-09,220
2044,2.2475264,2044-05-12,224
2045,11.221824,2045-07-25,297
2046,17.511024,2046-07-04,276
2047,14.404982,2047-07-24,296
2048,2.9293776,2048-06-15,258
2049,3.80382,2049-04-04,185
2050,3.7943912,2050-06-28,270
2051,10.699606,2051-05-20,231
2052,3.9267423,2052-03-23,174
2053,9.036637,2053-04-18,199
2054,1.2704451,2054-07-11,283
2055,4.282037,2055-06-29,271
2056,4.0016,2056-02-28,150
2057,12.526596,2057-05-24,235
2058,1.6927876,2058-05-31,242
2059,1.6682225,2059-04-29,210
2060,0.9401405,2060-03-06,157
2061,2.6256645,2061-02-27,149
2062,7.1351905,2062-03-31,181
2063,1.8720329,2063-02-11,133
2064,3.4699817,2064-02-01,123
2065,5.932495,2065-04-05,186
2066,8.623464,2066-03-10,160
2067,1.3906426,2066-12-21,81
2068,0.25595778,2068-01-12,103
2069,0.02460101,2069-02-22,144
2070,6.102804,2070-02-13,135
2071,1.0434818,2071-03-29,179
2072,6.854428,2072-02-23,145
2073,2.483997,2072-12-10,70
2074,2.1929097,2074-01-04,95
2075,3.9744396,2074-12-30,90
2076,5.788057,2076-01-07,98
2077,1.2644273,2076-12-08,68
2078,1.151585,2077-12-31,91
2079,2.8343205,2078-11-22,52
2080,1.4975781,2079-12-07,67
2081,3.8106709,2080-11-28,58
2082,0.634779,2081-11-13,43
2083,0.014201855,2082-12-07,67
2084,3.918568,2083-12-14,74
2085,3.3330772,2084-11-27,57
2086,2.362587,2085-10-14,13
2087,1.3663675,2086-10-29,28
2088,0.0033601385,2087-10-08,7
2089,0.027112465,2088-11-18,48
2090,0.27415875,2090-09-15,349
2091,9.36949e-06,2091-08-29,332
2092,1.1427469,2091-10-14,13
2093,0.349967,2092-11-12,42
2094,0.66571766,2094-09-27,361
2095,0.46550328,2095-08-08,311
2096,1.4512283,2095-11-11,41
2097,2.1646314,2097-08-13,316
