,maxval,maxdate,maxarg
1981,29.060965,1981-03-24,174
1982,20.918137,1982-02-19,141
1983,13.239773,1983-01-21,112
1984,3.9703035,1984-01-31,122
1985,18.365685,1985-03-07,157
1986,8.641077,1986-02-05,127
1987,15.439551,1987-03-10,160
1988,28.227602,1988-01-27,118
1989,5.1316648,1989-02-03,125
1990,18.690578,1990-01-22,113
1991,10.500955,1990-11-03,33
1992,2.643556,1992-01-03,94
1993,13.577936,1992-12-14,74
1994,14.020486,1993-12-08,68
1995,26.919092,1995-01-03,94
1996,8.948326,1996-01-21,112
1997,5.902419,1997-09-30,364
1998,10.112878,1998-09-30,364
1999,19.1966,1998-11-08,38
2000,4.8490105,1999-11-19,49
2001,7.728454,2001-09-27,361
2002,11.196478,2002-08-27,330
2003,9.743007,2002-10-26,25
2004,14.390386,2003-11-02,32
2005,14.365941,2004-12-02,62
2006,14.783754,2006-09-30,364
2007,15.5983305,2006-10-11,10
2008,17.702394,2007-10-24,23
2009,8.637204,2009-08-24,327
2010,13.200758,2010-09-08,342
2011,9.897571,2010-10-28,27
2012,9.00424,2012-08-24,328
2013,1.7885909,2013-05-31,242
2014,6.9435706,2013-12-07,67
2015,5.9790874,2015-02-05,127
2016,2.2727385,2015-10-30,29
2017,6.8067393,2016-12-01,61
2018,18.31085,2017-11-02,32
2019,10.03225,2018-11-03,33
2020,7.3437705,2020-09-30,365
2021,15.91831,2020-11-03,33
2022,5.4129,2021-10-01,0
2023,24.050457,2022-11-25,55
2024,10.241172,2024-09-12,347
2025,7.95006,2025-09-21,355
2026,14.84257,2025-12-01,61
2027,6.429957,2027-09-13,347
2028,6.228362,2028-07-21,294
2029,1.3902029,2029-07-12,284
2030,6.4603424,2030-08-17,320
2031,13.796114,2031-09-17,351
2032,12.976059,2031-10-25,24
2033,5.678502,2033-09-23,357
2034,3.166194,2033-10-01,0
2035,4.133144,2035-08-10,313
2036,5.4363093,2036-08-19,323
2037,12.068191,2037-06-22,264
2038,2.0037673,2038-07-29,301
2039,5.5469446,2039-09-22,356
2040,3.9868631,2040-08-07,311
2041,3.1940484,2041-05-13,224
2042,1.1796952,2042-06-10,252
2043,1.1829566,2043-05-09,220
2044,2.723603,2044-05-12,224
2045,9.609595,2045-07-25,297
2046,16.964216,2046-07-04,276
2047,13.752267,2047-07-24,296
2048,3.3936274,2048-06-15,258
2049,3.630334,2049-04-04,185
2050,3.3873239,2050-06-28,270
2051,10.317814,2051-05-20,231
2052,3.8544917,2052-03-24,175
2053,9.017761,2053-04-18,199
2054,1.1294332,2054-07-11,283
2055,3.9714653,2055-05-01,212
2056,3.678396,2056-02-28,150
2057,11.608116,2057-05-24,235
2058,1.2367661,2058-05-31,242
2059,1.609393,2059-04-28,209
2060,1.1012495,2060-03-07,158
2061,3.239525,2061-02-27,149
2062,6.8443995,2062-03-31,181
2063,1.5077838,2063-02-11,133
2064,3.4657462,2064-02-01,123
2065,6.3337154,2065-04-06,187
2066,9.459247,2066-03-10,160
2067,1.1912397,2066-12-22,82
2068,0.26618078,2068-01-12,103
2069,0.096843004,2069-02-22,144
2070,5.346937,2070-02-13,135
2071,1.308002,2071-01-12,103
2072,6.583016,2072-02-23,145
2073,2.315698,2072-12-10,70
2074,2.0400772,2074-01-04,95
2075,3.71535,2074-12-30,90
2076,5.3428864,2076-01-08,99
2077,1.3982049,2076-12-08,68
2078,1.2517064,2077-12-31,91
2079,2.6367743,2078-11-22,52
2080,1.9752243,2079-12-07,67
2081,4.224249,2080-11-28,58
2082,0.6115261,2081-11-24,54
2083,0.028907998,2082-12-07,67
2084,3.464675,2083-12-15,75
2085,3.5432866,2084-11-27,57
2086,2.4937582,2085-10-16,15
2087,1.3983889,2086-10-29,28
2088,0.014863796,2088-09-11,346
2089,0.024703607,2088-11-18,48
2090,0.6809396,2090-09-15,349
2091,0.0016121335,2091-09-14,348
2092,1.2360762,2091-10-14,13
2093,0.32390884,2092-11-12,42
2094,0.5970889,2094-09-27,361
2095,0.43443665,2095-08-08,311
2096,1.0708513,2095-11-11,41
2097,2.1053436,2097-08-13,316
