,maxval,maxdate,maxarg
1981,11.169137,1981-03-28,178
1982,16.44426,1982-04-22,203
1983,8.110739,1983-03-26,176
1984,10.0369835,1984-03-22,173
1985,14.675409,1985-04-09,190
1986,11.452466,1986-03-15,165
1987,15.246693,1987-03-28,178
1988,7.80005,1988-02-17,139
1989,12.687442,1989-02-10,132
1990,13.624352,1990-02-26,148
1991,12.894953,1991-02-12,134
1992,10.287593,1992-02-01,123
1993,12.874451,1993-02-05,127
1994,11.139503,1994-01-12,103
1995,11.763515,1995-02-02,124
1996,12.126206,1996-01-20,111
1997,8.553129,1996-12-24,84
1998,13.117768,1998-01-01,92
1999,7.353076,1999-01-07,98
2000,7.1816883,1999-12-04,64
2001,10.26842,2000-12-25,85
2002,12.087168,2002-01-01,92
2003,21.821953,2003-01-02,93
2004,10.975319,2003-12-05,65
2005,12.130431,2004-12-18,78
2006,12.016463,2005-11-18,48
2007,9.79345,2006-11-10,40
2008,7.982382,2007-10-31,30
2009,8.692349,2008-10-27,26
2010,9.629404,2009-11-12,42
2011,13.72358,2011-09-30,364
2012,13.739209,2011-10-07,6
2013,12.685307,2012-10-12,11
2014,11.118658,2014-01-25,116
2015,10.073983,2015-02-10,132
2016,12.081326,2016-02-03,125
2017,14.144462,2017-01-21,112
2018,12.76537,2018-02-02,124
2019,14.15809,2019-01-12,103
2020,8.9320135,2019-12-02,62
2021,10.981223,2020-12-18,78
2022,12.68921,2022-01-11,102
2023,16.049395,2022-12-31,91
2024,9.696842,2023-12-28,88
2025,10.963423,2024-11-23,53
2026,7.747211,2025-12-06,66
2027,8.1543045,2026-11-17,47
2028,10.316676,2027-12-11,71
2029,10.257161,2028-11-16,46
2030,8.272753,2029-11-19,49
2031,11.245182,2030-11-11,41
2032,10.321165,2031-11-02,32
2033,10.331283,2032-10-10,9
2034,11.078062,2033-10-16,15
2035,13.060915,2034-10-29,28
2036,13.51324,2035-10-09,8
2037,10.153986,2036-10-22,21
2038,8.960671,2038-09-10,344
2039,14.025639,2039-09-30,364
2040,15.284693,2039-10-07,6
2041,11.417841,2041-08-28,331
2042,7.5634036,2042-08-19,322
2043,9.786862,2043-08-30,333
2044,12.316634,2044-08-27,331
2045,9.74715,2045-09-15,349
2046,11.005189,2046-08-08,311
2047,14.12064,2047-08-26,329
2048,9.175469,2048-08-08,312
2049,6.7917295,2049-07-01,273
2050,11.336067,2050-08-16,319
2051,14.527933,2051-07-03,275
2052,9.12419,2052-07-12,285
2053,14.062635,2053-06-26,268
2054,8.078472,2054-07-06,278
2055,9.481752,2055-06-24,266
2056,6.52523,2056-05-24,236
2057,10.33979,2057-06-29,271
2058,10.536814,2058-06-06,248
2059,8.276382,2059-05-07,218
2060,7.7948236,2060-05-25,237
2061,8.203858,2061-05-31,242
2062,9.933741,2062-05-19,230
2063,3.8476336,2063-04-22,203
2064,10.756562,2064-05-16,228
2065,7.9682837,2065-04-08,189
2066,8.578871,2066-03-26,176
2067,3.598737,2067-05-13,224
2068,5.0535007,2068-04-12,194
2069,6.6145787,2069-02-25,147
2070,6.232467,2070-03-24,174
2071,7.151588,2071-03-30,180
2072,8.850087,2072-03-26,177
2073,12.432078,2073-03-19,169
2074,4.340039,2074-03-03,153
2075,10.241654,2075-02-20,142
2076,7.552981,2076-02-05,127
2077,6.406461,2077-02-22,144
2078,6.7400403,2078-02-03,125
2079,7.468076,2079-01-29,120
2080,5.8403993,2080-01-21,112
2081,6.1996574,2081-01-25,116
2082,5.85016,2082-01-05,96
2083,6.124955,2082-12-08,68
2084,8.072032,2084-01-09,100
2085,8.393549,2085-01-02,93
2086,5.5410104,2085-11-06,36
2087,5.235237,2086-12-18,78
2088,3.7709377,2087-12-16,76
2089,4.241444,2088-12-07,67
2090,5.0909677,2090-09-27,361
2091,5.638829,2091-09-30,364
2092,8.855021,2091-12-11,71
2093,7.8614597,2092-11-15,45
2094,3.3744235,2094-09-30,364
2095,6.1074624,2094-10-23,22
2096,6.3230915,2095-12-06,66
2097,5.2266927,2097-09-27,361
