,maxval,maxdate,maxarg
1981,4.3180876,1981-03-23,173
1982,3.0466015,1982-03-02,152
1983,3.022425,1983-02-13,135
1984,4.296093,1984-03-08,159
1985,4.252416,1985-02-05,127
1986,6.2353883,1986-03-31,181
1987,6.113065,1987-02-23,145
1988,2.0817316,1988-01-29,120
1989,4.5813136,1989-02-20,142
1990,5.6505833,1990-02-26,148
1991,3.969684,1991-02-14,136
1992,3.9602523,1992-01-24,115
1993,3.8351772,1993-01-29,120
1994,4.289944,1994-01-17,108
1995,6.367291,1995-01-25,116
1996,1.6739401,1995-12-12,72
1997,2.3200638,1996-12-15,75
1998,4.9329867,1998-01-02,93
1999,3.3583004,1998-12-24,84
2000,1.40873,1999-11-24,54
2001,3.341119,2000-12-12,72
2002,6.444693,2001-12-28,88
2003,5.2516747,2002-12-10,70
2004,3.4821665,2003-10-27,26
2005,2.194881,2005-09-30,364
2006,4.5393724,2005-11-16,46
2007,2.4299276,2006-10-24,23
2008,3.129465,2008-09-30,365
2009,5.6729813,2009-09-28,362
2010,6.0768585,2009-10-19,18
2011,6.5409713,2010-11-10,40
2012,2.123849,2012-09-30,365
2013,2.3831007,2013-07-09,281
2014,4.8775663,2014-01-22,113
2015,3.3685987,2015-01-24,115
2016,4.920055,2016-01-18,109
2017,3.411367,2017-01-16,107
2018,0.95943826,2017-11-25,55
2019,4.9454865,2019-02-02,124
2020,1.4452397,2019-11-14,44
2021,2.9527009,2020-11-27,57
2022,5.0990744,2021-12-28,88
2023,5.786047,2022-12-31,91
2024,3.1007235,2023-12-20,80
2025,3.5471601,2024-11-24,54
2026,1.968319,2025-10-23,22
2027,1.5760376,2026-11-05,35
2028,2.3114774,2028-09-30,365
2029,5.890293,2028-11-13,43
2030,2.3442605,2030-09-29,363
2031,3.4665797,2030-10-23,22
2032,3.8248892,2031-10-25,24
2033,6.845344,2033-09-30,364
2034,7.5672474,2033-10-16,15
2035,4.268225,2034-10-09,8
2036,4.892102,2036-09-30,365
2037,5.024492,2037-09-23,357
2038,3.845667,2037-10-01,0
2039,4.345388,2039-08-14,317
2040,2.1265695,2040-08-24,328
2041,1.5586584,2041-08-03,306
2042,3.3682256,2042-08-19,322
2043,5.174251,2043-08-28,331
2044,2.4687064,2044-07-21,294
2045,5.392909,2045-08-17,320
2046,2.9206402,2046-07-06,278
2047,6.974965,2047-07-26,298
2048,4.3074656,2048-07-19,292
2049,1.140434,2049-05-30,241
2050,2.629315,2050-06-24,266
2051,2.0813391,2051-06-20,262
2052,3.3627703,2052-06-17,260
2053,5.2293887,2053-06-21,263
2054,7.935755,2054-07-05,277
2055,3.8415906,2055-06-14,256
2056,1.9394748,2056-04-28,210
2057,2.600711,2057-05-17,228
2058,3.1078794,2058-06-08,250
2059,0.90261716,2059-05-01,212
2060,2.554336,2060-05-19,231
2061,1.539413,2061-03-13,163
2062,1.0242476,2062-03-25,175
2063,3.7835858,2063-05-04,215
2064,0.67545056,2064-04-08,190
2065,2.4284096,2065-03-17,167
2066,1.6021669,2066-03-15,165
2067,1.8131521,2067-02-25,147
2068,3.1169844,2068-03-05,156
2069,1.6814034,2069-03-20,170
2070,1.816856,2070-03-05,155
2071,2.3986578,2071-02-26,148
2072,3.4058626,2072-03-19,170
2073,1.8638994,2073-02-12,134
2074,3.9367275,2074-03-09,159
2075,2.5349693,2075-02-06,128
2076,0.5386347,2076-01-05,96
2077,1.764454,2077-01-08,99
2078,1.699271,2078-01-18,109
2079,3.955603,2079-01-28,119
2080,1.4614197,2080-01-16,107
2081,0.6726421,2081-01-02,93
2082,3.3049011,2082-01-05,96
2083,0.9316205,2083-02-09,131
2084,1.168078,2083-12-04,64
2085,0.8867746,2084-12-16,76
2086,0.7471212,2085-11-01,31
2087,0.7121617,2086-12-07,67
2088,2.9217842,2087-12-09,69
2089,2.8441286,2088-12-08,68
2090,0.8630327,2089-12-11,71
2091,1.7409196,2090-11-09,39
2092,2.5578842,2092-09-23,358
2093,3.1279354,2092-11-04,34
2094,1.5897374,2093-11-14,44
2095,1.851898,2094-10-25,24
2096,0.8113028,2095-10-08,7
2097,2.1291683,2096-10-13,12
