,maxval,maxdate,maxarg
1981,61.328297,1981-03-25,175
1982,45.70871,1982-03-08,158
1983,31.948292,1983-03-23,173
1984,13.405371,1984-02-16,138
1985,56.786983,1985-03-25,175
1986,28.653622,1986-03-12,162
1987,43.7927,1987-03-23,173
1988,49.473106,1988-02-22,144
1989,11.956666,1989-02-08,130
1990,48.61052,1990-02-25,147
1991,33.121304,1991-02-03,125
1992,17.388954,1992-01-04,95
1993,23.382372,1992-12-14,74
1994,26.567192,1993-12-11,71
1995,51.48778,1995-01-02,93
1996,25.759909,1996-01-22,113
1997,22.81128,1997-09-30,364
1998,38.087543,1997-12-30,90
1999,36.037415,1998-11-21,51
2000,10.870061,1999-11-25,55
2001,26.340092,2000-12-19,79
2002,18.602127,2001-11-20,50
2003,29.193785,2002-11-26,56
2004,34.895664,2003-12-09,69
2005,36.493984,2004-11-28,58
2006,28.469753,2005-11-16,46
2007,30.259718,2006-11-08,38
2008,36.163616,2008-09-23,358
2009,34.739536,2008-10-01,0
2010,39.843346,2010-09-22,356
2011,45.10444,2010-10-28,27
2012,29.022371,2012-08-27,331
2013,24.417494,2012-10-09,8
2014,24.48849,2014-01-13,104
2015,32.472164,2015-02-09,131
2016,18.950502,2016-01-07,98
2017,31.824896,2016-12-24,84
2018,41.134724,2018-01-31,122
2019,26.525389,2018-11-18,48
2020,27.705948,2020-01-09,100
2021,37.87156,2021-01-03,94
2022,19.696953,2022-09-30,364
2023,44.50256,2022-11-26,56
2024,15.054608,2024-09-12,347
2025,16.09046,2024-10-15,14
2026,31.21438,2025-12-05,65
2027,16.103296,2027-09-30,364
2028,25.1973,2027-12-10,70
2029,4.127835,2028-10-30,29
2030,17.264025,2030-08-17,320
2031,31.577839,2030-11-22,52
2032,16.61193,2031-10-26,25
2033,29.996258,2033-09-18,352
2034,29.567547,2033-10-14,13
2035,25.638176,2034-10-25,24
2036,12.927778,2035-10-01,0
2037,20.777882,2037-06-22,264
2038,11.415313,2037-10-01,0
2039,16.922934,2039-09-23,357
2040,19.143398,2040-09-17,352
2041,13.366126,2040-10-02,1
2042,3.9680727,2042-07-13,285
2043,9.453766,2043-05-09,220
2044,12.334072,2044-06-23,266
2045,15.089729,2045-07-26,298
2046,40.608276,2046-06-24,266
2047,33.17351,2047-07-24,296
2048,9.078716,2048-07-04,277
2049,7.291295,2049-05-03,214
2050,3.9721172,2050-07-22,294
2051,19.860123,2051-05-15,226
2052,4.7238927,2052-03-22,173
2053,19.712973,2053-04-19,200
2054,10.353159,2054-06-17,259
2055,17.512794,2055-06-29,271
2056,4.6687975,2056-06-13,256
2057,17.016214,2057-07-04,276
2058,4.2931023,2058-05-13,224
2059,5.2632236,2059-04-30,211
2060,2.8224404,2060-04-05,187
2061,17.641243,2061-03-09,159
2062,21.601204,2062-03-31,181
2063,5.7530956,2063-03-14,164
2064,6.8196716,2064-02-01,123
2065,9.866262,2065-03-31,181
2066,10.376153,2066-03-12,162
2067,5.6275067,2066-12-19,79
2068,1.3303143,2068-01-17,108
2069,3.5966308,2069-01-17,108
2070,18.922783,2070-03-22,172
2071,8.293593,2071-03-30,180
2072,20.677471,2072-03-06,157
2073,12.79067,2072-12-10,70
2074,8.768203,2074-02-17,139
2075,4.9446187,2075-01-03,94
2076,19.83805,2076-02-01,123
2077,4.083726,2077-02-21,143
2078,8.845512,2077-12-31,91
2079,9.012338,2079-01-22,113
2080,4.3686366,2080-02-27,149
2081,6.135687,2081-01-24,115
2082,1.7343683,2081-11-13,43
2083,2.6804678,2083-03-13,163
2084,6.9412446,2083-12-15,75
2085,3.3755214,2084-12-30,90
2086,6.3939652,2085-10-29,28
2087,4.2526765,2086-11-24,54
2088,1.4183707,2087-11-29,59
2089,1.6314865,2088-12-05,65
2090,1.1863112,2089-10-01,0
2091,2.5491867,2090-11-30,60
2092,4.4428434,2091-12-12,72
2093,2.094632,2092-12-27,87
2094,3.5019395,2094-09-30,364
2095,3.1962528,2094-10-01,0
2096,7.177155,2095-10-19,18
2097,5.0556,2097-08-29,332
