,maxval,maxdate,maxarg
1981,1.5650942,1981-01-17,108
1982,2.3478506,1981-12-31,91
1983,1.1863588,1983-03-26,176
1984,1.0929691,1984-03-18,169
1985,2.1711712,1984-12-08,68
1986,1.8280386,1986-01-05,96
1987,2.4481425,1986-10-19,18
1988,0.7462472,1988-03-13,164
1989,2.5746293,1988-12-23,83
1990,2.3616116,1989-11-20,50
1991,1.7814147,1990-12-06,66
1992,1.9003192,1991-11-10,40
1993,2.2571728,1992-12-28,88
1994,1.5064555,1993-12-08,68
1995,2.0350401,1995-02-10,132
1996,2.704301,1995-12-01,61
1997,1.0271782,1996-12-15,75
1998,1.7641422,1998-09-17,351
1999,2.2461603,1998-10-25,24
2000,1.8470968,2000-08-21,325
2001,1.1539987,2001-09-30,364
2002,2.132741,2002-09-30,364
2003,6.294636,2002-10-22,21
2004,1.741907,2004-01-10,101
2005,1.8147324,2005-09-19,353
2006,1.8802868,2006-09-20,354
2007,3.8273935,2007-09-05,339
2008,1.2444296,2008-06-03,246
2009,1.190592,2008-10-01,0
2010,1.6317956,2009-10-08,7
2011,7.4328294,2011-09-06,340
2012,4.7601814,2011-10-01,0
2013,0.68652964,2013-06-07,249
2014,2.7890244,2013-12-06,66
2015,1.3072582,2014-11-19,49
2016,1.4339868,2015-11-21,51
2017,2.5411026,2017-09-30,364
2018,4.111124,2017-10-26,25
2019,1.3602457,2018-10-13,12
2020,1.385202,2020-09-25,360
2021,1.6602799,2020-10-15,14
2022,1.4969194,2021-12-22,82
2023,1.2764286,2022-11-23,53
2024,1.4880955,2023-10-17,16
2025,0.63404787,2025-09-29,363
2026,3.074121,2025-10-07,6
2027,2.7736533,2027-09-17,351
2028,2.373284,2027-12-11,71
2029,1.7163653,2029-07-24,296
2030,1.7080861,2030-09-15,349
2031,1.6410905,2031-09-18,352
2032,1.6546713,2031-10-21,20
2033,1.2357259,2033-09-22,356
2034,1.2432712,2034-07-21,293
2035,2.047814,2035-09-24,358
2036,1.1979146,2036-09-24,359
2037,2.355137,2037-09-16,350
2038,1.2273515,2038-09-11,345
2039,0.9063768,2039-06-27,269
2040,2.2321708,2040-09-18,353
2041,1.5004671,2041-05-25,236
2042,1.06465,2042-06-01,243
2043,1.5702196,2043-07-22,294
2044,1.0028245,2044-04-15,197
2045,2.1079175,2045-09-29,363
2046,1.4835503,2046-07-13,285
2047,1.1911355,2047-04-23,204
2048,1.9594278,2048-08-08,312
2049,1.508484,2049-06-04,246
2050,1.0747896,2050-06-14,256
2051,2.628173,2051-05-17,228
2052,1.205849,2052-06-13,256
2053,2.6423159,2053-04-30,211
2054,1.9530516,2054-06-08,250
2055,2.3066556,2055-04-19,200
2056,1.487992,2056-04-27,209
2057,1.4010122,2057-06-11,253
2058,1.4218107,2058-06-05,247
2059,1.4139448,2059-04-25,206
2060,1.5761104,2060-03-07,158
2061,0.8085701,2061-03-31,181
2062,1.5234029,2062-03-30,180
2063,2.0617085,2063-04-01,182
2064,1.6573653,2064-04-20,202
2065,1.9547664,2065-04-21,202
2066,2.3875551,2066-01-28,119
2067,0.7513023,2067-02-21,143
2068,3.3769388,2068-04-11,193
2069,1.9778973,2069-04-02,183
2070,1.6278038,2070-04-25,206
2071,0.49005362,2071-01-14,105
2072,1.7706566,2072-02-25,147
2073,1.2233648,2073-01-09,100
2074,2.4490764,2074-02-24,146
2075,0.86514014,2075-03-09,159
2076,0.51141995,2076-03-01,152
2077,1.061668,2077-02-19,141
2078,1.2945069,2078-01-12,103
2079,1.8227311,2079-03-16,166
2080,0.8390403,2080-01-13,104
2081,0.7106124,2080-12-13,73
2082,1.2804466,2081-12-06,66
2083,1.2066032,2082-12-03,63
2084,0.9047349,2083-11-06,36
2085,2.2533603,2084-10-15,14
2086,1.3539345,2086-01-10,101
2087,1.3894279,2087-01-28,119
2088,0.49613422,2087-11-21,51
2089,1.2695879,2088-10-24,23
2090,3.226179,2090-08-20,323
2091,1.5677859,2091-01-02,93
2092,1.1664617,2092-09-24,359
2093,1.7542567,2092-12-12,72
2094,0.5623703,2094-09-24,358
2095,0.49560514,2094-11-18,48
2096,1.3877711,2095-10-07,6
2097,3.3869355,2097-08-19,322
