,maxval,maxdate,maxarg
1981,21.61982,1981-03-24,174
1982,25.352564,1982-03-21,171
1983,12.056746,1983-01-29,120
1984,1.8673277,1984-02-17,139
1985,22.124903,1985-03-06,156
1986,9.567718,1986-02-07,129
1987,19.859058,1987-03-01,151
1988,9.828079,1988-01-30,121
1989,5.8391805,1988-12-26,86
1990,17.653025,1990-01-18,109
1991,10.519575,1990-12-22,82
1992,6.912083,1992-01-04,95
1993,13.711764,1993-01-28,119
1994,16.87524,1993-12-11,71
1995,18.30056,1995-01-03,94
1996,10.2249365,1996-01-18,109
1997,11.908552,1997-09-30,364
1998,22.642336,1997-12-30,90
1999,9.849019,1998-11-09,39
2000,4.6762557,1999-11-23,53
2001,3.258164,2001-09-29,363
2002,9.234541,2002-09-26,360
2003,13.854182,2002-11-29,59
2004,14.533183,2004-09-26,361
2005,15.858535,2005-09-18,352
2006,17.910583,2005-11-15,45
2007,14.150672,2006-10-24,23
2008,10.249172,2007-10-30,29
2009,9.34297,2009-09-28,362
2010,17.694735,2010-09-22,356
2011,18.460127,2011-09-24,358
2012,18.074846,2011-10-01,0
2013,13.006859,2012-10-08,7
2014,13.09056,2014-01-12,103
2015,12.556052,2015-02-05,127
2016,11.649835,2015-12-15,75
2017,15.804337,2016-11-30,60
2018,13.656104,2018-01-29,120
2019,10.427499,2018-11-03,33
2020,12.675116,2019-11-03,33
2021,18.04299,2020-11-20,50
2022,5.6436443,2022-09-30,364
2023,13.895819,2022-11-28,58
2024,12.964139,2024-09-30,365
2025,14.568664,2024-11-19,49
2026,10.223531,2025-10-02,1
2027,9.942385,2027-09-30,364
2028,11.254218,2027-10-28,27
2029,3.8874943,2028-10-27,26
2030,9.355639,2030-09-20,354
2031,9.184007,2030-11-10,40
2032,7.8297915,2031-10-01,0
2033,14.249683,2033-09-30,364
2034,21.13953,2034-09-30,364
2035,23.366228,2034-10-25,24
2036,14.526862,2035-10-05,4
2037,11.56141,2037-08-18,321
2038,2.3160572,2038-07-14,286
2039,4.0300307,2039-09-13,347
2040,9.563242,2040-09-17,352
2041,4.711635,2041-05-21,232
2042,4.089816,2042-06-02,244
2043,8.612266,2043-08-28,331
2044,10.646122,2044-07-11,284
2045,2.7076557,2045-07-25,297
2046,15.739058,2046-07-08,280
2047,9.81328,2047-07-26,298
2048,5.008392,2048-07-15,288
2049,3.1861298,2049-05-31,242
2050,9.11872,2050-03-30,180
2051,13.006258,2051-06-19,261
2052,5.837893,2052-05-01,213
2053,7.428496,2053-06-06,248
2054,10.577282,2054-06-23,265
2055,10.855412,2055-05-27,238
2056,2.5318642,2056-03-01,152
2057,13.199753,2057-05-22,233
2058,2.3128042,2058-03-23,173
2059,3.0553064,2059-04-30,211
2060,1.519457,2060-05-15,227
2061,12.101915,2061-03-13,163
2062,12.073651,2062-03-27,177
2063,2.209041,2063-02-16,138
2064,3.400485,2064-04-19,201
2065,4.615253,2065-03-10,160
2066,7.336577,2066-02-22,144
2067,1.333601,2067-01-17,108
2068,1.6390346,2067-12-08,68
2069,1.9232934,2069-01-20,111
2070,6.6304593,2070-03-05,155
2071,4.760033,2071-03-25,175
2072,6.5212893,2072-02-22,144
2073,4.274312,2072-12-12,72
2074,3.8911805,2074-01-06,97
2075,8.825403,2075-02-06,128
2076,2.165208,2076-01-04,95
2077,3.6428623,2076-12-10,70
2078,7.103108,2078-01-07,98
2079,7.3113337,2079-01-22,113
2080,1.8437794,2079-12-30,90
2081,1.6564978,2080-11-27,57
2082,0.64126855,2081-11-30,60
2083,1.1856025,2082-11-04,34
2084,4.187686,2083-12-04,64
2085,1.68721,2084-10-17,16
2086,4.368537,2085-11-02,32
2087,1.2259223,2086-11-23,53
2088,1.172452,2087-11-30,60
2089,1.2246398,2088-10-07,6
2090,0.82145023,2090-09-14,348
2091,1.0211941,2091-08-23,326
2092,1.2169342,2091-10-10,9
2093,0.87251747,2093-07-26,298
2094,1.385358,2094-09-30,364
2095,2.2656846,2095-08-13,316
2096,1.1131252,2095-10-19,18
2097,4.1749153,2097-09-30,364
