,maxval,maxdate,maxarg
1981,23.41385,1981-03-28,178
1982,34.47886,1982-03-11,161
1983,12.410464,1983-02-24,146
1984,14.656406,1984-03-21,172
1985,28.501068,1985-03-06,156
1986,19.04525,1986-03-15,165
1987,25.875603,1987-03-02,152
1988,12.177942,1988-02-10,132
1989,14.9319,1989-02-10,132
1990,26.210306,1990-02-27,149
1991,20.218143,1991-02-13,135
1992,19.889381,1992-01-27,118
1993,21.16985,1993-02-02,124
1994,17.278318,1993-12-31,91
1995,27.897356,1995-01-15,106
1996,16.133781,1996-01-16,107
1997,21.63476,1996-12-24,84
1998,20.810575,1998-01-01,92
1999,13.623739,1998-11-28,58
2000,9.622848,1999-12-03,63
2001,17.805485,2000-12-25,85
2002,20.740162,2002-09-30,364
2003,33.22084,2002-12-10,70
2004,21.99202,2003-12-05,65
2005,23.41329,2004-11-28,58
2006,32.003124,2005-11-23,53
2007,22.704067,2006-10-26,25
2008,20.572683,2008-09-30,365
2009,21.34639,2008-10-12,11
2010,23.779747,2010-09-22,356
2011,27.965729,2011-09-27,361
2012,27.832106,2011-10-01,0
2013,21.189114,2012-10-10,9
2014,21.751562,2014-01-25,116
2015,27.056425,2015-01-28,119
2016,21.043106,2016-02-06,128
2017,28.16212,2017-01-22,113
2018,16.612291,2018-01-31,122
2019,21.175276,2019-01-10,101
2020,15.981725,2020-01-01,92
2021,30.402271,2020-12-11,71
2022,21.648458,2021-12-29,89
2023,30.831245,2022-12-14,74
2024,18.076761,2024-09-30,365
2025,33.00015,2024-12-09,69
2026,14.256499,2025-11-27,57
2027,16.827818,2026-11-15,45
2028,15.324203,2028-09-30,365
2029,25.135674,2028-11-20,50
2030,12.584181,2029-11-02,32
2031,14.524794,2030-11-05,35
2032,17.553661,2031-10-25,24
2033,23.502586,2033-09-30,364
2034,26.818916,2033-10-16,15
2035,27.185787,2035-09-30,364
2036,28.372602,2035-10-12,11
2037,28.058321,2037-09-26,360
2038,26.671782,2037-10-01,0
2039,42.340958,2039-09-16,350
2040,41.986744,2039-10-01,0
2041,24.279684,2041-08-28,331
2042,22.506678,2042-08-20,323
2043,21.274137,2043-08-30,333
2044,22.591917,2044-08-31,335
2045,9.687209,2045-08-18,321
2046,31.116608,2046-07-13,285
2047,30.510025,2047-08-16,319
2048,19.392447,2048-08-18,322
2049,20.434858,2049-06-26,268
2050,24.676353,2050-07-23,295
2051,24.797312,2051-07-03,275
2052,17.04488,2052-07-08,281
2053,25.943672,2053-06-26,268
2054,22.15012,2054-07-08,280
2055,18.152264,2055-06-22,264
2056,12.483618,2056-06-02,245
2057,19.06488,2057-06-11,253
2058,18.470179,2058-06-07,249
2059,17.118113,2059-05-08,219
2060,16.211649,2060-05-24,236
2061,15.798521,2061-04-16,197
2062,21.863937,2062-04-03,184
2063,12.02227,2063-04-27,208
2064,16.253063,2064-05-17,229
2065,13.510809,2065-04-07,188
2066,18.002073,2066-03-26,176
2067,15.36192,2067-04-17,198
2068,15.8502865,2068-04-12,194
2069,4.6006083,2069-02-28,150
2070,10.3102455,2070-03-20,170
2071,16.032745,2071-03-30,180
2072,22.141817,2072-03-21,172
2073,22.976164,2073-03-18,168
2074,14.945338,2074-03-04,154
2075,15.7984295,2075-02-14,136
2076,19.118505,2076-02-03,125
2077,19.913225,2077-02-19,141
2078,17.34375,2078-02-01,123
2079,16.100058,2079-01-27,118
2080,16.76753,2080-01-21,112
2081,18.2241,2081-01-25,116
2082,6.295584,2082-01-05,96
2083,6.9774284,2082-12-28,88
2084,17.630283,2084-01-05,96
2085,16.424637,2084-12-30,90
2086,11.450779,2086-01-01,92
2087,19.377005,2087-01-15,106
2088,15.472143,2087-12-27,87
2089,13.200878,2088-12-06,66
2090,10.533127,2090-09-26,360
2091,13.897873,2090-12-19,79
2092,18.850882,2092-09-30,365
2093,27.264078,2092-11-14,44
2094,7.0425043,2093-12-03,63
2095,11.789337,2094-11-28,58
2096,10.041316,2095-10-26,25
2097,10.03135,2097-09-30,364
