,maxval,maxdate,maxarg
1981,16.273323,1981-03-25,175
1982,10.959178,1982-03-10,160
1983,4.826839,1983-02-26,148
1984,4.7423177,1984-03-21,172
1985,7.839969,1985-02-25,147
1986,12.686043,1986-03-31,181
1987,8.730983,1987-02-24,146
1988,5.9414353,1988-01-29,120
1989,4.2278914,1989-01-26,117
1990,8.609112,1990-02-21,143
1991,11.519338,1991-02-17,139
1992,8.712636,1992-01-24,115
1993,9.637444,1993-01-29,120
1994,9.71365,1993-12-29,89
1995,9.770391,1994-12-16,76
1996,6.803531,1995-12-30,90
1997,7.5022907,1996-12-24,84
1998,10.038176,1998-01-02,93
1999,11.669705,1998-12-21,81
2000,4.1602077,1999-11-24,54
2001,6.4044304,2000-12-25,85
2002,15.897549,2002-01-01,92
2003,10.498364,2002-12-09,69
2004,8.987381,2003-12-04,64
2005,6.5059047,2004-11-16,46
2006,11.600533,2005-11-17,47
2007,6.4696245,2006-10-24,23
2008,5.198704,2007-10-26,25
2009,8.712721,2009-09-28,362
2010,9.285326,2009-10-10,9
2011,17.203709,2010-11-23,53
2012,6.5899243,2011-10-01,0
2013,7.555516,2012-10-09,8
2014,8.884272,2014-01-22,113
2015,5.07993,2015-01-28,119
2016,11.454745,2016-02-09,131
2017,9.535546,2016-12-07,67
2018,4.903894,2017-11-30,60
2019,24.223602,2019-02-02,124
2020,4.940242,2020-09-30,365
2021,14.245666,2020-11-27,57
2022,7.506864,2021-12-23,83
2023,10.924899,2022-12-31,91
2024,12.547109,2024-01-11,102
2025,9.0966215,2024-11-20,50
2026,3.2155313,2025-10-19,18
2027,3.8950415,2026-11-03,33
2028,4.7448473,2027-11-13,43
2029,11.832904,2028-11-21,51
2030,4.7792754,2030-09-30,364
2031,6.2204375,2031-09-29,363
2032,7.62908,2031-10-25,24
2033,6.2914877,2032-10-11,10
2034,8.67542,2033-10-16,15
2035,8.202103,2035-09-30,364
2036,10.256018,2035-10-10,9
2037,7.3027334,2036-10-01,0
2038,7.6788936,2038-09-28,362
2039,10.131733,2038-10-18,17
2040,2.8290706,2040-09-05,340
2041,1.7678064,2041-07-02,274
2042,5.8374343,2042-08-20,323
2043,5.606607,2043-08-26,329
2044,6.5512033,2044-07-22,295
2045,4.6623116,2045-08-17,320
2046,11.186959,2046-08-11,314
2047,8.09811,2047-07-17,289
2048,8.098111,2048-07-30,303
2049,1.1919124,2049-06-01,243
2050,7.29817,2050-08-05,308
2051,5.9939594,2051-06-24,266
2052,2.225763,2052-05-24,236
2053,6.445514,2053-06-18,260
2054,12.558754,2054-07-04,276
2055,10.216429,2055-06-14,256
2056,1.64708,2056-04-07,189
2057,6.166814,2057-06-11,253
2058,3.0426908,2058-06-07,249
2059,5.403089,2059-05-09,220
2060,5.819747,2060-05-18,230
2061,1.2969905,2061-05-30,241
2062,5.7552323,2062-04-01,182
2063,3.3344004,2063-04-22,203
2064,2.3168726,2064-04-21,203
2065,3.319901,2065-03-15,165
2066,1.3638893,2066-02-22,144
2067,2.2270627,2067-04-17,198
2068,3.5944402,2068-03-19,170
2069,14.325723,2069-05-05,216
2070,2.7722964,2070-03-06,156
2071,2.7698371,2071-02-03,125
2072,6.09148,2072-02-26,148
2073,3.5461586,2073-02-18,140
2074,5.3294926,2074-03-13,163
2075,5.351244,2075-02-07,129
2076,1.8846014,2076-02-24,146
2077,1.6449809,2076-12-11,71
2078,4.388821,2078-03-08,158
2079,4.4122,2079-01-13,104
2080,1.943612,2079-12-08,68
2081,1.1472148,2081-01-15,106
2082,3.2493315,2082-01-06,97
2083,3.9400873,2083-02-10,132
2084,3.3014464,2083-12-14,74
2085,3.7491908,2084-12-25,85
2086,2.525826,2086-02-03,125
2087,2.697824,2087-01-16,107
2088,1.4119102,2087-12-06,66
2089,2.1452558,2088-12-19,79
2090,5.4679966,2090-01-22,113
2091,3.6386476,2090-11-19,49
2092,1.923261,2091-12-22,82
2093,1.9522473,2092-11-04,34
2094,2.2192192,2093-11-14,44
2095,5.119606,2094-10-25,24
2096,1.7349716,2096-09-09,344
2097,2.8413808,2097-09-30,364
