,maxval,maxdate,maxarg
1981,27.869291,1981-03-28,178
1982,34.41228,1982-03-13,163
1983,28.79659,1983-03-25,175
1984,24.041086,1984-02-08,130
1985,35.574688,1985-03-26,176
1986,14.681688,1986-03-26,176
1987,28.926416,1987-03-29,179
1988,29.312836,1988-02-23,145
1989,18.539497,1989-02-03,125
1990,23.353725,1990-02-20,142
1991,19.935755,1991-01-28,119
1992,16.853502,1992-01-24,115
1993,24.588717,1993-02-04,126
1994,29.71172,1994-01-08,99
1995,35.314034,1995-01-15,106
1996,22.581451,1996-01-22,113
1997,17.723892,1996-12-23,83
1998,30.869537,1997-12-30,90
1999,15.550536,1998-12-27,87
2000,12.373833,1999-12-03,63
2001,16.42029,2000-12-19,79
2002,17.772947,2001-11-25,55
2003,25.51256,2002-12-09,69
2004,32.200657,2003-12-10,70
2005,35.735207,2004-12-13,73
2006,38.84593,2005-11-18,48
2007,30.411812,2006-11-09,39
2008,23.076359,2007-10-31,30
2009,24.167416,2009-09-30,364
2010,25.896395,2009-10-19,18
2011,23.053999,2011-09-30,364
2012,26.102749,2012-09-28,363
2013,27.992737,2012-10-18,17
2014,14.024086,2014-01-21,112
2015,28.10765,2015-02-09,131
2016,15.041864,2016-01-31,122
2017,34.829277,2017-01-22,113
2018,43.649094,2018-02-01,123
2019,17.805147,2018-12-11,71
2020,21.898016,2020-01-12,103
2021,36.290863,2020-12-18,78
2022,18.581964,2022-09-30,364
2023,28.407763,2022-11-29,59
2024,20.11669,2024-09-30,365
2025,31.130428,2024-12-08,68
2026,18.854792,2025-12-04,64
2027,22.199493,2026-11-16,46
2028,27.14703,2027-12-11,71
2029,15.409972,2028-11-14,44
2030,17.481176,2030-09-30,364
2031,23.65478,2030-11-11,41
2032,19.834839,2031-11-02,32
2033,21.311625,2033-09-26,360
2034,30.869595,2034-09-30,364
2035,34.537014,2034-10-28,27
2036,26.648487,2035-10-08,7
2037,18.689615,2036-10-20,19
2038,14.470825,2038-08-04,307
2039,27.534391,2039-09-24,358
2040,27.445282,2039-10-01,0
2041,24.122961,2041-08-14,317
2042,19.078825,2041-10-07,6
2043,7.265859,2043-08-18,321
2044,23.25445,2044-07-13,286
2045,9.527501,2045-08-18,321
2046,25.739725,2046-07-26,298
2047,18.656393,2047-07-27,299
2048,9.206422,2048-07-24,297
2049,17.013323,2049-07-01,273
2050,11.554068,2050-07-25,297
2051,23.51717,2051-06-25,267
2052,15.220302,2052-07-12,285
2053,21.915403,2053-06-12,254
2054,10.613807,2054-07-01,273
2055,13.290014,2055-06-23,265
2056,7.056749,2056-04-30,212
2057,16.19497,2057-05-28,239
2058,13.024116,2058-06-02,244
2059,16.294691,2059-05-07,218
2060,6.4694,2060-04-25,207
2061,12.218643,2061-03-15,165
2062,20.427572,2062-05-13,224
2063,11.114063,2063-04-21,202
2064,20.32166,2064-05-09,221
2065,16.887785,2065-04-28,209
2066,16.994682,2066-03-14,164
2067,5.8701644,2067-02-01,123
2068,5.832583,2068-03-06,157
2069,7.739528,2069-02-24,146
2070,13.710925,2070-03-29,179
2071,11.149153,2071-03-30,180
2072,14.326005,2072-03-27,178
2073,14.208463,2073-03-17,167
2074,7.7547784,2074-02-17,139
2075,15.916463,2075-02-16,138
2076,14.245584,2076-01-29,120
2077,3.4425948,2077-01-02,93
2078,5.3371964,2078-01-18,109
2079,6.6668706,2079-01-24,115
2080,9.345523,2080-01-21,112
2081,11.731987,2081-01-25,116
2082,2.2810714,2081-12-07,67
2083,6.3238845,2082-12-08,68
2084,13.1480875,2084-01-05,96
2085,11.327288,2085-01-02,93
2086,4.646563,2085-11-07,37
2087,3.9103923,2086-12-11,71
2088,2.1642728,2087-12-04,64
2089,2.8505023,2088-10-28,27
2090,5.657996,2090-09-27,361
2091,5.9500537,2090-10-09,8
2092,4.4967155,2091-10-01,0
2093,4.6639037,2092-11-15,45
2094,6.976871,2094-09-30,364
2095,7.2407026,2094-10-02,1
2096,7.3224015,2095-11-17,47
2097,3.9288633,2097-08-31,334
