,maxval,maxdate,maxarg
1981,14.61526,1981-03-28,178
1982,21.122158,1982-04-23,204
1983,12.593614,1983-04-01,182
1984,17.59124,1984-05-03,215
1985,19.866858,1985-04-05,186
1986,14.963231,1986-04-02,183
1987,18.55499,1987-03-28,178
1988,8.296778,1988-03-21,172
1989,10.773753,1989-02-28,150
1990,16.503378,1990-03-12,162
1991,12.52285,1991-02-20,142
1992,18.772715,1992-02-13,135
1993,14.703917,1993-02-02,124
1994,14.916579,1994-01-28,119
1995,14.227898,1995-01-28,119
1996,10.814741,1996-01-27,118
1997,18.396835,1997-02-08,130
1998,14.802499,1998-01-14,105
1999,11.417732,1999-01-09,100
2000,9.85759,2000-01-05,96
2001,12.464567,2000-12-26,86
2002,13.963494,2002-01-05,96
2003,20.066431,2002-12-31,91
2004,12.396161,2003-12-06,66
2005,12.2596245,2004-12-14,74
2006,18.430529,2005-12-09,69
2007,14.672742,2006-12-06,66
2008,13.77201,2008-09-30,365
2009,15.661179,2008-12-10,70
2010,12.785562,2009-11-13,43
2011,19.639109,2010-11-23,53
2012,14.806519,2011-10-26,25
2013,11.888464,2012-10-10,9
2014,12.86259,2014-01-23,114
2015,15.739594,2015-02-12,134
2016,13.575528,2016-02-10,132
2017,19.397758,2017-01-22,113
2018,11.901666,2018-02-01,123
2019,15.375118,2019-02-06,128
2020,9.861692,2020-01-02,93
2021,19.388565,2021-01-05,96
2022,16.141983,2022-01-14,105
2023,22.523914,2023-01-06,97
2024,14.178398,2024-01-12,103
2025,16.486353,2024-12-09,69
2026,11.183914,2025-12-22,82
2027,10.023882,2026-11-18,48
2028,10.213468,2027-12-12,72
2029,15.65566,2028-11-24,54
2030,13.590623,2029-12-15,75
2031,9.57375,2030-11-15,45
2032,11.095493,2031-11-02,32
2033,16.638744,2033-09-30,364
2034,20.053118,2033-11-07,37
2035,14.576059,2034-10-22,21
2036,18.054197,2035-11-13,43
2037,18.228584,2036-10-23,22
2038,18.512598,2037-10-21,20
2039,20.731277,2039-09-30,364
2040,20.96887,2039-10-05,4
2041,17.403166,2041-09-08,342
2042,14.779719,2041-10-10,9
2043,12.629297,2043-08-31,334
2044,13.464351,2044-08-23,327
2045,11.499061,2045-09-03,337
2046,18.316032,2046-08-12,315
2047,14.700899,2047-08-17,320
2048,15.792515,2048-08-19,323
2049,12.604144,2049-07-28,300
2050,16.238237,2050-08-16,319
2051,13.150103,2051-07-04,276
2052,11.124924,2052-07-15,288
2053,15.270854,2053-07-08,280
2054,13.131214,2054-07-13,285
2055,10.705362,2055-06-22,264
2056,7.8637967,2056-06-03,246
2057,14.225453,2057-06-29,271
2058,14.83649,2058-06-19,261
2059,15.351642,2059-06-23,265
2060,11.860754,2060-06-11,254
2061,7.226141,2061-05-21,232
2062,13.838904,2062-05-23,234
2063,12.355948,2063-05-20,231
2064,9.449312,2064-05-20,232
2065,8.202931,2065-04-08,189
2066,12.484427,2066-05-09,220
2067,11.604102,2067-05-15,226
2068,12.2896385,2068-04-13,195
2069,11.02361,2069-05-08,219
2070,7.184529,2070-03-21,171
2071,11.691442,2071-04-17,198
2072,14.365421,2072-03-28,179
2073,15.693378,2073-03-29,179
2074,19.464045,2074-03-27,177
2075,10.419339,2075-02-14,136
2076,11.782623,2076-02-07,129
2077,11.35091,2077-02-28,150
2078,12.895271,2078-02-28,150
2079,10.873921,2079-02-27,149
2080,10.407656,2080-02-22,144
2081,10.973285,2081-01-27,118
2082,6.8714924,2082-02-10,132
2083,8.170881,2083-01-26,117
2084,12.749612,2084-01-06,97
2085,13.612505,2085-01-01,92
2086,9.840478,2086-01-11,102
2087,13.308028,2087-01-16,107
2088,11.599826,2087-12-27,87
2089,10.319108,2088-12-20,80
2090,6.3858585,2090-09-27,361
2091,13.642809,2090-12-11,71
2092,10.559211,2092-09-30,365
2093,16.11129,2092-11-21,51
2094,10.571972,2093-12-03,63
2095,13.444902,2094-11-28,58
2096,8.04889,2095-10-27,26
2097,5.4040985,2097-09-30,364
