,maxval,maxdate,maxarg
1981,8.393351,1981-03-24,174
1982,8.684896,1982-02-20,142
1983,2.18456,1983-01-23,114
1984,1.5265125,1984-01-31,122
1985,10.963255,1985-02-09,131
1986,7.1968975,1986-02-07,129
1987,13.37965,1987-02-13,135
1988,4.46842,1988-01-18,109
1989,2.86012,1988-12-25,85
1990,10.370683,1990-01-16,107
1991,3.6790442,1990-11-08,38
1992,1.421838,1991-11-26,56
1993,6.247652,1992-12-15,75
1994,7.6542177,1993-12-09,69
1995,9.369767,1994-12-14,74
1996,1.5448459,1995-10-31,30
1997,5.159427,1997-09-30,364
1998,10.924608,1997-12-02,62
1999,6.058173,1998-11-08,38
2000,2.523976,1999-11-17,47
2001,3.7892985,2001-09-29,363
2002,7.311077,2001-11-12,42
2003,5.66155,2002-10-29,28
2004,7.038956,2004-09-28,363
2005,7.2963305,2004-10-04,3
2006,7.5403304,2006-09-29,363
2007,8.0571785,2006-10-12,11
2008,6.0925293,2008-08-26,330
2009,4.4673476,2008-10-01,0
2010,10.674331,2010-09-09,343
2011,6.9706144,2011-09-11,345
2012,4.504209,2012-09-10,345
2013,1.0130621,2013-07-06,278
2014,8.657607,2013-12-15,75
2015,5.0867624,2015-01-23,114
2016,6.3177176,2015-12-02,62
2017,8.067148,2016-11-30,60
2018,5.1603427,2018-09-29,363
2019,6.181778,2018-10-30,29
2020,3.045223,2019-10-21,20
2021,10.531814,2020-11-06,36
2022,1.8438557,2021-11-28,58
2023,7.936181,2022-11-28,58
2024,7.355317,2024-09-11,346
2025,5.913641,2024-10-01,0
2026,4.7292747,2025-10-01,0
2027,5.2181125,2027-09-30,364
2028,5.430182,2027-10-06,5
2029,1.6025422,2028-10-28,27
2030,4.68423,2030-08-18,321
2031,5.237475,2031-09-18,352
2032,4.4844823,2031-10-01,0
2033,3.1145413,2033-09-18,352
2034,5.576607,2034-09-11,345
2035,4.902595,2034-10-01,0
2036,3.2877755,2035-10-01,0
2037,4.504039,2037-07-25,297
2038,1.2424762,2038-06-11,253
2039,2.615215,2039-05-21,232
2040,5.780757,2040-08-06,310
2041,1.982497,2041-05-17,228
2042,1.242398,2042-07-06,278
2043,1.6465582,2043-05-07,218
2044,2.9241126,2044-06-02,245
2045,2.876032,2045-07-21,293
2046,3.7161996,2046-06-26,268
2047,3.3052394,2047-06-27,269
2048,4.383283,2048-06-02,245
2049,1.4339834,2049-05-30,241
2050,1.9553626,2050-03-28,178
2051,3.6735017,2051-05-10,221
2052,2.018738,2052-03-22,173
2053,3.1785796,2053-04-18,199
2054,5.405406,2054-05-26,237
2055,2.713513,2055-03-10,160
2056,0.6967109,2056-03-03,154
2057,9.077751,2057-05-22,233
2058,1.5691242,2058-06-03,245
2059,0.8301729,2059-01-31,122
2060,1.7187963,2060-04-06,188
2061,6.0456395,2061-03-13,163
2062,2.1725357,2062-03-26,176
2063,1.9656821,2063-03-16,166
2064,1.1242455,2064-01-31,122
2065,2.3291538,2065-03-10,160
2066,2.5644827,2066-02-18,140
2067,0.7353288,2067-04-25,206
2068,1.1873823,2068-01-20,111
2069,0.7128242,2069-05-13,224
2070,1.9462085,2070-02-27,149
2071,2.988455,2071-01-11,102
2072,5.0252576,2072-02-19,141
2073,1.6975907,2072-12-10,70
2074,1.9938927,2074-01-20,111
2075,0.93180376,2074-11-03,33
2076,1.1918854,2075-12-27,87
2077,2.3836384,2076-12-10,70
2078,2.2282014,2077-11-20,50
2079,4.39035,2078-11-25,55
2080,1.1551325,2079-12-26,86
2081,1.0670264,2081-01-06,97
2082,0.6792854,2081-11-13,43
2083,1.1960726,2082-11-17,47
2084,0.7708997,2083-12-03,63
2085,1.8220717,2084-10-14,13
2086,2.9780126,2085-10-31,30
2087,0.9225577,2086-11-23,53
2088,1.1060866,2087-11-30,60
2089,0.4591972,2088-11-29,59
2090,0.426128,2090-09-13,347
2091,0.3540834,2091-08-31,334
2092,0.6792756,2091-11-24,54
2093,0.39405298,2093-09-30,364
2094,0.88044465,2094-09-30,364
2095,0.8400087,2094-10-01,0
2096,0.67661345,2095-10-07,6
2097,0.8938997,2097-09-28,362
