,maxval,maxdate,maxarg
1981,19.986408,1981-03-24,174
1982,12.267284,1982-02-20,142
1983,13.340339,1983-01-22,113
1984,4.570785,1983-12-25,85
1985,18.804314,1985-03-07,157
1986,3.412161,1986-02-05,127
1987,11.919272,1987-03-01,151
1988,18.825275,1988-02-23,145
1989,5.7133956,1989-02-03,125
1990,12.051923,1990-01-22,113
1991,4.880503,1990-11-03,33
1992,3.222945,1992-01-05,96
1993,15.24858,1993-01-28,119
1994,15.561644,1993-12-08,68
1995,21.584723,1995-01-03,94
1996,7.0593867,1996-01-19,110
1997,7.6553097,1997-09-30,364
1998,12.521002,1997-12-06,66
1999,12.538579,1998-11-08,38
2000,5.7011976,2000-09-14,349
2001,7.2478685,2000-12-09,69
2002,7.889385,2002-08-27,330
2003,9.814648,2002-10-27,26
2004,7.1714735,2003-12-10,70
2005,13.595267,2004-12-03,63
2006,10.699769,2006-09-30,364
2007,12.080299,2007-09-03,337
2008,13.183206,2007-10-10,9
2009,5.7033234,2008-10-01,0
2010,9.01108,2010-09-08,342
2011,8.844298,2011-09-30,364
2012,9.239078,2011-10-01,0
2013,3.565237,2012-10-11,10
2014,3.3812647,2013-12-07,67
2015,2.9215991,2015-02-04,126
2016,2.7007248,2015-10-23,22
2017,6.085552,2016-12-02,62
2018,12.882058,2017-11-03,33
2019,7.0952053,2018-11-04,34
2020,4.868645,2020-09-30,365
2021,11.912954,2020-11-23,53
2022,6.242242,2022-09-28,362
2023,14.097731,2022-11-26,56
2024,8.380568,2024-09-12,347
2025,4.6249523,2024-10-01,0
2026,7.2559943,2025-12-03,63
2027,7.0824413,2027-08-24,327
2028,9.137909,2027-11-10,40
2029,1.8067911,2029-07-19,291
2030,6.8754725,2030-08-18,321
2031,6.65746,2031-09-17,351
2032,5.793404,2031-10-26,25
2033,4.77178,2033-06-28,270
2034,4.0639505,2034-09-24,358
2035,5.0174165,2034-10-24,23
2036,3.740876,2036-08-23,327
2037,5.241551,2037-06-22,264
2038,1.1422524,2038-05-19,230
2039,6.234376,2039-09-22,356
2040,5.565586,2040-05-18,230
2041,2.972998,2041-06-27,269
2042,2.9843364,2042-06-10,252
2043,1.215023,2043-05-08,219
2044,4.7383666,2044-05-13,225
2045,3.295101,2045-07-26,298
2046,7.7480736,2046-07-05,277
2047,5.0718575,2047-07-24,296
2048,2.531944,2048-06-09,252
2049,2.140037,2049-04-04,185
2050,2.7393286,2050-06-28,270
2051,7.183975,2051-05-19,230
2052,3.1796126,2052-04-30,212
2053,7.1154823,2053-04-18,199
2054,1.2665157,2054-03-27,177
2055,2.6319773,2055-06-28,270
2056,1.8878211,2056-03-02,153
2057,6.04054,2057-05-24,235
2058,1.211452,2058-05-17,228
2059,1.6742309,2059-04-29,210
2060,0.562171,2060-03-06,157
2061,3.9023707,2061-02-27,149
2062,2.8058093,2062-03-03,153
2063,2.6297967,2063-02-15,137
2064,2.8618045,2064-02-09,131
2065,2.7305844,2065-04-06,187
2066,5.4357653,2066-03-11,161
2067,2.442684,2066-12-20,80
2068,0.42646766,2068-03-04,155
2069,0.38156408,2069-04-05,186
2070,4.5096736,2070-03-05,155
2071,0.92538536,2071-03-22,172
2072,3.3650208,2072-02-23,145
2073,1.3556918,2073-02-22,144
2074,1.0045121,2074-01-19,110
2075,2.081924,2075-03-09,159
2076,2.4187489,2076-03-01,152
2077,1.6467308,2076-12-07,67
2078,1.0996268,2078-01-01,92
2079,1.1896248,2078-11-09,39
2080,1.45976,2079-12-06,66
2081,2.0662935,2080-11-28,58
2082,1.8736788,2081-11-24,54
2083,0.6140001,2082-11-12,42
2084,3.4237547,2083-12-15,75
2085,2.0918422,2084-11-27,57
2086,0.58010006,2085-10-14,13
2087,0.748512,2086-10-03,2
2088,0.3120851,2087-10-08,7
2089,0.39551398,2089-01-30,121
2090,0.7986057,2089-10-09,8
2091,0.12247953,2091-08-19,322
2092,0.3605824,2091-12-11,71
2093,1.147492,2092-11-01,31
2094,0.9794377,2094-09-30,364
2095,0.81338394,2094-10-01,0
2096,1.8685638,2095-11-11,41
2097,1.0994066,2097-08-14,317
