,maxval,maxdate,maxarg
1981,26.019434,1981-03-28,178
1982,44.207928,1982-03-08,158
1983,19.447136,1983-02-18,140
1984,8.180754,1984-02-03,125
1985,36.025063,1985-03-15,165
1986,4.454584,1986-02-07,129
1987,24.885891,1987-03-04,154
1988,20.57114,1988-02-04,126
1989,9.797729,1989-02-03,125
1990,26.606815,1990-01-25,116
1991,22.581285,1991-01-25,116
1992,16.004381,1992-01-21,112
1993,15.040667,1993-01-27,118
1994,11.995157,1993-12-11,71
1995,30.239733,1995-01-03,94
1996,12.368561,1996-01-20,111
1997,11.04361,1996-11-11,41
1998,23.537722,1997-12-29,89
1999,11.779661,1998-11-20,50
2000,4.5148997,1999-11-26,56
2001,11.670417,2001-09-30,364
2002,17.25942,2001-11-23,53
2003,25.44414,2002-11-30,60
2004,28.61972,2003-11-30,60
2005,20.064537,2004-11-30,60
2006,20.322485,2005-11-16,46
2007,14.87909,2006-11-08,38
2008,20.18169,2008-09-29,364
2009,20.100487,2008-10-01,0
2010,16.633404,2010-09-22,356
2011,19.568645,2011-09-30,364
2012,28.883905,2012-09-09,344
2013,24.64138,2012-10-12,11
2014,11.666827,2014-01-13,104
2015,17.413235,2015-02-07,129
2016,12.102527,2016-01-12,103
2017,23.417366,2017-01-20,111
2018,17.131313,2017-12-22,82
2019,15.0515,2018-11-20,50
2020,15.338069,2019-11-28,58
2021,25.198862,2020-12-06,66
2022,16.731638,2022-09-30,364
2023,29.481037,2022-11-28,58
2024,10.785477,2024-09-30,365
2025,14.558172,2024-11-22,52
2026,13.360836,2025-12-05,65
2027,8.7493925,2026-10-27,26
2028,12.715254,2028-09-29,364
2029,18.110613,2028-10-31,30
2030,4.9981375,2030-09-19,353
2031,4.4779196,2031-09-27,361
2032,21.47028,2032-09-26,361
2033,23.84112,2033-09-29,363
2034,23.79093,2033-10-01,0
2035,20.091385,2034-10-21,20
2036,18.836922,2035-10-01,0
2037,25.066544,2037-08-20,323
2038,19.332552,2038-08-31,334
2039,23.382946,2039-09-23,357
2040,23.56782,2039-10-03,2
2041,15.106147,2041-08-12,315
2042,12.5728,2042-07-23,295
2043,9.732103,2043-08-04,307
2044,13.749364,2044-07-17,290
2045,4.404067,2045-07-26,298
2046,26.303995,2046-07-11,283
2047,31.579458,2047-07-27,299
2048,21.333393,2048-07-15,288
2049,4.3151,2049-05-31,242
2050,15.982093,2050-07-25,297
2051,14.813812,2051-06-23,265
2052,7.5375504,2052-05-05,217
2053,21.083235,2053-06-12,254
2054,12.675487,2054-06-23,265
2055,8.503157,2055-06-01,243
2056,1.7669482,2056-03-03,154
2057,6.894317,2057-05-29,240
2058,12.232777,2058-05-15,226
2059,5.0435295,2059-04-28,209
2060,3.7047672,2060-04-25,207
2061,12.008515,2061-04-11,192
2062,24.890024,2062-04-01,182
2063,7.3519483,2063-04-19,200
2064,11.969517,2064-04-03,185
2065,3.2561104,2065-04-01,182
2066,20.663322,2066-03-11,161
2067,2.6109855,2066-12-20,80
2068,5.8001313,2068-02-19,141
2069,3.3666735,2069-02-24,146
2070,11.095007,2070-03-24,174
2071,9.41303,2071-03-29,179
2072,15.012137,2072-03-08,159
2073,7.321322,2072-12-12,72
2074,4.9931154,2074-01-21,112
2075,10.905827,2075-02-08,130
2076,11.496683,2076-02-04,126
2077,1.7497647,2076-12-10,70
2078,5.9522586,2078-01-12,103
2079,5.6236377,2078-12-22,82
2080,2.5872626,2079-12-06,66
2081,6.0459847,2080-12-01,61
2082,0.46170568,2081-11-30,60
2083,1.1473233,2082-12-20,80
2084,5.6213627,2083-12-15,75
2085,8.983229,2085-01-01,92
2086,2.6850739,2085-11-02,32
2087,2.8006806,2086-10-29,28
2088,2.3153243,2087-12-02,62
2089,1.8078197,2088-10-28,27
2090,2.0581288,2090-09-15,349
2091,1.3356318,2090-10-01,0
2092,1.1365498,2091-11-27,57
2093,3.2962873,2093-09-30,364
2094,7.9392433,2094-09-30,364
2095,9.363032,2094-10-17,16
2096,2.2951002,2095-10-22,21
2097,1.9637836,2097-08-30,333
