,maxval,maxdate,maxarg
1981,2.431774,1981-01-18,109
1982,2.0436347,1982-01-08,99
1983,0.8633226,1982-11-25,55
1984,1.6222262,1984-03-21,172
1985,1.5743961,1985-01-16,107
1986,1.9613326,1986-02-28,150
1987,1.121763,1987-01-06,97
1988,1.7314126,1987-12-18,78
1989,1.8935324,1988-12-26,86
1990,1.4549985,1990-09-30,364
1991,1.9733543,1990-11-05,35
1992,3.7437813,1992-03-10,161
1993,2.2839613,1992-12-29,89
1994,1.0537035,1994-08-19,322
1995,1.2004571,1994-11-22,52
1996,1.2206646,1995-12-01,61
1997,1.431772,1996-11-16,46
1998,1.9037623,1998-09-16,350
1999,1.8892162,1998-11-15,45
2000,0.7946083,1999-10-13,12
2001,1.1678864,2000-10-28,27
2002,1.3335773,2001-11-13,43
2003,1.5054533,2002-10-22,21
2004,1.6220613,2004-01-10,101
2005,1.0694445,2005-09-19,353
2006,1.7681178,2005-12-06,66
2007,3.121384,2006-11-25,55
2008,0.77305514,2008-08-17,321
2009,1.3258803,2008-11-27,57
2010,2.1155565,2010-07-30,302
2011,3.3599916,2011-09-06,340
2012,1.0310079,2012-07-22,295
2013,1.36615,2013-05-28,239
2014,2.5443604,2013-12-11,71
2015,1.663875,2015-09-29,363
2016,3.727993,2015-12-15,75
2017,2.0348277,2017-01-10,101
2018,1.3806056,2017-10-17,16
2019,4.541585,2019-01-31,122
2020,1.9827313,2019-12-17,77
2021,1.961953,2021-09-29,363
2022,1.6141701,2021-10-03,2
2023,0.87150633,2022-12-31,91
2024,3.003542,2023-12-05,65
2025,1.2224644,2024-10-10,9
2026,1.3765821,2025-10-07,6
2027,0.8015143,2027-09-15,349
2028,1.1055049,2027-11-12,42
2029,1.0692574,2028-11-21,51
2030,1.8535001,2030-08-18,321
2031,2.7605338,2031-06-03,245
2032,1.3708616,2032-09-14,349
2033,0.7795955,2033-09-23,357
2034,1.5123379,2034-08-26,329
2035,2.1751208,2035-09-16,350
2036,1.1079342,2036-05-06,218
2037,1.7732512,2037-09-16,350
2038,1.8055001,2038-09-04,338
2039,1.0677596,2039-08-13,316
2040,0.5893758,2040-08-17,321
2041,1.0006206,2041-05-25,236
2042,1.7833256,2042-08-20,323
2043,0.98392826,2043-08-15,318
2044,1.3286281,2044-08-27,331
2045,1.2184414,2045-08-28,331
2046,1.3078238,2046-07-03,275
2047,1.7210741,2047-04-24,205
2048,2.3986025,2048-08-18,322
2049,0.5929973,2049-06-17,259
2050,1.7001523,2050-03-08,158
2051,1.2555187,2051-08-25,328
2052,0.9126848,2052-06-13,256
2053,1.1415781,2053-05-31,242
2054,1.871437,2054-06-08,250
2055,1.7228458,2055-03-13,163
2056,0.9652007,2056-04-27,209
2057,2.1283164,2057-05-16,227
2058,1.1290052,2058-04-14,195
2059,1.6276059,2059-06-22,264
2060,2.53422,2060-05-18,230
2061,0.8409639,2061-03-13,163
2062,2.004781,2062-05-14,225
2063,0.7479722,2063-03-21,171
2064,0.742678,2064-04-20,202
2065,1.9084879,2065-03-14,164
2066,0.71874696,2066-03-26,176
2067,0.8743732,2067-04-07,188
2068,2.5443928,2068-05-03,215
2069,0.9757235,2069-03-17,167
2070,0.7183627,2070-02-27,149
2071,1.0354004,2071-03-18,168
2072,1.814204,2072-02-20,142
2073,0.8241758,2073-02-12,134
2074,1.6890625,2074-03-23,173
2075,2.2561274,2075-02-01,123
2076,1.128478,2076-02-21,143
2077,1.1677262,2077-02-14,136
2078,2.01483,2078-03-08,158
2079,0.95916605,2079-02-27,149
2080,1.8985281,2080-03-24,175
2081,0.38342378,2080-10-23,22
2082,0.88184464,2081-12-05,65
2083,1.1253333,2083-02-08,130
2084,1.6994867,2083-12-13,73
2085,1.0149127,2084-12-15,75
2086,1.3665249,2086-02-02,124
2087,1.6392523,2087-02-15,137
2088,0.40339416,2087-10-28,27
2089,0.7338593,2089-01-07,98
2090,1.6801627,2090-01-02,93
2091,2.0399916,2090-12-19,79
2092,0.8528172,2092-09-02,337
2093,1.0128632,2092-12-12,72
2094,3.2463014,2093-12-03,63
2095,1.5770943,2094-10-24,23
2096,0.93474656,2096-08-25,329
2097,1.5713124,2097-08-23,326
