,maxval,maxdate,maxarg
1981,12.74207,1981-03-23,173
1982,14.616282,1982-04-15,196
1983,10.741185,1983-03-17,167
1984,10.052432,1984-03-21,172
1985,9.67001,1985-03-05,155
1986,12.248007,1986-03-30,180
1987,15.127035,1987-03-03,153
1988,6.0043826,1988-01-29,120
1989,8.9439125,1989-02-23,145
1990,11.405014,1990-02-28,150
1991,13.609504,1991-02-17,139
1992,7.2613964,1992-02-01,123
1993,12.605513,1993-02-01,123
1994,9.043261,1994-01-17,108
1995,11.200489,1995-01-27,118
1996,7.8553395,1995-12-29,89
1997,10.441905,1996-12-25,85
1998,13.231135,1998-01-02,93
1999,11.30945,1999-01-08,99
2000,5.731733,1999-12-04,64
2001,8.576562,2000-12-25,85
2002,20.202194,2002-01-02,93
2003,15.291049,2002-12-08,68
2004,10.820465,2003-12-04,64
2005,8.318388,2004-11-29,59
2006,10.213118,2005-11-15,45
2007,6.7452497,2007-09-30,364
2008,9.564655,2007-11-12,42
2009,12.77846,2009-09-28,362
2010,14.141433,2009-11-02,32
2011,15.015542,2010-11-10,40
2012,9.234803,2012-09-30,365
2013,9.272262,2012-10-04,3
2014,7.2825007,2014-01-22,113
2015,12.198539,2015-01-29,120
2016,10.690459,2016-02-09,131
2017,9.172376,2017-01-15,106
2018,7.973129,2017-12-17,77
2019,17.827942,2019-02-06,128
2020,5.8957734,2019-12-17,77
2021,10.827552,2020-12-11,71
2022,9.87609,2021-12-28,88
2023,11.050028,2023-01-01,92
2024,15.036174,2024-01-12,103
2025,8.278281,2024-11-24,54
2026,5.3340425,2025-12-09,69
2027,3.4652088,2027-09-30,364
2028,8.603364,2028-09-30,365
2029,13.805668,2028-11-18,48
2030,7.60392,2029-11-15,45
2031,8.607785,2031-09-29,363
2032,10.020674,2031-11-01,31
2033,11.877656,2033-09-30,364
2034,12.71753,2033-11-09,39
2035,8.992132,2034-10-09,8
2036,8.411408,2036-09-27,362
2037,10.344119,2037-09-17,351
2038,13.704068,2038-09-28,362
2039,13.918596,2038-10-02,1
2040,8.42438,2039-10-01,0
2041,5.3790784,2041-08-29,332
2042,6.168662,2042-08-19,322
2043,13.422944,2043-08-28,331
2044,6.148748,2044-08-01,305
2045,8.435497,2045-08-13,316
2046,6.769679,2046-07-09,281
2047,16.010244,2047-07-26,298
2048,11.421216,2048-08-10,314
2049,1.9683573,2049-06-24,266
2050,4.708726,2050-06-24,266
2051,7.658241,2051-06-27,269
2052,5.63742,2052-06-18,261
2053,11.063983,2053-06-22,264
2054,13.3369255,2054-07-09,281
2055,9.439597,2055-06-15,257
2056,5.183564,2056-06-02,245
2057,8.918375,2057-06-12,254
2058,10.339477,2058-06-08,250
2059,7.277451,2059-05-28,239
2060,7.7228622,2060-05-18,230
2061,3.8350146,2061-04-14,195
2062,4.823306,2062-03-28,178
2063,8.508221,2063-05-14,225
2064,2.3188827,2064-04-21,203
2065,6.523849,2065-04-08,189
2066,9.841222,2066-05-07,218
2067,2.8080623,2067-02-25,147
2068,5.813436,2068-03-20,171
2069,5.8450503,2069-04-04,185
2070,6.574042,2070-03-06,156
2071,7.5107927,2071-03-25,175
2072,14.627108,2072-03-27,178
2073,5.67507,2073-02-12,134
2074,10.314603,2074-03-12,162
2075,4.856686,2075-02-07,129
2076,1.8647813,2076-01-05,96
2077,6.8656707,2077-02-03,125
2078,7.472241,2078-02-28,150
2079,8.50964,2079-01-30,121
2080,5.504951,2080-01-19,110
2081,1.8820347,2081-01-10,101
2082,7.649707,2082-01-06,97
2083,5.2918887,2083-01-11,102
2084,2.775221,2083-12-04,64
2085,6.3389697,2084-12-24,84
2086,3.9159067,2086-01-05,96
2087,3.9563456,2086-12-21,81
2088,6.3155975,2087-12-21,81
2089,5.435318,2088-12-08,68
2090,2.319075,2089-11-04,34
2091,2.774413,2090-11-22,52
2092,2.1564665,2092-09-27,362
2093,4.335128,2092-11-12,42
2094,5.51423,2093-11-22,52
2095,4.695548,2094-11-25,55
2096,2.862836,2095-10-17,16
2097,5.362338,2097-09-30,364
