,maxval,maxdate,maxarg
1981,21.730253,1981-03-27,177
1982,24.036055,1982-03-17,167
1983,16.692404,1983-03-24,174
1984,14.091912,1984-03-22,173
1985,25.266912,1985-03-27,177
1986,17.215448,1986-03-26,176
1987,25.835083,1987-03-27,177
1988,16.961475,1988-02-23,145
1989,18.077353,1989-02-03,125
1990,19.972473,1990-02-20,142
1991,18.319408,1991-02-03,125
1992,17.51752,1992-01-24,115
1993,22.514927,1993-02-08,130
1994,21.403229,1994-01-08,99
1995,22.587725,1995-01-15,106
1996,16.849848,1996-01-23,114
1997,14.687823,1996-12-23,83
1998,22.15448,1997-12-31,91
1999,10.887746,1999-01-06,97
2000,7.717877,2000-01-05,96
2001,14.600924,2000-12-25,85
2002,20.16441,2002-09-30,364
2003,33.04056,2003-01-01,92
2004,21.501097,2003-12-11,71
2005,20.65375,2004-12-17,77
2006,19.68586,2005-11-23,53
2007,18.167648,2006-11-09,39
2008,15.781351,2007-10-31,30
2009,15.077105,2008-10-20,19
2010,15.770938,2009-11-17,47
2011,22.734568,2011-09-30,364
2012,22.781021,2011-10-02,1
2013,18.541836,2012-10-18,17
2014,17.794315,2014-01-21,112
2015,15.144233,2015-02-09,131
2016,18.570389,2016-01-31,122
2017,21.540852,2017-01-22,113
2018,18.181627,2018-02-02,124
2019,19.860924,2019-01-09,100
2020,12.095738,2019-11-26,56
2021,19.958832,2020-12-17,77
2022,18.154993,2022-01-11,102
2023,24.5874,2022-12-30,90
2024,9.687134,2024-09-30,365
2025,16.302155,2024-12-08,68
2026,15.881358,2025-12-05,65
2027,12.470307,2026-11-01,31
2028,17.111963,2027-12-12,72
2029,15.9025545,2028-12-06,66
2030,14.301054,2029-11-19,49
2031,18.704838,2030-11-10,40
2032,16.407137,2031-11-01,31
2033,15.756213,2032-11-25,55
2034,23.951857,2034-09-29,363
2035,27.406986,2034-10-28,27
2036,20.460104,2035-10-09,8
2037,14.442953,2037-08-18,321
2038,11.082491,2037-10-19,18
2039,19.855562,2039-09-30,364
2040,20.02036,2039-10-07,6
2041,16.143038,2040-10-03,2
2042,12.019349,2042-08-18,321
2043,14.708026,2043-08-23,326
2044,12.5269575,2044-07-22,295
2045,10.932737,2045-09-22,356
2046,17.245499,2046-08-10,313
2047,18.104292,2047-07-27,299
2048,11.156463,2048-08-07,311
2049,11.861269,2049-06-28,270
2050,11.714297,2050-08-27,330
2051,20.631447,2051-06-26,268
2052,9.609767,2052-07-12,285
2053,22.442394,2053-06-19,261
2054,14.060859,2054-07-14,286
2055,14.9683075,2055-06-23,265
2056,9.415677,2056-05-22,234
2057,15.625233,2057-06-28,270
2058,12.102073,2058-06-04,246
2059,10.523156,2059-05-04,215
2060,5.7693844,2060-05-17,229
2061,11.022816,2061-03-13,163
2062,13.60051,2062-05-19,230
2063,8.028709,2063-04-22,203
2064,11.74733,2064-05-14,226
2065,11.304151,2065-04-06,187
2066,11.58359,2066-03-14,164
2067,6.0155063,2067-05-13,224
2068,8.5963335,2068-02-19,141
2069,10.489642,2069-02-24,146
2070,11.2183075,2070-03-24,174
2071,9.3114,2071-03-30,180
2072,12.38167,2072-03-25,176
2073,18.070004,2073-03-28,178
2074,3.8627582,2074-02-21,143
2075,13.604345,2075-02-08,130
2076,10.22259,2076-02-02,124
2077,4.5571346,2077-01-07,98
2078,8.733813,2078-01-21,112
2079,11.433067,2079-01-23,114
2080,9.374957,2080-01-21,112
2081,5.25322,2080-11-30,60
2082,3.0488877,2081-12-06,66
2083,6.16795,2082-12-08,68
2084,11.643246,2084-01-05,96
2085,9.6523485,2085-01-01,92
2086,8.463803,2085-11-06,36
2087,6.0197654,2086-12-17,77
2088,4.613706,2087-12-16,76
2089,2.420567,2088-11-05,35
2090,4.289887,2090-09-27,361
2091,5.0460978,2091-09-30,364
2092,7.7759414,2091-12-11,71
2093,5.975667,2092-11-14,44
2094,3.4444463,2094-09-30,364
2095,5.680413,2094-10-22,21
2096,12.6589365,2095-12-05,65
2097,7.597042,2097-09-30,364
