,maxval,maxdate,maxarg
1981,54.231083,1981-03-24,174
1982,27.806915,1982-02-20,142
1983,23.164423,1983-01-21,112
1984,3.7608202,1983-12-07,67
1985,32.70305,1985-03-25,175
1986,14.046093,1986-02-05,127
1987,32.595284,1987-03-11,161
1988,50.43357,1988-02-23,145
1989,11.246246,1989-02-09,131
1990,26.256058,1990-01-22,113
1991,13.246516,1990-11-03,33
1992,8.161552,1992-01-04,95
1993,16.492682,1992-12-14,74
1994,22.00982,1993-12-08,68
1995,42.73733,1995-01-03,94
1996,20.019163,1996-01-22,113
1997,7.5953765,1997-09-13,347
1998,15.732464,1997-12-09,69
1999,27.261658,1998-11-08,38
2000,9.290052,2000-09-14,349
2001,12.069882,2000-12-19,79
2002,12.905538,2002-08-25,328
2003,10.144104,2002-10-26,25
2004,18.539078,2003-11-02,32
2005,24.921246,2004-12-03,63
2006,19.860407,2006-09-28,362
2007,23.615658,2006-11-07,37
2008,23.00548,2007-10-30,29
2009,12.6230755,2008-10-01,0
2010,27.648354,2010-09-08,342
2011,27.190044,2010-10-28,27
2012,15.251519,2012-08-24,328
2013,7.346424,2012-10-10,9
2014,5.171412,2013-12-06,66
2015,15.050183,2015-02-07,129
2016,4.1750875,2015-10-29,28
2017,12.812552,2016-12-01,61
2018,30.309431,2018-01-30,121
2019,14.427965,2018-11-03,33
2020,10.827633,2020-09-30,365
2021,26.796974,2020-12-05,65
2022,12.145979,2022-01-06,97
2023,29.230097,2022-11-24,54
2024,13.429178,2024-09-13,348
2025,8.39046,2025-09-21,355
2026,25.174644,2025-12-02,62
2027,10.977704,2027-09-13,347
2028,13.000933,2027-12-10,70
2029,2.8660586,2029-07-12,284
2030,11.739299,2030-08-17,320
2031,17.052757,2030-11-21,51
2032,14.398647,2031-10-25,24
2033,10.93689,2033-09-12,346
2034,6.3075585,2033-10-01,0
2035,9.203093,2034-10-25,24
2036,5.80304,2036-08-17,321
2037,16.760662,2037-06-21,263
2038,0.9790308,2038-05-18,229
2039,10.915387,2039-09-23,357
2040,12.220911,2039-10-14,13
2041,5.166057,2041-05-16,227
2042,1.7486527,2041-10-05,4
2043,2.2524564,2043-05-07,218
2044,3.3339648,2044-05-12,224
2045,13.736816,2045-07-25,297
2046,23.522923,2046-06-29,271
2047,14.941023,2047-07-22,294
2048,3.232158,2048-06-09,252
2049,6.41381,2049-04-04,185
2050,2.4511218,2050-06-29,271
2051,15.822453,2051-05-17,228
2052,4.0447545,2052-03-22,173
2053,8.592276,2053-04-17,198
2054,1.9528788,2054-06-15,257
2055,7.9421864,2055-05-01,212
2056,4.281556,2056-02-29,151
2057,23.57261,2057-05-24,235
2058,2.5853305,2058-05-31,242
2059,4.619113,2059-04-30,211
2060,0.900042,2060-02-17,139
2061,4.139168,2061-02-27,149
2062,7.6254373,2062-03-02,152
2063,4.0558467,2063-02-11,133
2064,4.8505993,2064-01-31,122
2065,7.201623,2065-03-30,180
2066,6.4218273,2066-02-21,143
2067,2.4994278,2067-05-08,219
2068,4.9729762e-05,2068-01-25,116
2069,0.029214786,2068-12-16,76
2070,11.96032,2070-02-18,140
2071,5.400256,2071-03-29,179
2072,10.508663,2072-02-16,138
2073,3.2962096,2072-12-10,70
2074,3.5125697,2074-02-16,138
2075,3.873251,2075-03-30,180
2076,6.368496,2076-01-07,98
2077,1.5214787,2077-02-20,142
2078,2.0967243,2077-11-16,46
2079,5.382673,2078-11-05,35
2080,2.666723,2080-01-17,108
2081,2.831548,2081-01-10,101
2082,1.8686132,2081-11-12,42
2083,0.48406687,2082-12-19,79
2084,5.0810757,2083-12-14,74
2085,0.9537879,2084-12-28,88
2086,0.7812656,2085-10-11,10
2087,0.2487635,2086-10-02,1
2088,8.951982e-05,2087-11-27,57
2089,0.5317911,2088-11-29,59
2090,0.22247909,2089-12-22,82
2091,2.377394e-05,2091-08-31,334
2092,0.708006,2091-12-11,71
2093,0.42632523,2092-12-25,85
2094,0.4470725,2094-09-27,361
2095,0.75099206,2095-07-11,283
2096,3.622431,2095-11-12,42
2097,2.5436976,2097-08-13,316
