,maxval,maxdate,maxarg
1981,29.916494,1981-03-27,177
1982,64.75084,1982-03-16,166
1983,17.193298,1983-02-18,140
1984,8.775814,1984-02-27,149
1985,38.34434,1985-03-05,155
1986,20.837717,1986-03-14,164
1987,30.911137,1987-03-06,156
1988,15.2792635,1988-02-15,137
1989,14.267561,1989-02-10,132
1990,37.347366,1990-02-26,148
1991,19.006422,1991-02-04,126
1992,21.766144,1992-01-23,114
1993,22.886778,1993-01-28,119
1994,17.174154,1993-12-12,72
1995,30.443901,1995-01-12,103
1996,26.435612,1996-01-19,110
1997,19.69056,1996-11-30,60
1998,35.858444,1997-12-31,91
1999,20.228846,1999-01-02,93
2000,11.677693,1999-12-03,63
2001,16.815674,2000-12-17,77
2002,22.868883,2001-11-26,56
2003,33.251026,2002-12-05,65
2004,35.48515,2003-12-03,63
2005,22.856272,2004-11-30,60
2006,30.209917,2005-11-18,48
2007,23.499275,2006-10-25,24
2008,23.793945,2008-09-30,365
2009,24.502008,2008-10-23,22
2010,26.06938,2010-09-22,356
2011,30.404127,2010-11-22,52
2012,29.21229,2012-09-30,365
2013,31.208221,2012-10-09,8
2014,21.878712,2014-01-21,112
2015,29.684525,2015-02-05,127
2016,16.651869,2016-02-02,124
2017,38.766205,2017-01-20,111
2018,28.140778,2018-01-30,121
2019,20.955204,2019-01-11,102
2020,16.373411,2020-01-01,92
2021,39.059597,2020-12-07,67
2022,19.09019,2022-01-05,96
2023,35.721386,2022-12-23,83
2024,21.75941,2024-09-29,364
2025,29.668993,2024-12-08,68
2026,21.2323,2025-12-05,65
2027,10.663667,2027-09-30,364
2028,21.3412,2028-09-30,365
2029,32.504498,2028-11-01,31
2030,13.621116,2029-10-27,26
2031,16.042234,2031-09-27,361
2032,28.597792,2032-09-27,362
2033,36.712475,2033-09-30,364
2034,40.158882,2033-10-15,14
2035,27.109766,2035-09-23,357
2036,27.56898,2035-10-08,7
2037,26.75648,2037-09-19,353
2038,24.419401,2037-10-01,0
2039,43.03604,2039-09-30,364
2040,42.959293,2039-10-01,0
2041,17.529,2041-08-12,315
2042,19.84709,2042-08-19,322
2043,19.821285,2043-08-28,331
2044,21.851974,2044-07-31,304
2045,18.252596,2045-08-17,320
2046,45.412426,2046-07-10,282
2047,40.480267,2047-08-10,313
2048,34.65533,2048-07-17,290
2049,17.545094,2049-06-26,268
2050,28.277752,2050-07-23,295
2051,19.895847,2051-06-26,268
2052,13.3740425,2052-06-18,261
2053,25.666733,2053-06-13,255
2054,26.67528,2054-07-06,278
2055,16.57995,2055-06-22,264
2056,6.0044394,2056-04-30,212
2057,26.91028,2057-06-11,253
2058,22.371052,2058-06-06,248
2059,19.501707,2059-05-03,214
2060,12.190011,2060-05-23,235
2061,15.933931,2061-04-14,195
2062,35.735138,2062-04-16,197
2063,12.9175,2063-05-09,220
2064,17.262297,2064-05-16,228
2065,9.319401,2065-04-07,188
2066,27.684252,2066-03-25,175
2067,7.39244,2067-04-10,191
2068,14.384559,2068-04-02,184
2069,3.529404,2069-02-23,145
2070,12.526966,2070-03-20,170
2071,26.594507,2071-03-30,180
2072,32.093414,2072-03-09,160
2073,18.768738,2073-03-18,168
2074,17.735567,2074-02-19,141
2075,14.769902,2075-02-07,129
2076,15.910992,2076-02-02,124
2077,11.429061,2077-02-19,141
2078,19.474855,2078-01-31,122
2079,18.647488,2079-01-23,114
2080,8.537388,2080-01-19,110
2081,9.838003,2081-01-24,115
2082,4.7533264,2082-01-03,94
2083,5.975598,2082-12-08,68
2084,11.415076,2084-01-02,93
2085,14.95845,2084-12-26,86
2086,5.901563,2085-12-10,70
2087,17.981062,2086-12-10,70
2088,6.005168,2087-12-15,75
2089,5.059537,2088-10-25,24
2090,9.620924,2090-09-26,360
2091,9.94436,2090-10-23,22
2092,7.1812553,2092-09-30,365
2093,9.8643675,2092-11-02,32
2094,7.733272,2094-09-30,364
2095,13.348688,2094-10-23,22
2096,7.396721,2095-10-24,23
2097,8.895468,2097-09-30,364
