,maxval,maxdate,maxarg
1981,42.667694,1981-03-29,179
1982,55.43497,1982-03-31,181
1983,38.93812,1983-03-24,174
1984,23.944077,1984-03-23,174
1985,54.552006,1985-04-10,191
1986,20.381893,1986-03-15,165
1987,41.796722,1987-03-26,176
1988,42.506588,1988-02-23,145
1989,27.650434,1989-02-10,132
1990,40.800064,1990-02-25,147
1991,33.19654,1991-02-11,133
1992,22.389277,1992-01-24,115
1993,30.154991,1993-02-08,130
1994,28.902967,1994-01-26,117
1995,47.191032,1995-01-15,106
1996,22.467918,1996-01-23,114
1997,20.370472,1996-12-23,83
1998,36.675877,1998-01-13,104
1999,22.457865,1998-12-31,91
2000,24.930405,2000-01-05,96
2001,22.421967,2000-12-24,84
2002,25.275354,2002-09-30,364
2003,40.618725,2002-12-31,91
2004,48.503403,2003-12-10,70
2005,47.56131,2004-12-17,77
2006,38.226166,2005-11-22,52
2007,32.46644,2006-11-09,39
2008,28.82528,2008-09-30,365
2009,33.42553,2008-10-23,22
2010,30.01093,2009-10-28,27
2011,34.951603,2011-09-30,364
2012,41.44094,2012-09-29,364
2013,43.754436,2012-10-16,15
2014,22.95582,2014-01-24,115
2015,35.699123,2015-02-10,132
2016,22.659546,2016-02-01,123
2017,49.058918,2017-01-22,113
2018,42.73028,2018-02-01,123
2019,33.81507,2019-01-11,102
2020,33.05338,2020-01-11,102
2021,42.395317,2021-01-04,95
2022,27.777672,2022-01-11,102
2023,44.39403,2022-12-25,85
2024,21.000225,2024-09-30,365
2025,34.221603,2024-12-30,90
2026,32.110737,2025-12-06,66
2027,28.582726,2026-11-17,47
2028,28.171694,2027-12-11,71
2029,29.164928,2028-11-02,32
2030,15.305926,2029-11-19,49
2031,24.7464,2030-11-22,52
2032,30.361567,2032-09-28,363
2033,33.64841,2033-09-30,364
2034,38.58029,2034-09-30,364
2035,46.101902,2034-10-26,25
2036,37.010475,2035-10-08,7
2037,36.57866,2037-09-20,354
2038,34.049652,2037-10-01,0
2039,43.117863,2039-09-30,364
2040,43.913403,2039-10-14,13
2041,33.795662,2040-10-02,1
2042,27.328695,2041-10-07,6
2043,19.97315,2043-08-30,333
2044,29.700144,2044-07-21,294
2045,26.631268,2045-08-17,320
2046,38.72387,2046-08-05,308
2047,39.55575,2047-08-15,318
2048,28.48825,2048-08-07,311
2049,19.744307,2049-06-28,270
2050,26.146687,2050-08-16,319
2051,28.796663,2051-07-03,275
2052,30.797293,2052-07-13,286
2053,31.929737,2053-06-19,261
2054,16.287344,2054-07-13,285
2055,17.943438,2055-06-29,271
2056,10.251085,2056-04-30,212
2057,29.909508,2057-07-04,276
2058,25.014927,2058-06-05,247
2059,23.712585,2059-05-03,214
2060,12.305488,2060-05-23,235
2061,27.280256,2061-05-31,242
2062,41.109562,2062-05-13,224
2063,15.497684,2063-04-25,206
2064,33.25636,2064-05-15,227
2065,19.703396,2065-04-28,209
2066,28.360119,2066-03-13,163
2067,11.0640545,2067-04-10,191
2068,12.001144,2068-02-19,141
2069,13.7244215,2069-02-24,146
2070,24.880796,2070-03-29,179
2071,17.554836,2071-03-30,180
2072,21.286352,2072-03-25,176
2073,26.942886,2073-03-18,168
2074,10.779471,2074-03-01,151
2075,23.251684,2075-02-09,131
2076,28.958233,2076-02-05,127
2077,8.610738,2077-02-22,144
2078,10.619683,2078-02-05,127
2079,13.722628,2079-01-25,116
2080,10.732509,2080-01-21,112
2081,23.50992,2081-01-25,116
2082,5.5567536,2081-11-29,59
2083,9.9324465,2082-12-08,68
2084,17.692976,2084-01-04,95
2085,20.717495,2085-01-02,93
2086,8.111217,2085-12-27,87
2087,10.489591,2086-12-16,76
2088,5.774166,2087-12-16,76
2089,7.879158,2088-11-04,34
2090,6.603847,2090-09-27,361
2091,9.44813,2090-10-18,17
2092,8.641411,2091-10-19,18
2093,7.087349,2092-11-15,45
2094,12.159379,2094-09-30,364
2095,15.740662,2094-10-18,17
2096,16.27766,2095-12-02,62
2097,8.130458,2097-09-30,364
