,maxval,maxdate,maxarg
1981,22.016909,1981-03-28,178
1982,36.862484,1982-04-15,196
1983,14.895361,1983-03-27,177
1984,8.650731,1984-04-28,210
1985,17.119951,1985-04-04,185
1986,13.788869,1986-03-29,179
1987,16.988653,1987-03-07,157
1988,10.598887,1988-02-16,138
1989,6.9336567,1989-02-11,133
1990,14.921898,1990-02-28,150
1991,21.848383,1991-02-16,138
1992,13.7015505,1992-03-20,171
1993,14.778328,1993-02-05,127
1994,11.381198,1994-01-27,118
1995,19.299713,1995-02-11,133
1996,11.829757,1996-01-23,114
1997,11.155013,1997-02-08,130
1998,13.820838,1998-01-15,106
1999,12.280853,1999-01-05,96
2000,11.91906,2000-01-01,92
2001,8.619527,2000-12-26,86
2002,21.404684,2002-01-04,95
2003,19.14833,2003-01-03,94
2004,21.947218,2003-12-05,65
2005,9.878655,2004-12-12,72
2006,17.554762,2005-12-09,69
2007,14.056918,2006-11-28,58
2008,12.465383,2008-09-30,365
2009,14.424918,2008-10-27,26
2010,13.3043,2009-11-04,34
2011,24.202524,2010-11-23,53
2012,18.277874,2011-10-04,3
2013,16.417614,2012-10-12,11
2014,8.261871,2014-01-22,113
2015,14.495458,2015-01-28,119
2016,18.26475,2016-02-07,129
2017,21.85685,2017-01-22,113
2018,17.184269,2018-02-02,124
2019,20.563633,2019-02-01,123
2020,11.0285425,2019-12-26,86
2021,18.937643,2021-01-03,94
2022,11.133164,2022-01-13,104
2023,19.946783,2022-12-31,91
2024,16.82342,2024-01-06,97
2025,11.993461,2024-12-09,69
2026,9.730963,2025-12-05,65
2027,7.4271865,2026-11-17,47
2028,12.514169,2027-12-12,72
2029,10.7675085,2028-11-21,51
2030,9.993368,2029-11-25,55
2031,11.809433,2030-11-12,42
2032,12.400619,2031-11-02,32
2033,12.553222,2032-11-25,55
2034,13.012935,2033-10-17,16
2035,14.861937,2035-09-30,364
2036,16.815145,2035-10-12,11
2037,19.42709,2036-10-23,22
2038,13.452973,2037-10-20,19
2039,17.750847,2038-10-22,21
2040,13.675915,2040-09-18,353
2041,11.561933,2040-10-05,4
2042,6.5500484,2042-08-19,322
2043,6.9002376,2043-08-28,331
2044,7.9173274,2044-08-28,332
2045,13.336843,2045-08-18,321
2046,20.456001,2046-08-12,315
2047,21.000523,2047-08-17,320
2048,20.702765,2048-08-11,315
2049,6.5498424,2049-07-02,274
2050,18.70893,2050-08-05,308
2051,14.231212,2051-07-03,275
2052,8.983093,2052-07-12,285
2053,10.936725,2053-07-05,277
2054,11.787157,2054-07-13,285
2055,10.046714,2055-06-22,264
2056,5.1317472,2056-06-02,245
2057,14.047515,2057-06-29,271
2058,10.734205,2058-06-19,261
2059,14.156352,2059-06-23,265
2060,13.157311,2060-05-27,239
2061,6.1794467,2061-06-02,244
2062,24.39629,2062-05-20,231
2063,6.740133,2063-05-23,234
2064,13.746384,2064-05-18,230
2065,8.518068,2065-04-05,186
2066,14.858409,2066-05-08,219
2067,6.6821446,2067-05-01,212
2068,7.2034717,2068-05-03,215
2069,9.24833,2069-05-08,219
2070,7.724866,2070-03-22,172
2071,9.830863,2071-03-26,176
2072,12.083619,2072-03-28,179
2073,10.617634,2073-03-20,170
2074,13.9378,2074-03-27,177
2075,10.580104,2075-02-20,142
2076,11.980156,2076-02-05,127
2077,6.183982,2077-02-22,144
2078,6.779073,2078-02-27,149
2079,10.35779,2079-03-16,166
2080,4.0316515,2080-01-21,112
2081,13.533925,2081-01-24,115
2082,3.9491916,2082-01-07,98
2083,5.9913354,2083-01-13,104
2084,4.1042047,2084-01-05,96
2085,13.678981,2084-12-31,91
2086,5.1342077,2086-01-09,100
2087,6.3682275,2087-01-16,107
2088,4.7082977,2087-12-20,80
2089,4.881219,2088-12-07,67
2090,2.3145416,2090-09-30,364
2091,5.158767,2090-12-20,80
2092,3.114401,2091-12-29,89
2093,6.491988,2092-11-16,46
2094,3.7255075,2093-11-25,55
2095,7.9645996,2094-11-29,59
2096,4.5374565,2095-10-24,23
2097,5.3203197,2097-09-30,364
