,maxval,maxdate,maxarg
1981,0.8221996,1980-11-26,56
1982,1.5238619,1982-01-07,98
1983,0.45103994,1982-12-25,85
1984,0.69399655,1984-01-17,108
1985,2.0131304,1984-12-09,69
1986,1.300929,1986-01-01,92
1987,2.883977,1987-01-17,108
1988,0.6791569,1987-12-10,70
1989,1.0825408,1988-12-22,82
1990,1.336431,1989-12-27,87
1991,1.0731629,1990-10-19,18
1992,0.6354928,1991-11-17,47
1993,1.9510577,1992-12-07,67
1994,2.381355,1994-09-30,364
1995,3.2006583,1994-10-31,30
1996,0.9964984,1995-12-21,81
1997,0.73528117,1997-09-21,355
1998,1.6170942,1998-09-04,338
1999,0.7747421,1998-10-08,7
2000,0.9130622,1999-11-17,47
2001,1.9641737,2001-09-29,363
2002,2.8540304,2001-10-07,6
2003,0.68405825,2003-09-30,364
2004,1.0191572,2004-08-06,310
2005,0.7862147,2005-08-18,321
2006,1.6719813,2006-08-11,314
2007,1.2182721,2007-08-31,334
2008,2.9796674,2008-08-27,331
2009,0.8873797,2009-08-14,317
2010,1.9423556,2010-07-29,301
2011,1.8992633,2011-08-09,312
2012,1.5845444,2012-07-22,295
2013,0.44700652,2013-07-02,274
2014,1.1798873,2013-11-18,48
2015,1.9832929,2015-09-30,364
2016,2.405608,2015-11-09,39
2017,0.6295337,2016-10-02,1
2018,1.2247438,2018-09-19,353
2019,0.8415672,2018-10-13,12
2020,0.44719157,2019-10-14,13
2021,1.7798206,2020-10-09,8
2022,0.47472996,2021-11-19,49
2023,1.6030706,2023-09-02,336
2024,1.3510236,2024-09-07,342
2025,1.5249269,2025-09-23,357
2026,1.0037532,2025-10-01,0
2027,0.99243134,2027-08-25,328
2028,0.55125284,2027-10-06,5
2029,0.6887262,2029-09-17,351
2030,1.09024,2030-08-17,320
2031,0.7197878,2031-07-18,290
2032,0.6385287,2032-07-10,283
2033,0.7936071,2033-09-15,349
2034,1.8836099,2034-07-20,292
2035,1.4454415,2035-06-26,268
2036,0.5874451,2036-06-09,252
2037,1.4705744,2037-07-05,277
2038,0.5476774,2038-06-30,272
2039,0.85824126,2039-05-15,226
2040,1.1754979,2040-08-06,310
2041,0.550594,2041-05-14,225
2042,0.9567088,2042-08-16,319
2043,1.7564781,2043-08-23,326
2044,0.3281619,2044-05-29,241
2045,1.2079568,2045-07-18,290
2046,0.8495247,2046-06-26,268
2047,1.5818105,2047-06-06,248
2048,1.1188526,2048-06-02,245
2049,0.38561758,2049-05-04,215
2050,0.5163521,2050-05-30,241
2051,1.1523776,2051-05-03,214
2052,0.3387732,2052-04-28,210
2053,1.5343888,2053-04-16,197
2054,1.0839626,2054-04-09,190
2055,1.3117952,2055-03-12,162
2056,0.3350873,2056-04-24,206
2057,0.91316193,2057-04-14,195
2058,0.69828963,2058-03-21,171
2059,0.22564691,2059-02-28,150
2060,1.2315191,2060-04-05,187
2061,1.2186604,2061-02-27,149
2062,0.6280171,2062-01-31,122
2063,0.72338825,2063-03-11,161
2064,0.8708862,2064-01-31,122
2065,0.82302403,2065-02-13,135
2066,1.0670186,2066-02-13,135
2067,0.2305442,2067-03-24,174
2068,1.1053602,2068-01-18,109
2069,1.108317,2069-05-13,224
2070,0.5533615,2070-02-13,135
2071,1.5943595,2071-01-14,105
2072,1.2106553,2072-02-19,141
2073,0.6684041,2073-02-11,133
2074,1.1021183,2074-01-17,108
2075,0.39807686,2075-01-03,94
2076,0.3912023,2075-11-19,49
2077,1.1386807,2077-02-12,134
2078,0.5596162,2077-11-17,47
2079,1.0773132,2078-11-23,53
2080,0.49270982,2079-12-21,81
2081,0.7001035,2080-10-15,14
2082,0.19937356,2081-12-20,80
2083,0.69306844,2082-11-17,47
2084,0.19801532,2083-11-27,57
2085,1.0727884,2084-10-14,13
2086,0.7424245,2085-10-29,28
2087,0.46680167,2086-11-11,41
2088,0.33687723,2087-11-30,60
2089,0.20597145,2089-09-30,364
2090,0.43261817,2089-12-01,61
2091,0.2334009,2090-11-17,47
2092,0.3784816,2091-11-21,51
2093,0.36199623,2093-09-29,363
2094,0.31993756,2093-10-01,0
2095,0.20233378,2094-10-14,13
2096,0.33447212,2096-09-03,338
2097,0.36533576,2097-08-30,333
