,maxval,maxdate,maxarg
1981,26.624933,1981-03-26,176
1982,28.021475,1982-03-05,155
1983,11.0496025,1983-03-23,173
1984,9.30345,1984-02-01,123
1985,31.197208,1985-03-25,175
1986,15.67853,1986-02-18,140
1987,25.77859,1987-03-01,151
1988,15.977672,1988-01-31,122
1989,6.56912,1989-02-08,130
1990,27.644632,1990-02-25,147
1991,18.27087,1991-02-02,124
1992,18.141794,1992-01-09,100
1993,11.1615,1993-01-28,119
1994,10.622296,1993-12-11,71
1995,22.752203,1995-01-02,93
1996,12.611489,1996-01-22,113
1997,13.900839,1997-09-30,364
1998,22.93679,1997-12-30,90
1999,13.531375,1998-11-20,50
2000,6.826486,1999-11-25,55
2001,12.683301,2000-12-10,70
2002,15.915515,2001-11-21,51
2003,16.804054,2002-11-26,56
2004,16.743881,2003-11-30,60
2005,16.215656,2004-11-27,57
2006,18.38192,2005-11-14,44
2007,11.73436,2006-10-12,11
2008,17.13928,2008-09-26,361
2009,15.863301,2008-10-01,0
2010,21.732758,2010-09-16,350
2011,26.560244,2010-10-26,25
2012,17.437243,2011-10-03,2
2013,8.658645,2012-10-09,8
2014,15.638987,2014-01-19,110
2015,15.156967,2015-02-09,131
2016,12.422472,2016-01-07,98
2017,25.926088,2016-12-01,61
2018,14.105457,2018-01-30,121
2019,13.151577,2018-11-19,49
2020,10.088203,2019-11-24,54
2021,20.858694,2020-11-20,50
2022,11.181459,2022-09-13,347
2023,22.051039,2022-11-28,58
2024,10.86134,2024-09-30,365
2025,12.583413,2024-10-11,10
2026,17.923786,2025-12-05,65
2027,9.287106,2027-09-30,364
2028,12.299741,2027-12-10,70
2029,6.054049,2028-10-30,29
2030,6.5397186,2030-08-17,320
2031,9.44952,2030-11-09,39
2032,14.724336,2032-09-26,361
2033,20.282656,2033-09-30,364
2034,20.378233,2033-10-07,6
2035,18.526894,2034-10-25,24
2036,12.319198,2035-10-01,0
2037,15.061478,2037-08-17,320
2038,8.183687,2037-10-01,0
2039,9.125115,2039-05-21,232
2040,15.828306,2040-09-16,351
2041,9.684219,2040-10-02,1
2042,2.0897307,2042-05-31,242
2043,8.559865,2043-08-29,332
2044,8.119733,2044-06-23,266
2045,8.041173,2045-07-25,297
2046,18.810167,2046-07-04,276
2047,19.08281,2047-07-24,296
2048,10.610665,2048-07-05,278
2049,3.1461556,2049-05-07,218
2050,6.5932364,2050-04-16,197
2051,10.356754,2051-06-17,259
2052,3.7450645,2052-03-23,174
2053,11.182793,2053-06-10,252
2054,10.063845,2054-06-17,259
2055,10.005744,2055-05-23,234
2056,1.8558862,2056-03-03,154
2057,11.046962,2057-07-04,276
2058,4.78659,2058-05-07,218
2059,3.0802524,2059-04-30,211
2060,3.9108717,2060-04-25,207
2061,11.40632,2061-03-09,159
2062,18.15187,2062-03-31,181
2063,7.0285945,2063-04-20,201
2064,4.311113,2064-04-04,186
2065,3.7589886,2065-03-30,180
2066,13.561642,2066-03-11,161
2067,3.0906553,2067-04-03,184
2068,1.6744081,2068-01-22,113
2069,1.145204,2069-01-18,109
2070,9.208571,2070-03-04,154
2071,4.5061927,2071-03-29,179
2072,12.617993,2072-03-06,157
2073,4.848562,2072-12-11,71
2074,6.79966,2074-02-17,139
2075,5.7630777,2075-02-04,126
2076,10.648389,2076-02-02,124
2077,2.492484,2077-02-21,143
2078,5.175696,2077-12-20,80
2079,8.57537,2079-01-22,113
2080,2.927837,2080-01-18,109
2081,2.6512828,2080-10-16,15
2082,0.9403773,2081-11-13,43
2083,1.9127343,2082-12-20,80
2084,4.0386834,2083-12-04,64
2085,5.107848,2084-12-30,90
2086,3.9492164,2085-10-30,29
2087,3.6919065,2086-11-24,54
2088,2.1736407,2088-09-22,357
2089,1.6043841,2089-09-30,364
2090,1.9685005,2090-09-26,360
2091,1.6845431,2090-10-01,0
2092,4.122168,2091-12-12,72
2093,1.4090267,2093-09-27,361
2094,2.6554825,2094-09-30,364
2095,2.6634946,2094-10-01,0
2096,1.7308974,2095-10-19,18
2097,2.830512,2097-08-30,333
