,maxval,maxdate,maxarg
1981,19.662788,1981-03-26,176
1982,29.810726,1982-03-10,160
1983,10.289507,1983-02-23,145
1984,5.7800045,1984-02-18,140
1985,19.132473,1985-02-25,147
1986,12.936808,1986-03-15,165
1987,17.324526,1987-02-24,146
1988,9.163154,1988-01-31,122
1989,8.395456,1989-01-26,117
1990,19.900793,1990-02-27,149
1991,13.960689,1991-02-04,126
1992,12.150409,1992-02-01,123
1993,13.601703,1993-01-29,120
1994,11.902411,1993-12-29,89
1995,18.054087,1995-01-05,96
1996,15.128156,1996-01-20,111
1997,11.929691,1996-12-24,84
1998,17.148592,1998-01-01,92
1999,11.590609,1998-11-28,58
2000,8.404623,1999-12-02,62
2001,10.146678,2000-12-15,75
2002,13.067941,2001-12-30,90
2003,18.867037,2002-12-09,69
2004,16.03404,2003-12-04,64
2005,15.090757,2004-11-30,60
2006,15.230792,2005-11-17,47
2007,13.300232,2006-10-25,24
2008,13.053444,2007-10-26,25
2009,12.686392,2009-09-28,362
2010,13.323623,2009-10-15,14
2011,17.062613,2011-09-24,358
2012,17.065804,2012-09-30,365
2013,17.882462,2012-10-09,8
2014,11.361,2014-01-22,113
2015,15.714788,2015-01-28,119
2016,13.660672,2016-02-05,127
2017,19.154442,2017-01-17,108
2018,16.51771,2018-01-31,122
2019,15.514915,2019-01-11,102
2020,11.073341,2019-12-25,85
2021,20.176281,2020-12-09,69
2022,13.920953,2021-12-23,83
2023,20.51928,2022-12-21,81
2024,12.884153,2024-09-30,365
2025,18.492182,2024-11-21,51
2026,12.472697,2025-11-27,57
2027,9.406174,2026-11-15,45
2028,11.095366,2028-09-30,365
2029,16.21901,2028-11-17,47
2030,10.367637,2030-09-30,364
2031,12.364644,2030-11-05,35
2032,12.512924,2032-09-27,362
2033,15.766607,2033-09-30,364
2034,18.657923,2033-10-16,15
2035,18.838121,2035-09-30,364
2036,19.897251,2035-10-12,11
2037,14.067322,2037-09-27,361
2038,15.161821,2038-09-11,345
2039,19.474684,2039-09-27,361
2040,19.444464,2039-10-05,4
2041,10.96508,2041-08-12,315
2042,11.447342,2042-08-20,323
2043,14.256397,2043-08-15,318
2044,9.303543,2044-07-22,295
2045,12.140035,2045-08-17,320
2046,20.151161,2046-08-11,314
2047,19.466295,2047-07-25,297
2048,17.533552,2048-08-09,313
2049,8.798186,2049-06-26,268
2050,13.659349,2050-06-25,267
2051,13.418793,2051-06-28,270
2052,8.382809,2052-07-10,283
2053,14.7327,2053-06-14,256
2054,16.447952,2054-07-06,278
2055,10.480892,2055-06-22,264
2056,7.7356653,2056-06-01,244
2057,12.474283,2057-06-11,253
2058,11.3890295,2058-06-07,249
2059,13.699604,2059-05-04,215
2060,10.649854,2060-05-26,238
2061,9.331347,2061-04-14,195
2062,19.69942,2062-04-16,197
2063,6.2294283,2063-04-20,201
2064,8.432817,2064-04-20,202
2065,7.408189,2065-03-28,178
2066,13.417916,2066-03-26,176
2067,4.437883,2067-04-17,198
2068,5.3514214,2068-03-06,157
2069,4.0685496,2069-02-24,146
2070,7.2420936,2070-03-07,157
2071,13.128121,2071-03-25,175
2072,14.039751,2072-03-09,160
2073,12.832244,2073-03-18,168
2074,10.272286,2074-02-27,149
2075,10.7267065,2075-02-08,130
2076,7.975688,2076-01-30,121
2077,9.26287,2077-02-17,139
2078,11.7118845,2078-02-01,123
2079,11.60113,2079-01-23,114
2080,7.996219,2080-01-20,111
2081,6.6216993,2081-01-15,106
2082,5.060571,2082-01-05,96
2083,6.086777,2082-12-08,68
2084,6.6513753,2084-01-05,96
2085,9.201601,2084-12-28,88
2086,6.4907436,2085-11-06,36
2087,7.521162,2086-12-09,69
2088,3.3399224,2087-12-01,61
2089,3.530932,2088-10-26,25
2090,4.5880966,2090-09-25,359
2091,4.602956,2090-10-10,9
2092,5.4556065,2092-09-30,365
2093,8.830688,2092-11-13,43
2094,3.4674566,2094-09-30,364
2095,7.798523,2094-10-24,23
2096,5.5488772,2095-10-23,22
2097,7.8203793,2097-09-30,364
