,maxval,maxdate,maxarg
1981,28.026917,1981-04-05,186
1982,50.73699,1982-04-10,191
1983,24.249577,1983-03-24,174
1984,11.762437,1984-03-22,173
1985,37.056602,1985-04-08,189
1986,10.193115,1986-03-16,166
1987,28.57903,1987-04-04,185
1988,20.584127,1988-02-23,145
1989,13.372225,1989-02-10,132
1990,29.8934,1990-03-02,152
1991,24.67037,1991-02-15,137
1992,17.521318,1992-02-02,124
1993,16.710295,1993-02-08,130
1994,13.790525,1994-01-27,118
1995,30.843115,1995-01-25,116
1996,14.710296,1996-01-22,113
1997,12.630269,1996-12-23,83
1998,24.435785,1997-12-31,91
1999,12.712267,1998-12-31,91
2000,11.766357,2000-01-04,95
2001,14.323375,2001-09-30,364
2002,20.541866,2001-12-25,85
2003,26.801777,2002-12-24,84
2004,31.714523,2003-12-11,71
2005,23.636219,2004-12-15,75
2006,21.204544,2005-11-22,52
2007,15.55259,2006-11-28,58
2008,23.013823,2008-09-30,365
2009,24.759968,2008-10-27,26
2010,16.454605,2010-09-30,364
2011,21.343163,2011-09-30,364
2012,31.742733,2012-09-30,365
2013,33.76986,2012-10-15,14
2014,13.83374,2014-01-27,118
2015,22.581915,2015-02-10,132
2016,13.479912,2016-02-02,124
2017,29.4894,2017-01-22,113
2018,23.136143,2018-01-31,122
2019,20.59497,2019-01-12,103
2020,20.305243,2020-01-09,100
2021,30.337637,2021-01-04,95
2022,18.386213,2022-09-30,364
2023,32.888847,2023-01-15,106
2024,12.191759,2024-09-30,365
2025,20.525467,2024-12-28,88
2026,20.806173,2025-12-05,65
2027,15.350159,2026-11-18,48
2028,14.042473,2028-09-30,365
2029,19.924013,2028-11-16,46
2030,8.485849,2029-10-08,7
2031,11.592734,2030-11-13,43
2032,25.12353,2032-09-27,362
2033,25.374674,2033-09-30,364
2034,25.746115,2033-10-29,28
2035,24.411373,2034-10-28,27
2036,21.69788,2035-10-09,8
2037,26.1031,2037-09-21,355
2038,24.059372,2037-10-01,0
2039,29.027712,2039-09-29,363
2040,29.500963,2039-10-06,5
2041,22.651598,2041-08-15,318
2042,19.843975,2041-10-01,0
2043,14.171933,2043-08-30,333
2044,17.97265,2044-07-17,290
2045,16.133835,2045-08-17,320
2046,28.720848,2046-07-31,303
2047,35.38003,2047-08-12,315
2048,27.91894,2048-07-16,289
2049,12.105194,2049-08-10,313
2050,20.56034,2050-07-26,298
2051,17.382175,2051-06-27,269
2052,13.92778,2052-07-12,285
2053,24.279814,2053-06-22,264
2054,13.743544,2054-07-12,284
2055,11.066826,2055-06-29,271
2056,5.3279223,2056-04-30,212
2057,16.903246,2057-07-04,276
2058,19.337397,2058-06-05,247
2059,15.214755,2059-05-04,215
2060,9.734216,2060-05-22,234
2061,18.837145,2061-05-31,242
2062,28.358837,2062-05-18,229
2063,10.513837,2063-04-24,205
2064,22.109299,2064-05-15,227
2065,8.663993,2065-04-27,208
2066,24.890425,2066-04-10,191
2067,6.440934,2067-04-12,193
2068,7.5189095,2068-03-25,176
2069,10.455688,2069-02-24,146
2070,14.86287,2070-03-24,174
2071,13.736867,2071-03-30,180
2072,16.986902,2072-03-25,176
2073,14.93394,2073-03-18,168
2074,8.082792,2074-03-02,152
2075,14.477859,2075-02-09,131
2076,18.860826,2076-02-05,127
2077,6.6599407,2077-02-22,144
2078,9.571644,2078-02-05,127
2079,9.900304,2079-01-29,120
2080,5.0421543,2080-01-21,112
2081,16.324997,2081-01-25,116
2082,2.8418326,2081-12-29,89
2083,4.0076327,2083-01-11,102
2084,12.419948,2084-01-04,95
2085,13.434241,2085-01-06,97
2086,5.4532895,2085-11-06,36
2087,12.607007,2086-12-11,71
2088,8.319034,2087-12-15,75
2089,6.739448,2088-11-07,37
2090,6.356254,2090-09-26,360
2091,9.130654,2090-10-24,23
2092,6.913755,2091-10-19,18
2093,7.6194873,2092-11-15,45
2094,11.1893635,2094-09-30,364
2095,15.109925,2094-10-22,21
2096,7.41008,2095-11-27,57
2097,2.8811133,2096-11-10,40
