,maxval,maxdate,maxarg
1981,16.297953,1981-03-26,176
1982,26.736433,1982-03-08,158
1983,8.107052,1983-02-01,123
1984,3.1635506,1984-02-01,123
1985,19.958893,1985-03-06,156
1986,5.8741946,1986-02-21,143
1987,18.3479,1987-03-01,151
1988,6.6029434,1988-01-30,121
1989,4.9261456,1988-12-27,87
1990,16.761686,1990-02-25,147
1991,8.3936405,1991-01-01,92
1992,9.519819,1992-01-22,113
1993,8.224412,1992-12-15,75
1994,9.1343,1993-12-11,71
1995,15.300597,1995-01-03,94
1996,8.167505,1995-12-26,86
1997,9.896082,1996-11-11,41
1998,16.45651,1997-12-31,91
1999,8.863612,1998-11-08,38
2000,2.5712543,1999-11-23,53
2001,2.7918646,2001-09-29,363
2002,7.8326955,2002-09-30,364
2003,12.479843,2002-12-05,65
2004,12.973989,2003-12-01,61
2005,12.340393,2004-11-29,59
2006,15.101336,2005-11-16,46
2007,10.392772,2006-10-24,23
2008,10.617553,2008-09-28,363
2009,10.2289915,2008-10-01,0
2010,12.143012,2010-09-22,356
2011,14.552359,2011-09-29,363
2012,14.673447,2011-10-02,1
2013,11.598654,2012-10-08,7
2014,9.247162,2014-01-20,111
2015,9.984901,2015-02-09,131
2016,7.8334975,2016-01-09,100
2017,15.126259,2016-12-04,64
2018,10.021769,2017-12-23,83
2019,7.8414507,2018-11-21,51
2020,7.2509446,2019-11-06,36
2021,16.912592,2020-11-25,55
2022,6.835505,2022-09-30,364
2023,16.33271,2022-12-09,69
2024,10.454175,2024-09-30,365
2025,12.402265,2024-10-17,16
2026,7.6369705,2025-10-01,0
2027,6.5884743,2027-09-30,364
2028,7.7674975,2027-10-29,28
2029,11.017793,2028-10-30,29
2030,4.9407263,2030-09-17,351
2031,4.948532,2031-09-27,361
2032,7.635353,2032-09-27,362
2033,17.557222,2033-09-30,364
2034,18.076124,2033-10-10,9
2035,13.490865,2034-10-09,8
2036,12.259471,2035-10-05,4
2037,11.309867,2037-08-19,322
2038,10.958801,2038-09-02,336
2039,7.813933,2038-10-01,0
2040,6.8050365,2040-08-09,313
2041,2.3703759,2041-06-27,269
2042,7.465879,2042-08-09,312
2043,6.510526,2043-08-30,333
2044,10.002877,2044-07-13,286
2045,2.253677,2045-07-26,298
2046,16.57562,2046-07-08,280
2047,13.354392,2047-07-26,298
2048,11.913757,2048-07-15,288
2049,2.087782,2049-03-08,158
2050,12.526237,2050-07-25,297
2051,11.418964,2051-06-21,263
2052,2.3696089,2052-03-27,178
2053,8.720007,2053-06-07,249
2054,10.022728,2054-06-24,266
2055,8.592712,2055-06-02,244
2056,2.2689016,2056-03-03,154
2057,8.024934,2057-06-02,244
2058,2.3356814,2058-06-04,246
2059,3.3234038,2059-04-30,211
2060,1.6541553,2060-04-08,190
2061,7.0861983,2061-04-10,191
2062,14.58563,2062-04-01,182
2063,1.342607,2063-02-16,138
2064,2.9082062,2064-04-19,201
2065,2.2349534,2065-03-11,161
2066,9.969179,2066-03-12,162
2067,1.3231233,2067-03-22,172
2068,2.5026069,2068-02-19,141
2069,1.26516,2069-02-23,145
2070,5.8179665,2070-03-06,156
2071,3.6057065,2071-02-02,124
2072,8.676575,2072-03-08,159
2073,4.108882,2072-12-12,72
2074,4.2521935,2074-01-20,111
2075,5.9392734,2075-02-06,128
2076,4.1957765,2076-02-02,124
2077,3.4045699,2076-12-19,79
2078,5.025374,2078-01-01,92
2079,7.1738043,2079-01-23,114
2080,1.747937,2079-12-06,66
2081,1.5332015,2080-11-27,57
2082,0.74185795,2081-11-30,60
2083,0.9572547,2082-11-17,47
2084,2.5052109,2083-12-05,65
2085,1.8987658,2084-11-29,59
2086,2.8491004,2085-11-02,32
2087,1.7873917,2086-10-26,25
2088,2.3317058,2087-12-04,64
2089,0.6345154,2088-10-07,6
2090,0.72698194,2090-09-14,348
2091,0.8708063,2091-08-24,327
2092,0.848313,2091-11-26,56
2093,2.628664,2093-09-30,364
2094,2.7386823,2094-09-07,341
2095,1.9890294,2095-08-16,319
2096,1.452072,2095-10-19,18
2097,1.725542,2097-09-30,364
