,maxval,maxdate,maxarg
1981,10.969784,1981-03-27,177
1982,12.678443,1982-03-06,156
1983,11.883382,1983-01-27,118
1984,5.602117,1984-02-03,125
1985,12.690285,1985-03-25,175
1986,3.48773,1986-04-18,199
1987,6.3213,1987-02-02,124
1988,11.140535,1988-02-04,126
1989,6.5025744,1989-02-04,126
1990,7.834523,1990-02-20,142
1991,2.3656766,1990-11-08,38
1992,4.146855,1992-01-21,112
1993,9.003422,1993-02-03,125
1994,7.4349566,1994-01-09,100
1995,11.823035,1995-01-15,106
1996,7.4971027,1996-01-20,111
1997,2.8597975,1996-11-18,48
1998,12.229901,1997-12-29,89
1999,3.1244636,1999-08-28,331
2000,4.901062,2000-09-23,358
2001,7.891842,2000-12-14,74
2002,6.438332,2001-11-12,42
2003,9.193533,2003-09-30,364
2004,14.77618,2003-12-11,71
2005,15.306671,2004-12-07,67
2006,8.889965,2006-09-30,364
2007,12.842972,2006-10-26,25
2008,11.357227,2008-09-30,365
2009,13.636253,2008-10-29,28
2010,8.322914,2010-09-23,357
2011,9.67397,2011-09-29,363
2012,10.536286,2012-09-11,346
2013,7.6926975,2012-10-12,11
2014,2.6587605,2013-12-10,70
2015,9.736374,2014-12-18,78
2016,2.7385368,2015-10-06,5
2017,8.154572,2016-12-07,67
2018,14.316787,2018-01-11,102
2019,7.913796,2018-11-05,35
2020,6.584903,2019-11-14,44
2021,13.838783,2020-12-17,77
2022,7.1526175,2022-09-30,364
2023,12.504945,2022-11-22,52
2024,5.26413,2024-09-30,365
2025,11.426514,2024-11-22,52
2026,5.1490445,2025-11-26,56
2027,6.6440787,2027-09-30,364
2028,11.51099,2027-12-11,71
2029,2.283889,2028-12-06,66
2030,7.0944047,2030-09-30,364
2031,9.253077,2030-11-11,41
2032,5.3080616,2031-10-30,29
2033,4.8918595,2033-09-27,361
2034,14.236959,2034-09-30,364
2035,17.20327,2034-10-19,18
2036,8.554027,2035-10-01,0
2037,5.6173005,2037-08-18,321
2038,5.5159364,2038-08-03,306
2039,1.8851525,2039-07-21,293
2040,4.0471516,2040-09-01,336
2041,4.716454,2041-07-02,274
2042,4.205354,2042-06-13,255
2043,3.4606814,2042-10-17,16
2044,6.4178014,2044-07-13,286
2045,2.8901277,2045-08-17,320
2046,7.742677,2046-07-13,285
2047,7.808678,2047-07-26,298
2048,4.556907,2048-06-22,265
2049,4.9144373,2049-06-28,270
2050,4.890405,2050-07-25,297
2051,9.784434,2051-06-25,267
2052,2.3172064,2052-05-23,235
2053,3.1614883,2053-04-28,209
2054,3.64926,2054-06-30,272
2055,1.8409739,2055-05-01,212
2056,1.0763285,2056-03-26,177
2057,3.253699,2057-05-24,235
2058,2.9498773,2058-05-17,228
2059,6.200911,2059-05-03,214
2060,2.2355957,2060-04-09,191
2061,3.3409693,2061-05-28,239
2062,7.342587,2062-05-03,214
2063,4.483368,2063-02-16,138
2064,3.5602043,2064-02-15,137
2065,4.789346,2065-03-14,164
2066,4.491169,2066-03-13,163
2067,3.3487723,2067-04-10,191
2068,1.8419386,2068-03-22,173
2069,3.4429054,2069-04-15,196
2070,4.6096187,2070-03-06,156
2071,2.7953258,2071-04-19,200
2072,5.9226575,2072-03-26,177
2073,3.2085729,2073-01-26,117
2074,2.2777162,2074-01-06,97
2075,2.4702196,2075-02-09,131
2076,5.6250644,2076-02-02,124
2077,3.9716315,2077-02-22,144
2078,1.1112982,2078-01-08,99
2079,2.143707,2078-11-28,58
2080,5.4726577,2080-01-20,111
2081,8.568594,2080-12-03,63
2082,0.94329566,2082-09-08,342
2083,1.2521399,2082-11-22,52
2084,3.5449877,2083-12-15,75
2085,6.965459,2085-01-02,93
2086,3.7040713,2086-02-07,129
2087,2.322307,2087-01-10,101
2088,5.6364264,2088-01-20,111
2089,1.8431617,2088-10-28,27
2090,3.114496,2089-10-28,27
2091,2.6165206,2091-01-02,93
2092,1.8907945,2092-09-28,363
2093,1.2334362,2092-11-27,57
2094,3.359346,2094-09-30,364
2095,3.4306107,2094-10-02,1
2096,4.7577963,2095-11-23,53
2097,3.1215954,2096-11-01,31
