,maxval,maxdate,maxarg
1981,8.22924,1981-03-24,174
1982,12.942113,1982-04-22,203
1983,10.005271,1983-03-26,176
1984,6.728753,1984-02-03,125
1985,12.090026,1985-03-26,176
1986,14.453107,1986-03-15,165
1987,10.2874775,1987-04-02,183
1988,6.771212,1988-02-24,146
1989,8.209587,1989-01-27,118
1990,12.770973,1990-02-26,148
1991,7.8114924,1991-02-11,133
1992,8.123619,1992-01-24,115
1993,10.301157,1993-02-04,126
1994,8.880749,1994-01-26,117
1995,7.9109883,1995-02-10,132
1996,8.959338,1996-01-19,110
1997,8.0529585,1996-12-23,83
1998,9.107513,1998-01-01,92
1999,5.00339,1998-11-29,59
2000,3.344293,1999-10-13,12
2001,5.857844,2000-12-25,85
2002,10.000984,2001-12-31,91
2003,21.231077,2003-01-03,94
2004,7.7495484,2003-12-04,64
2005,9.610898,2004-12-19,79
2006,11.183734,2005-11-18,48
2007,8.217598,2006-10-14,13
2008,5.8756065,2007-10-25,24
2009,5.824211,2009-09-28,362
2010,7.8062377,2009-11-12,42
2011,11.275726,2011-09-26,360
2012,11.204904,2011-10-01,0
2013,7.3447266,2012-10-11,10
2014,8.301996,2014-01-21,112
2015,4.018657,2014-12-18,78
2016,11.347167,2016-01-29,120
2017,10.553941,2017-01-19,110
2018,4.3626223,2017-11-04,34
2019,9.6119175,2019-01-12,103
2020,4.662247,2019-11-06,36
2021,7.9035983,2020-11-26,56
2022,9.178387,2022-01-11,102
2023,10.815019,2023-01-17,108
2024,4.049338,2023-12-30,90
2025,6.8471484,2024-11-23,53
2026,4.0934377,2025-11-27,57
2027,5.813752,2027-09-30,364
2028,8.917862,2027-11-27,57
2029,4.646546,2029-09-30,364
2030,8.529822,2029-12-13,73
2031,11.168041,2030-11-09,39
2032,6.7791777,2031-10-29,28
2033,5.7206798,2033-09-27,361
2034,10.18749,2034-09-30,364
2035,11.476352,2034-10-22,21
2036,8.927483,2035-10-10,9
2037,6.4563847,2036-10-22,21
2038,4.117007,2038-09-10,344
2039,9.049064,2039-09-24,358
2040,9.991043,2039-10-05,4
2041,5.505487,2041-08-11,314
2042,4.444289,2042-08-11,314
2043,2.7352314,2043-08-28,331
2044,7.7819266,2044-07-31,304
2045,5.6282787,2045-09-29,363
2046,8.760294,2046-07-13,285
2047,7.5256505,2047-07-27,299
2048,3.790615,2048-08-08,312
2049,5.617926,2049-06-03,245
2050,5.294142,2050-08-05,308
2051,10.793274,2051-06-25,267
2052,2.561293,2052-05-01,213
2053,6.7520676,2053-06-11,253
2054,8.294742,2054-07-05,277
2055,6.9415417,2055-06-13,255
2056,1.4998404,2056-01-29,120
2057,6.1453557,2057-06-10,252
2058,1.7782546,2058-06-07,249
2059,5.7690687,2059-05-08,219
2060,4.1899924,2060-05-24,236
2061,2.7965777,2061-05-16,227
2062,4.9707613,2062-04-02,183
2063,2.3827763,2063-04-14,195
2064,5.5230417,2064-05-16,228
2065,5.0610814,2065-04-26,207
2066,2.8127732,2066-03-14,164
2067,4.093734,2067-04-16,197
2068,2.0899723,2068-02-18,140
2069,4.142963,2069-04-14,195
2070,4.0456047,2070-03-06,156
2071,2.9509854,2071-04-19,200
2072,4.16505,2072-03-26,177
2073,4.8991733,2073-03-19,169
2074,2.7436323,2074-01-06,97
2075,4.921314,2075-04-10,191
2076,4.526378,2076-02-03,125
2077,2.2833302,2076-12-17,77
2078,3.3430438,2078-01-21,112
2079,7.337077,2079-03-15,165
2080,8.052211,2080-03-21,172
2081,3.65031,2081-01-25,116
2082,3.0720925,2082-02-07,129
2083,5.206763,2082-12-08,68
2084,2.7338307,2083-10-06,5
2085,3.6238499,2084-12-30,90
2086,2.615813,2086-02-08,130
2087,2.4590683,2086-10-05,4
2088,1.5726002,2088-02-04,126
2089,3.3585138,2088-10-28,27
2090,1.9941086,2090-09-27,361
2091,3.0707514,2091-01-02,93
2092,3.3890457,2091-12-04,64
2093,2.4229941,2092-11-14,44
2094,1.889237,2093-12-18,78
2095,1.5087546,2095-08-14,317
2096,3.279286,2095-12-06,66
2097,3.7004564,2096-11-11,41
