,maxval,maxdate,maxarg
1981,118.90314,1981-04-06,187
1982,84.83957,1982-03-31,181
1983,93.35846,1983-03-24,174
1984,81.81216,1984-04-18,200
1985,114.58556,1985-04-14,195
1986,67.514084,1986-03-11,161
1987,111.62019,1987-03-31,181
1988,105.28431,1988-03-19,170
1989,69.91469,1989-02-11,133
1990,88.95331,1990-02-25,147
1991,96.002525,1991-02-16,138
1992,57.567337,1992-02-15,137
1993,71.74768,1993-02-09,131
1994,83.472855,1994-01-25,116
1995,107.808205,1995-02-02,124
1996,68.549614,1996-01-24,115
1997,59.006157,1996-12-23,83
1998,87.500145,1998-01-21,112
1999,75.679794,1998-12-31,91
2000,59.794643,2000-01-16,107
2001,79.32592,2000-12-22,82
2002,49.340763,2002-09-30,364
2003,103.6616,2002-12-31,91
2004,80.544815,2004-09-21,356
2005,113.28546,2004-12-16,76
2006,71.49292,2005-12-26,86
2007,87.42444,2006-12-11,71
2008,81.2792,2007-11-20,50
2009,70.887184,2008-10-23,22
2010,70.86542,2009-10-27,26
2011,72.69368,2011-09-30,364
2012,89.75326,2011-11-03,33
2013,79.427284,2012-11-15,45
2014,54.790154,2014-02-11,133
2015,61.096436,2015-02-08,130
2016,51.45166,2016-02-15,137
2017,85.84004,2017-01-31,122
2018,117.25726,2018-02-07,129
2019,42.304962,2019-01-07,98
2020,99.84542,2020-01-27,118
2021,102.13935,2021-01-04,95
2022,54.47751,2022-01-11,102
2023,84.03516,2023-01-12,103
2024,35.802525,2024-09-30,365
2025,61.127167,2025-01-03,94
2026,68.41643,2025-12-07,67
2027,66.3002,2027-09-30,364
2028,106.38566,2027-12-26,86
2029,22.643295,2028-11-29,59
2030,55.551216,2030-09-30,364
2031,97.250305,2030-12-08,68
2032,54.566963,2031-11-30,60
2033,59.914684,2033-09-30,364
2034,70.00275,2033-10-24,23
2035,71.13835,2034-11-10,40
2036,51.02928,2035-10-01,0
2037,47.01706,2037-08-18,321
2038,40.263687,2037-10-01,0
2039,53.477875,2039-09-30,364
2040,89.15117,2040-09-22,357
2041,89.84243,2040-10-09,8
2042,66.955666,2041-10-06,5
2043,13.760835,2043-08-04,307
2044,38.923218,2044-07-18,291
2045,37.98142,2045-09-16,350
2046,47.908237,2046-08-20,323
2047,40.33353,2047-08-15,318
2048,29.916754,2048-07-16,289
2049,31.82191,2049-08-29,332
2050,23.86763,2050-08-23,326
2051,37.990147,2051-06-24,266
2052,9.998584,2052-05-01,213
2053,40.578594,2053-06-17,259
2054,24.018543,2054-07-13,285
2055,48.66916,2055-07-19,291
2056,6.613174,2056-04-27,209
2057,34.89291,2057-07-04,276
2058,16.71963,2058-05-17,228
2059,6.466902,2059-03-03,153
2060,8.370351,2060-04-23,205
2061,44.559525,2061-06-12,254
2062,61.52572,2062-05-12,223
2063,20.683613,2063-03-16,166
2064,25.03684,2064-05-12,224
2065,30.004877,2065-04-28,209
2066,24.820196,2066-03-13,163
2067,8.256292,2067-02-26,148
2068,4.287351,2068-01-20,111
2069,4.64533,2068-12-18,78
2070,48.443825,2070-03-28,178
2071,13.917186,2071-03-30,180
2072,18.832664,2072-03-23,174
2073,16.80815,2073-03-14,164
2074,6.912324,2074-01-20,111
2075,48.560658,2075-03-30,180
2076,29.669088,2076-02-02,124
2077,4.7519445,2076-12-14,74
2078,11.062871,2077-12-06,66
2079,4.2793746,2078-12-19,79
2080,15.528615,2080-02-26,148
2081,8.809811,2080-11-29,59
2082,1.4312584,2081-11-24,54
2083,5.328833,2082-11-13,43
2084,18.5028,2084-01-09,100
2085,19.794111,2084-12-31,91
2086,2.660557,2085-10-29,28
2087,1.7326086,2086-12-15,75
2088,4.883351,2087-12-15,75
2089,3.030949,2088-10-28,27
2090,5.8030653,2089-11-03,33
2091,1.6049103,2091-08-31,334
2092,2.889847,2091-12-04,64
2093,2.1309543,2093-08-13,316
2094,3.7394447,2094-09-30,364
2095,5.223364,2095-08-14,317
2096,12.279045,2095-11-21,51
2097,8.350096,2096-11-10,40
