,maxval,maxdate,maxarg
1981,36.752792,1981-03-25,175
1982,68.659325,1982-04-21,202
1983,18.60998,1983-04-21,202
1984,11.480577,1984-03-17,168
1985,51.70195,1985-03-24,174
1986,26.24641,1986-03-13,163
1987,43.09307,1987-03-01,151
1988,20.58198,1988-01-27,118
1989,8.8638315,1989-02-16,138
1990,49.203773,1990-02-25,147
1991,33.701057,1991-02-10,132
1992,41.88567,1992-01-04,95
1993,23.540133,1993-01-31,122
1994,15.012693,1994-09-30,364
1995,31.757833,1995-01-01,92
1996,30.739481,1996-01-19,110
1997,25.41816,1997-01-29,120
1998,39.18808,1997-12-30,90
1999,20.979143,1999-01-05,96
2000,17.714048,2000-01-03,94
2001,12.699467,2001-09-30,364
2002,29.212261,2001-12-02,62
2003,29.41468,2002-12-02,62
2004,34.98303,2003-12-01,61
2005,25.14087,2004-11-26,56
2006,32.561726,2005-11-13,43
2007,24.76358,2006-11-27,57
2008,38.281773,2008-09-28,363
2009,37.77907,2008-10-01,0
2010,29.104633,2010-09-16,350
2011,39.309265,2010-11-04,34
2012,35.855377,2012-08-27,331
2013,34.258144,2012-10-04,3
2014,21.083403,2014-02-08,130
2015,18.905914,2015-02-10,132
2016,21.082542,2016-02-06,128
2017,35.499207,2016-11-30,60
2018,19.94043,2018-01-29,120
2019,17.876118,2019-01-09,100
2020,11.207507,2020-09-30,365
2021,45.47452,2021-01-01,92
2022,18.682087,2022-09-30,364
2023,48.212414,2022-12-24,84
2024,19.886305,2023-12-29,89
2025,15.487463,2025-09-29,363
2026,36.006504,2025-12-04,64
2027,11.606931,2027-09-30,364
2028,13.656829,2027-12-07,67
2029,20.670937,2028-11-04,34
2030,14.066319,2029-10-05,4
2031,7.024922,2031-09-27,361
2032,36.635323,2032-09-26,361
2033,42.629124,2033-09-30,364
2034,45.10791,2033-10-10,9
2035,22.085695,2034-10-27,26
2036,18.134544,2035-10-01,0
2037,31.332335,2037-09-16,350
2038,30.575237,2038-09-26,360
2039,30.639196,2038-10-12,11
2040,27.412676,2039-10-03,2
2041,18.929382,2040-10-03,2
2042,6.307599,2042-08-16,319
2043,14.324421,2043-08-26,329
2044,16.73503,2044-07-17,290
2045,10.778456,2045-07-25,297
2046,24.125568,2046-06-24,266
2047,34.475914,2047-07-21,293
2048,35.970978,2048-07-16,289
2049,17.042679,2049-06-25,267
2050,16.77739,2050-07-25,297
2051,13.071485,2051-06-21,263
2052,3.7688398,2052-06-16,259
2053,15.580802,2053-06-15,257
2054,17.219694,2054-06-18,260
2055,14.641483,2055-05-27,238
2056,2.8525412,2056-06-17,260
2057,30.575638,2057-07-10,282
2058,15.381166,2058-05-13,224
2059,13.21254,2059-04-30,211
2060,14.234295,2060-04-21,203
2061,16.93275,2061-06-02,244
2062,28.776224,2062-03-30,180
2063,11.515275,2063-04-21,202
2064,8.185231,2064-01-30,121
2065,4.2818108,2065-03-30,180
2066,14.730798,2066-03-10,160
2067,7.6225977,2067-04-04,185
2068,7.585081,2068-03-31,182
2069,7.813596,2069-02-23,145
2070,14.576238,2070-03-23,173
2071,18.776152,2071-03-29,179
2072,25.1549,2072-03-07,158
2073,7.618478,2072-12-10,70
2074,20.977541,2074-02-17,139
2075,8.354281,2075-01-17,108
2076,7.484191,2076-01-29,120
2077,7.5038123,2077-02-20,142
2078,4.667397,2077-12-26,86
2079,15.473262,2079-01-20,111
2080,4.438317,2080-01-16,107
2081,5.1966677,2081-03-11,161
2082,3.239551,2081-11-22,52
2083,4.631056,2082-11-17,47
2084,6.9660797,2083-12-08,68
2085,8.307496,2084-12-25,85
2086,2.9517546,2085-10-30,29
2087,12.8008375,2086-11-23,53
2088,7.4719934,2087-12-05,65
2089,2.499006,2088-12-31,91
2090,5.3116755,2090-09-26,360
2091,4.8234153,2090-10-01,0
2092,9.197236,2091-12-12,72
2093,3.1889422,2093-09-30,364
2094,4.80392,2094-09-30,364
2095,10.443595,2094-10-17,16
2096,3.1234825,2095-10-18,17
2097,6.4801173,2097-09-30,364
