,maxval,maxdate,maxarg
1981,11.862964,1981-03-25,175
1982,13.650145,1982-03-05,155
1983,5.872794,1983-01-23,114
1984,5.2654133,1984-02-01,123
1985,14.355288,1985-03-06,156
1986,5.6787114,1986-02-07,129
1987,13.982885,1987-03-23,173
1988,9.138169,1988-01-30,121
1989,3.9991517,1988-12-26,86
1990,13.799916,1990-01-22,113
1991,10.737149,1991-01-01,92
1992,5.6306233,1992-01-06,97
1993,8.290707,1992-12-15,75
1994,7.7733235,1993-12-11,71
1995,12.907906,1995-01-03,94
1996,9.027238,1996-01-22,113
1997,6.4692125,1996-11-11,41
1998,11.280522,1997-12-29,89
1999,9.665546,1998-11-20,50
2000,2.3296816,2000-09-25,360
2001,5.6387277,2000-12-10,70
2002,6.66648,2002-09-30,364
2003,10.928989,2002-11-26,56
2004,7.6548915,2004-09-26,361
2005,9.764406,2004-11-28,58
2006,8.824038,2006-09-30,364
2007,9.256972,2006-10-13,12
2008,13.069596,2007-10-30,29
2009,10.618969,2008-10-01,0
2010,9.845904,2010-09-12,346
2011,12.904668,2011-09-30,364
2012,13.462253,2011-10-02,1
2013,4.3454514,2012-10-11,10
2014,8.488385,2014-01-13,104
2015,4.6313267,2014-12-13,73
2016,8.166785,2016-01-07,98
2017,9.10069,2016-12-04,64
2018,8.465807,2017-11-29,59
2019,5.136307,2018-11-03,33
2020,5.2580934,2019-11-26,56
2021,10.722838,2020-11-20,50
2022,8.964436,2022-01-08,99
2023,15.563011,2022-11-27,57
2024,8.666779,2024-09-30,365
2025,8.677968,2024-10-01,0
2026,4.1587296,2025-12-03,63
2027,5.2664456,2027-09-30,364
2028,7.084055,2027-11-21,51
2029,3.0233583,2028-10-09,8
2030,4.34944,2030-09-20,354
2031,6.0255914,2031-09-29,363
2032,5.947117,2031-10-01,0
2033,12.523819,2033-09-17,351
2034,12.031124,2033-10-02,1
2035,9.39036,2034-10-01,0
2036,6.427686,2035-10-01,0
2037,6.2528253,2037-08-16,319
2038,4.88571,2038-08-03,306
2039,8.62112,2039-08-04,307
2040,7.5478272,2040-08-31,335
2041,2.3334808,2041-05-30,241
2042,4.418993,2042-07-13,285
2043,3.7653883,2043-06-25,267
2044,5.364974,2044-07-10,283
2045,1.113317,2045-07-26,298
2046,11.003275,2046-07-05,277
2047,9.576239,2047-07-26,298
2048,5.5510106,2048-06-15,258
2049,2.3147817,2049-05-09,220
2050,3.8258574,2050-04-17,198
2051,8.1411705,2051-06-17,259
2052,2.1901634,2052-03-24,175
2053,7.95354,2053-06-10,252
2054,2.4997685,2054-04-13,194
2055,5.80016,2055-06-01,243
2056,1.0598426,2056-03-04,155
2057,4.3794107,2057-05-23,234
2058,2.623767,2058-04-01,182
2059,1.3563484,2059-02-27,149
2060,1.4223704,2060-04-20,202
2061,6.7386727,2061-03-11,161
2062,7.7002234,2062-03-31,181
2063,1.2674673,2063-03-17,167
2064,3.8598483,2064-02-09,131
2065,4.1171303,2065-03-15,165
2066,6.5626984,2066-02-22,144
2067,1.6323783,2066-12-20,80
2068,4.654293,2068-02-17,139
2069,1.7092357,2069-01-18,109
2070,4.6445336,2070-03-06,156
2071,2.406553,2071-01-24,115
2072,5.2609687,2072-03-03,154
2073,1.6969374,2072-12-11,71
2074,1.5992123,2074-01-05,96
2075,3.8666682,2075-02-07,129
2076,3.5933967,2076-02-02,124
2077,2.9112964,2076-12-20,80
2078,1.5558896,2077-12-06,66
2079,3.1175628,2078-12-06,66
2080,1.050458,2079-12-29,89
2081,2.0083196,2081-01-24,115
2082,0.9686514,2081-11-25,55
2083,0.9056852,2082-11-14,44
2084,1.4602431,2084-01-02,93
2085,2.2793472,2084-12-05,65
2086,1.1363198,2085-10-31,30
2087,0.7980583,2086-10-02,1
2088,1.1160567,2088-09-17,352
2089,0.32351553,2088-12-05,65
2090,1.054693,2090-09-14,348
2091,0.36432022,2091-09-15,349
2092,0.760904,2091-11-26,56
2093,0.7645748,2092-11-01,31
2094,0.9955166,2093-11-19,49
2095,0.57800674,2095-08-10,313
2096,0.6273806,2096-09-03,338
2097,2.0213535,2097-08-30,333
