,maxval,maxdate,maxarg
1981,20.291489,1981-03-24,174
1982,19.67825,1982-02-21,143
1983,13.566651,1983-01-24,115
1984,9.355882,1984-01-31,122
1985,20.119823,1985-03-06,156
1986,7.737591,1986-02-05,127
1987,11.114358,1987-01-31,122
1988,19.131617,1988-02-23,145
1989,5.9618587,1988-12-22,82
1990,11.282617,1990-01-19,110
1991,11.889331,1990-12-06,66
1992,1.5558777,1991-11-23,53
1993,10.992501,1993-01-10,101
1994,14.879344,1993-12-09,69
1995,24.306587,1995-01-15,106
1996,12.3518095,1996-01-09,100
1997,7.241805,1997-09-30,364
1998,17.447674,1997-12-04,64
1999,11.100606,1998-11-08,38
2000,7.4265594,2000-09-23,358
2001,11.214169,2000-11-27,57
2002,7.365464,2002-09-30,364
2003,8.620368,2002-10-26,25
2004,11.44786,2004-09-23,358
2005,19.266678,2004-11-26,56
2006,15.706911,2006-09-30,364
2007,18.61996,2006-10-12,11
2008,16.086437,2007-10-06,5
2009,10.574706,2009-09-27,361
2010,14.228355,2010-09-11,345
2011,12.069569,2011-09-29,363
2012,11.985321,2011-10-01,0
2013,2.8374212,2013-07-05,277
2014,4.59472,2013-12-09,69
2015,6.7636323,2014-11-27,57
2016,7.044808,2015-12-02,62
2017,8.703517,2016-12-04,64
2018,13.152017,2017-11-29,59
2019,11.529926,2018-11-03,33
2020,5.7114463,2019-11-02,32
2021,13.744582,2020-11-06,36
2022,5.5307546,2022-09-14,348
2023,15.79767,2022-11-26,56
2024,11.738468,2024-09-13,348
2025,10.273701,2024-10-12,11
2026,9.24789,2025-10-01,0
2027,10.171059,2027-09-30,364
2028,10.425953,2027-10-29,28
2029,0.6703429,2029-07-13,285
2030,10.54179,2030-09-10,344
2031,9.480307,2030-10-01,0
2032,9.871437,2031-10-25,24
2033,4.1225486,2033-07-03,275
2034,5.6841207,2034-09-16,350
2035,4.234446,2034-10-01,0
2036,2.6275914,2036-07-05,278
2037,5.013812,2037-06-23,265
2038,2.0835822,2038-06-12,254
2039,2.281098,2039-09-22,356
2040,3.7091932,2040-08-09,313
2041,2.8552365,2041-06-27,269
2042,2.1398838,2042-07-09,281
2043,1.071636,2043-05-08,219
2044,3.6308014,2044-06-03,246
2045,0.9079339,2045-07-21,293
2046,10.235268,2046-07-06,278
2047,4.5097566,2047-07-19,291
2048,0.94687873,2048-06-20,263
2049,2.4068,2049-04-06,187
2050,1.6238166,2050-06-25,267
2051,11.334786,2051-06-16,258
2052,3.0284064,2052-05-01,213
2053,7.0109677,2053-04-25,206
2054,0.6994261,2054-04-08,189
2055,2.8743017,2055-05-01,212
2056,2.1599102,2056-04-26,208
2057,5.9315324,2057-05-22,233
2058,0.56363404,2058-04-30,211
2059,1.4024369,2059-04-12,193
2060,0.7755551,2060-04-09,191
2061,3.134114,2061-03-11,161
2062,3.1153677,2062-03-04,154
2063,4.190743,2063-02-12,134
2064,1.4637115,2064-02-09,131
2065,8.041142,2065-03-14,164
2066,6.5803833,2066-03-11,161
2067,1.3763952,2066-12-20,80
2068,1.7475475,2068-01-19,110
2069,0.30440953,2069-01-16,107
2070,5.874519,2070-03-05,155
2071,1.3614231,2071-02-03,125
2072,5.1979065,2072-02-24,146
2073,0.7828729,2073-02-18,140
2074,2.6005661,2074-01-05,96
2075,2.8466568,2075-01-05,96
2076,2.1456463,2076-01-11,102
2077,0.66197956,2076-12-14,74
2078,1.3212613,2077-11-17,47
2079,1.071649,2078-11-21,51
2080,1.5351542,2079-12-06,66
2081,1.3418279,2080-11-29,59
2082,0.8780242,2081-11-14,44
2083,0.42884868,2082-11-12,42
2084,0.79306316,2083-12-15,75
2085,3.9797304,2084-11-28,58
2086,1.4716097,2085-10-15,14
2087,0.2878839,2086-10-28,27
2088,0.015176847,2087-10-25,24
2089,0.0005484497,2088-11-18,48
2090,0.5012176,2089-10-10,9
2091,0.16195986,2091-09-01,335
2092,0.25655186,2092-09-16,351
2093,0.29172477,2092-11-01,31
2094,0.27937418,2094-09-24,358
2095,0.08355129,2094-10-01,0
2096,0.060649008,2095-10-18,17
2097,2.182572,2097-08-27,330
