,maxval,maxdate,maxarg
1981,18.594196,1981-03-27,177
1982,27.783897,1982-03-09,159
1983,12.028854,1983-03-26,176
1984,7.2918105,1984-02-27,149
1985,19.842508,1985-03-06,156
1986,12.266327,1986-03-15,165
1987,17.490416,1987-03-02,152
1988,10.69985,1988-02-01,123
1989,9.047439,1989-01-31,122
1990,17.677309,1990-02-26,148
1991,12.43613,1991-02-13,135
1992,13.691211,1992-01-31,122
1993,13.88333,1993-02-02,124
1994,11.543816,1994-01-07,98
1995,16.136953,1995-01-15,106
1996,17.171339,1996-01-20,111
1997,12.566641,1996-12-24,84
1998,15.264736,1998-01-01,92
1999,12.8334055,1998-12-17,77
2000,9.331416,1999-12-03,63
2001,9.038735,2000-12-18,78
2002,12.21511,2002-09-30,364
2003,19.597198,2002-12-10,70
2004,14.973145,2003-12-04,64
2005,15.754616,2004-11-30,60
2006,18.316877,2005-11-17,47
2007,13.248653,2006-10-26,25
2008,14.175536,2008-09-30,365
2009,14.986443,2008-10-13,12
2010,13.478019,2010-09-23,357
2011,19.359571,2011-09-27,361
2012,19.30609,2011-10-03,2
2013,15.558693,2012-10-10,9
2014,10.53207,2014-01-22,113
2015,16.504488,2015-01-29,120
2016,13.759405,2016-01-30,121
2017,18.401934,2017-01-17,108
2018,16.586481,2018-01-31,122
2019,14.100584,2019-01-10,101
2020,9.844734,2019-12-26,86
2021,21.885403,2020-12-09,69
2022,15.491582,2021-12-29,89
2023,20.431944,2022-12-21,81
2024,11.549037,2024-09-30,365
2025,19.832655,2024-11-30,60
2026,12.127565,2025-11-27,57
2027,9.912862,2026-11-15,45
2028,10.469531,2027-11-20,50
2029,13.9372425,2028-11-10,40
2030,8.747081,2030-09-30,364
2031,10.482704,2030-11-05,35
2032,11.908811,2031-10-25,24
2033,16.51961,2033-09-30,364
2034,18.129505,2033-10-16,15
2035,18.433056,2035-09-30,364
2036,19.606888,2035-10-10,9
2037,16.795446,2037-09-27,361
2038,15.662898,2037-10-01,0
2039,22.05142,2039-09-16,350
2040,21.745714,2039-10-01,0
2041,13.579098,2041-08-13,316
2042,11.0737,2042-08-20,323
2043,12.221311,2043-08-15,318
2044,11.667588,2044-07-31,304
2045,8.818573,2045-08-17,320
2046,19.566132,2046-07-10,282
2047,19.642822,2047-08-11,314
2048,15.877441,2048-08-18,322
2049,11.083632,2049-06-26,268
2050,14.862924,2050-07-08,280
2051,14.286244,2051-07-01,273
2052,9.338038,2052-06-11,254
2053,13.637304,2053-06-25,267
2054,12.710807,2054-07-06,278
2055,10.064083,2055-06-22,264
2056,8.55329,2056-06-02,245
2057,13.940781,2057-06-12,254
2058,11.95348,2058-06-08,250
2059,16.94839,2059-05-08,219
2060,10.410726,2060-05-23,235
2061,9.871002,2061-04-15,196
2062,21.591343,2062-04-17,198
2063,6.8100924,2063-04-21,202
2064,9.065676,2064-05-01,213
2065,9.851401,2065-04-08,189
2066,13.298204,2066-03-26,176
2067,4.2345333,2067-04-17,198
2068,7.1991525,2068-04-12,194
2069,3.8579576,2069-02-24,146
2070,7.7337303,2070-03-20,170
2071,11.128762,2071-03-26,176
2072,15.470301,2072-03-27,178
2073,13.132459,2073-03-18,168
2074,11.076037,2074-03-02,152
2075,8.560712,2075-02-09,131
2076,9.726769,2076-02-03,125
2077,11.192465,2077-02-18,140
2078,11.942712,2078-02-01,123
2079,12.050764,2079-01-23,114
2080,12.237073,2080-01-22,113
2081,7.8744755,2081-01-16,107
2082,5.3121033,2082-01-05,96
2083,5.044324,2082-12-09,69
2084,8.956553,2084-01-03,94
2085,11.263266,2084-12-30,90
2086,7.227808,2085-12-13,73
2087,10.740573,2086-12-22,82
2088,6.517184,2087-12-16,76
2089,4.3886824,2088-11-22,52
2090,5.313105,2090-09-27,361
2091,6.6197624,2090-12-10,70
2092,7.4028034,2092-09-30,365
2093,12.631056,2092-11-15,45
2094,3.5550516,2093-11-24,54
2095,7.214652,2094-10-21,20
2096,6.413904,2095-10-23,22
2097,8.43307,2097-09-30,364
