,maxval,maxdate,maxarg
1981,21.494246,1981-03-31,181
1982,41.069263,1982-04-15,196
1983,23.495178,1983-03-30,180
1984,15.95349,1984-03-24,175
1985,24.942547,1985-04-05,186
1986,13.253572,1986-03-27,177
1987,22.316402,1987-04-06,187
1988,14.910166,1988-03-16,167
1989,14.560507,1989-02-11,133
1990,23.168283,1990-03-03,153
1991,18.756046,1991-02-16,138
1992,17.986845,1992-02-13,135
1993,16.944227,1993-02-05,127
1994,19.986027,1994-01-28,119
1995,26.498775,1995-02-10,132
1996,16.726362,1996-01-21,112
1997,15.272302,1996-12-23,83
1998,23.144941,1998-01-15,106
1999,12.955503,1999-01-01,92
2000,17.439928,1999-12-31,91
2001,13.058054,2000-12-26,86
2002,18.696861,2002-01-02,93
2003,26.069548,2003-01-03,94
2004,25.93492,2003-12-11,71
2005,21.914692,2004-12-18,78
2006,24.325516,2005-11-26,56
2007,23.0838,2006-11-30,60
2008,23.116674,2008-09-30,365
2009,26.652405,2008-11-04,34
2010,22.980196,2009-11-17,47
2011,24.252193,2011-09-30,364
2012,26.381706,2011-10-26,25
2013,28.386454,2012-10-17,16
2014,15.095775,2014-01-30,121
2015,26.455965,2015-02-10,132
2016,16.039131,2016-02-13,135
2017,38.09226,2017-01-29,120
2018,23.99697,2018-02-02,124
2019,20.242237,2019-01-23,114
2020,14.052748,2020-01-02,93
2021,27.792025,2021-01-04,95
2022,17.52773,2022-01-11,102
2023,33.6068,2023-01-17,108
2024,16.8894,2024-01-11,102
2025,27.908855,2024-12-29,89
2026,17.190245,2025-12-06,66
2027,17.4714,2026-11-21,51
2028,17.610512,2027-12-13,73
2029,20.014393,2028-11-25,55
2030,15.185154,2029-11-19,49
2031,12.3409,2030-11-13,43
2032,20.067465,2032-09-30,365
2033,23.341284,2032-11-23,53
2034,25.29647,2033-11-05,35
2035,25.061079,2034-10-29,28
2036,25.695913,2035-10-29,28
2037,23.94437,2037-09-28,362
2038,23.23233,2037-10-01,0
2039,30.501593,2039-09-30,364
2040,31.282404,2039-10-06,5
2041,25.88598,2041-09-08,342
2042,23.674477,2041-10-01,0
2043,15.476818,2043-08-30,333
2044,20.294783,2044-08-31,335
2045,14.50039,2045-09-09,343
2046,27.4122,2046-08-20,323
2047,33.474514,2047-08-26,329
2048,25.96384,2048-08-06,310
2049,24.666092,2049-08-11,314
2050,20.281158,2050-08-16,319
2051,24.46866,2051-08-01,304
2052,21.87908,2052-07-16,289
2053,23.380165,2053-06-26,268
2054,15.773931,2054-07-14,286
2055,14.667861,2055-06-25,267
2056,12.754405,2056-06-03,246
2057,17.719912,2057-06-29,271
2058,21.235815,2058-06-19,261
2059,19.062132,2059-06-02,244
2060,17.122828,2060-05-26,238
2061,20.204748,2061-06-12,254
2062,28.937954,2062-05-19,230
2063,12.0147505,2063-05-11,222
2064,28.118637,2064-05-14,226
2065,17.42933,2065-04-29,210
2066,21.236174,2066-05-12,223
2067,27.304976,2067-05-13,224
2068,14.049447,2068-04-12,194
2069,11.062425,2069-04-14,195
2070,14.872782,2070-03-29,179
2071,19.675203,2071-03-30,180
2072,16.561472,2072-03-26,177
2073,26.354452,2073-03-29,179
2074,12.458488,2074-04-09,190
2075,21.618757,2075-03-09,159
2076,20.683203,2076-02-07,129
2077,17.57587,2077-02-27,149
2078,13.295532,2078-02-04,126
2079,15.808873,2079-01-29,120
2080,11.116755,2080-03-19,170
2081,30.371544,2081-01-25,116
2082,6.2221165,2082-01-07,98
2083,14.364833,2083-01-19,110
2084,19.320553,2084-01-06,97
2085,25.972294,2085-01-15,106
2086,15.110989,2086-01-21,112
2087,20.029444,2086-12-14,74
2088,16.699614,2087-12-26,86
2089,15.51117,2088-12-06,66
2090,8.884639,2090-09-27,361
2091,15.066052,2090-12-11,71
2092,14.920554,2091-12-11,71
2093,17.698698,2092-11-16,46
2094,17.925491,2093-11-26,56
2095,16.611904,2094-11-08,38
2096,12.198157,2095-12-04,64
2097,8.049739,2097-09-30,364
