,maxval,maxdate,maxarg
1981,20.475653,1981-03-27,177
1982,35.80962,1982-03-10,160
1983,13.048826,1983-03-26,176
1984,7.215969,1984-02-28,150
1985,22.82996,1985-03-06,156
1986,12.88953,1986-03-15,165
1987,19.869493,1987-03-02,152
1988,12.301239,1988-02-02,124
1989,9.019584,1989-01-31,122
1990,20.47048,1990-02-26,148
1991,13.648533,1991-02-13,135
1992,14.8552685,1992-01-31,122
1993,14.145426,1993-02-02,124
1994,12.698717,1994-01-06,97
1995,19.890202,1995-01-15,106
1996,19.763597,1996-01-20,111
1997,14.627475,1997-01-04,95
1998,17.651018,1998-01-01,92
1999,14.388961,1998-12-17,77
2000,9.8607025,1999-12-03,63
2001,10.984119,2000-12-18,78
2002,14.332693,2002-09-30,364
2003,22.16329,2002-12-09,69
2004,18.155128,2003-12-04,64
2005,18.702293,2004-11-30,60
2006,19.762249,2005-11-18,48
2007,14.369427,2006-10-25,24
2008,16.32238,2008-09-30,365
2009,17.112295,2008-10-15,14
2010,15.817816,2010-09-23,357
2011,20.323164,2011-09-27,361
2012,20.12831,2011-10-03,2
2013,17.573004,2012-10-10,9
2014,12.056147,2014-01-22,113
2015,19.234947,2015-01-28,119
2016,14.624193,2016-01-30,121
2017,21.504238,2017-01-17,108
2018,18.76539,2018-01-31,122
2019,16.219357,2019-01-11,102
2020,11.002763,2019-12-26,86
2021,24.858372,2020-12-09,69
2022,15.805716,2021-12-29,89
2023,23.10966,2022-12-30,90
2024,13.560584,2024-09-30,365
2025,23.390657,2024-11-30,60
2026,14.456393,2025-11-27,57
2027,10.812865,2026-11-15,45
2028,11.581803,2027-11-20,50
2029,16.51117,2028-11-10,40
2030,9.200717,2030-09-30,364
2031,11.2866955,2030-11-05,35
2032,14.073763,2032-09-30,365
2033,18.984905,2033-09-30,364
2034,20.75215,2033-10-16,15
2035,20.893715,2035-09-30,364
2036,21.91193,2035-10-12,11
2037,20.173443,2037-09-27,361
2038,18.95569,2037-10-01,0
2039,27.49308,2039-09-16,350
2040,27.273094,2039-10-01,0
2041,14.779667,2041-08-13,316
2042,13.167989,2042-08-20,323
2043,14.534977,2043-08-27,330
2044,13.794573,2044-08-23,327
2045,11.196646,2045-08-17,320
2046,23.859219,2046-07-11,283
2047,26.013922,2047-08-11,314
2048,19.40575,2048-08-18,322
2049,12.959579,2049-06-26,268
2050,18.248068,2050-07-23,295
2051,15.373756,2051-07-01,273
2052,10.592049,2052-06-18,261
2053,16.965416,2053-06-25,267
2054,16.756409,2054-07-12,284
2055,11.159066,2055-06-22,264
2056,9.180391,2056-06-02,245
2057,15.300394,2057-06-11,253
2058,13.559807,2058-06-08,250
2059,17.439209,2059-05-08,219
2060,10.863319,2060-05-23,235
2061,11.02606,2061-04-15,196
2062,26.869602,2062-04-17,198
2063,7.185831,2063-04-22,203
2064,11.833399,2064-05-02,214
2065,11.2581005,2065-04-08,189
2066,16.48072,2066-03-26,176
2067,6.213108,2067-04-17,198
2068,8.5674,2068-04-12,194
2069,4.206916,2069-02-24,146
2070,9.278665,2070-03-20,170
2071,13.996325,2071-03-26,176
2072,18.827763,2072-03-27,178
2073,14.603194,2073-03-18,168
2074,12.742796,2074-03-02,152
2075,10.1992445,2075-02-09,131
2076,12.425866,2076-02-03,125
2077,13.100833,2077-02-19,141
2078,12.664697,2078-02-01,123
2079,13.620574,2079-01-23,114
2080,13.463606,2080-01-21,112
2081,9.824086,2081-01-16,107
2082,6.1772223,2082-01-05,96
2083,6.0109015,2082-12-09,69
2084,10.363252,2084-01-03,94
2085,12.434331,2084-12-30,90
2086,7.6216283,2086-01-01,92
2087,11.752268,2086-12-22,82
2088,9.59717,2087-12-16,76
2089,6.2355313,2088-11-24,54
2090,6.5134645,2090-09-27,361
2091,7.988571,2090-12-10,70
2092,8.960507,2092-09-30,365
2093,14.827299,2092-11-15,45
2094,4.151869,2093-11-25,55
2095,8.187839,2094-10-21,20
2096,7.0660176,2095-10-24,23
2097,8.988662,2097-09-30,364
