,maxval,maxdate,maxarg
1981,15.279879,1981-03-25,175
1982,14.890302,1982-03-05,155
1983,12.281163,1983-01-27,118
1984,8.254558,1984-02-01,123
1985,16.677708,1985-03-14,164
1986,9.401009,1986-02-02,124
1987,12.075177,1987-03-05,155
1988,13.954684,1988-02-02,124
1989,7.7676535,1989-01-31,122
1990,10.939262,1990-01-19,110
1991,10.242122,1991-01-03,94
1992,5.8032928,1992-01-20,111
1993,10.409407,1993-01-24,115
1994,12.998538,1993-12-10,70
1995,15.767802,1995-01-15,106
1996,8.902615,1996-01-10,101
1997,7.299624,1996-11-07,37
1998,17.502707,1997-12-04,64
1999,9.644696,1998-11-22,52
2000,5.0733685,2000-09-23,358
2001,7.1781135,2001-09-30,364
2002,8.739053,2002-09-30,364
2003,10.360349,2002-10-26,25
2004,9.245852,2003-11-05,35
2005,12.305257,2004-12-03,63
2006,12.576068,2005-11-17,47
2007,13.21359,2006-10-14,13
2008,9.439155,2007-10-09,8
2009,9.950961,2008-10-17,16
2010,12.561349,2010-09-23,357
2011,10.1231165,2010-10-02,1
2012,9.794962,2011-10-01,0
2013,6.252886,2012-10-12,11
2014,5.0839634,2014-01-09,100
2015,13.10796,2014-12-18,78
2016,5.618326,2015-12-03,63
2017,8.919526,2016-12-05,65
2018,11.877886,2017-11-04,34
2019,10.897339,2018-11-05,35
2020,7.0062137,2019-11-12,42
2021,12.837564,2020-11-24,54
2022,4.9595203,2022-09-30,364
2023,12.36608,2022-11-27,57
2024,7.1636577,2024-09-16,351
2025,7.958495,2024-10-15,14
2026,7.4412837,2025-11-25,55
2027,8.991568,2027-09-30,364
2028,9.178126,2027-10-29,28
2029,3.5869124,2028-10-10,9
2030,7.391766,2030-09-22,356
2031,8.000241,2030-10-29,28
2032,8.535201,2031-10-28,27
2033,10.647172,2033-09-25,359
2034,11.619973,2034-09-20,354
2035,12.64968,2034-10-24,23
2036,8.205395,2035-10-01,0
2037,7.6173167,2037-08-18,321
2038,5.5690193,2038-07-16,288
2039,3.3743815,2039-08-12,315
2040,3.2567654,2040-08-12,316
2041,6.225316,2041-07-03,275
2042,2.4072986,2042-07-11,283
2043,2.8944483,2043-05-31,242
2044,4.9995337,2044-05-31,243
2045,2.9547296,2045-04-17,198
2046,11.466769,2046-07-24,296
2047,5.293329,2047-07-22,294
2048,3.2010474,2048-06-20,263
2049,2.9542053,2049-06-27,269
2050,1.4588495,2050-06-28,270
2051,11.78082,2051-06-24,266
2052,1.6095678,2052-05-01,213
2053,5.8739247,2053-04-27,208
2054,2.243192,2054-04-15,196
2055,6.3945565,2055-05-31,242
2056,1.1256351,2056-03-05,156
2057,5.3061223,2057-05-23,234
2058,1.7906698,2058-03-06,156
2059,3.7420454,2059-05-01,212
2060,1.1138607,2060-04-08,190
2061,5.26853,2061-03-11,161
2062,5.4745283,2062-03-05,155
2063,5.2075243,2063-04-02,183
2064,2.1689217,2064-02-01,123
2065,6.278619,2065-03-15,165
2066,3.8934276,2066-03-13,163
2067,2.3869705,2067-04-09,190
2068,1.6822398,2068-01-19,110
2069,1.27792,2069-01-18,109
2070,5.5556774,2070-03-05,155
2071,1.0315533,2071-02-08,130
2072,5.256768,2072-02-26,148
2073,3.0714128,2073-01-25,116
2074,2.1132224,2074-01-05,96
2075,5.18799,2075-02-08,130
2076,7.0551395,2076-01-21,112
2077,0.9688959,2076-12-16,76
2078,1.4433428,2078-01-10,101
2079,1.2095857,2078-12-19,79
2080,3.3043368,2080-01-20,111
2081,3.4678538,2080-12-02,62
2082,1.019662,2081-12-06,66
2083,1.9349109,2082-12-08,68
2084,2.6118565,2083-12-17,77
2085,4.0775304,2084-11-28,58
2086,1.0151751,2085-10-16,15
2087,1.4012587,2086-12-11,71
2088,0.5505112,2087-12-01,61
2089,0.80782366,2088-10-28,27
2090,2.7475612,2089-10-28,27
2091,1.3693866,2090-10-01,0
2092,2.105274,2092-09-27,362
2093,0.85865694,2092-12-27,87
2094,1.5528736,2094-09-30,364
2095,1.6497521,2094-10-02,1
2096,1.7632197,2095-11-10,40
2097,2.8431795,2097-08-30,333
