,maxval,maxdate,maxarg
1981,20.218517,1981-04-06,187
1982,32.949703,1982-04-22,203
1983,19.322731,1983-03-27,177
1984,20.962065,1984-04-21,203
1985,28.640862,1985-04-11,192
1986,12.602552,1986-03-27,177
1987,24.62717,1987-04-07,188
1988,23.251669,1988-03-16,167
1989,15.414393,1989-02-11,133
1990,21.107466,1990-03-03,153
1991,19.51819,1991-02-16,138
1992,19.238247,1992-02-17,139
1993,18.379263,1993-02-09,131
1994,19.795364,1994-01-27,118
1995,24.845901,1995-02-24,146
1996,16.364485,1996-01-20,111
1997,14.59943,1997-01-11,102
1998,24.412766,1998-01-15,106
1999,10.605079,1998-12-12,72
2000,20.42968,2000-01-06,97
2001,16.04523,2001-01-03,94
2002,17.08297,2002-01-01,92
2003,28.772575,2003-01-03,94
2004,30.199186,2003-12-12,72
2005,26.413752,2004-12-19,79
2006,27.05001,2005-11-28,58
2007,24.402615,2006-12-08,68
2008,19.932917,2008-09-30,365
2009,24.124596,2008-11-05,35
2010,22.87579,2009-11-25,55
2011,24.132998,2011-09-30,364
2012,27.336931,2011-11-16,46
2013,22.43157,2012-10-19,18
2014,17.233593,2014-02-11,133
2015,26.212664,2015-02-10,132
2016,14.668982,2016-02-06,128
2017,34.93,2017-01-29,120
2018,27.841902,2018-02-03,125
2019,19.621664,2019-01-13,104
2020,19.926521,2020-01-13,104
2021,29.13273,2021-01-05,96
2022,17.216377,2022-01-11,102
2023,30.171011,2023-01-16,107
2024,18.025757,2024-01-11,102
2025,26.28433,2024-12-29,89
2026,18.76406,2025-12-11,71
2027,17.361704,2026-11-29,59
2028,20.238174,2027-12-20,80
2029,17.135462,2028-12-06,66
2030,14.836089,2029-11-20,50
2031,16.526766,2030-11-23,53
2032,16.421928,2032-09-30,365
2033,22.169008,2032-11-26,56
2034,21.663982,2034-09-30,364
2035,26.484974,2034-11-02,32
2036,27.02607,2035-10-31,30
2037,24.354807,2036-10-23,22
2038,19.564785,2037-10-19,18
2039,25.315186,2039-09-30,364
2040,26.022125,2039-10-08,7
2041,28.339758,2041-09-09,343
2042,26.0232,2041-10-01,0
2043,13.481981,2043-09-16,350
2044,21.293985,2044-08-31,335
2045,18.488281,2045-09-15,349
2046,28.146225,2046-08-20,323
2047,24.42392,2047-08-26,329
2048,19.13903,2048-08-08,312
2049,20.79976,2049-07-30,302
2050,19.220428,2050-08-16,319
2051,31.218687,2051-08-02,305
2052,25.228857,2052-07-26,299
2053,20.69212,2053-07-03,275
2054,12.942163,2054-07-14,286
2055,16.3397,2055-07-06,278
2056,13.524485,2056-06-04,247
2057,19.834745,2057-07-04,276
2058,21.428759,2058-06-22,264
2059,25.288265,2059-06-04,246
2060,16.429958,2060-05-27,239
2061,20.872967,2061-06-23,265
2062,26.685022,2062-05-26,237
2063,10.614093,2063-05-14,225
2064,27.417467,2064-05-26,238
2065,20.979652,2065-04-30,211
2066,20.988214,2066-05-08,219
2067,25.104137,2067-05-14,225
2068,15.103856,2068-05-07,219
2069,10.728174,2069-03-08,158
2070,13.595656,2070-03-30,180
2071,14.458599,2071-03-30,180
2072,13.8003435,2072-03-28,179
2073,22.046206,2073-03-30,180
2074,10.920439,2074-03-05,155
2075,17.3283,2075-03-10,160
2076,18.244446,2076-02-08,130
2077,14.989362,2077-02-23,145
2078,11.413773,2078-02-07,129
2079,11.306235,2079-02-01,123
2080,17.641048,2080-03-21,172
2081,29.21757,2081-01-25,116
2082,7.921021,2082-01-10,101
2083,16.861408,2083-01-19,110
2084,22.934534,2084-01-10,101
2085,22.401966,2085-01-30,121
2086,15.425975,2086-02-08,130
2087,17.528332,2087-01-14,105
2088,13.031477,2087-12-27,87
2089,10.694353,2088-12-09,69
2090,9.913746,2089-12-23,83
2091,17.397179,2091-01-04,95
2092,17.645836,2091-12-04,64
2093,14.442887,2092-11-21,51
2094,17.05204,2093-11-27,57
2095,11.30502,2094-11-08,38
2096,16.771309,2095-12-15,75
2097,10.859335,2097-09-30,364
