,maxval,maxdate,maxarg
1981,9.752839,1981-03-22,172
1982,12.947371,1982-01-09,100
1983,8.570551,1983-01-25,116
1984,3.427825,1984-01-31,122
1985,9.99391,1985-02-04,126
1986,10.0068,1986-02-07,129
1987,9.7054,1987-01-30,121
1988,1.5603743,1988-01-15,106
1989,3.6046817,1988-12-26,86
1990,7.2050285,1990-01-16,107
1991,4.6750526,1990-12-05,65
1992,1.9192175,1992-01-22,113
1993,11.479145,1993-01-10,101
1994,9.454798,1993-12-12,72
1995,13.449896,1994-11-27,57
1996,5.9841547,1995-12-01,61
1997,8.565035,1997-09-30,364
1998,15.497127,1997-12-02,62
1999,11.148517,1998-11-08,38
2000,2.175479,1999-11-17,47
2001,4.3024597,2001-09-30,364
2002,7.896029,2002-08-25,328
2003,7.1069107,2002-10-29,28
2004,9.386433,2004-09-22,357
2005,10.806667,2005-09-18,352
2006,11.71418,2006-09-29,363
2007,12.358927,2006-10-12,11
2008,7.6186447,2008-08-23,327
2009,6.0532703,2008-10-01,0
2010,13.219458,2010-09-08,342
2011,10.875175,2011-09-11,345
2012,6.006997,2012-09-10,345
2013,1.7895427,2013-07-07,279
2014,10.292929,2013-12-10,70
2015,4.587776,2014-11-27,57
2016,5.4307704,2015-12-15,75
2017,6.399768,2016-11-25,55
2018,7.8451524,2017-11-25,55
2019,7.013936,2018-10-31,30
2020,4.3206563,2019-11-03,33
2021,8.061788,2020-11-06,36
2022,2.580994,2022-01-20,111
2023,5.7895484,2022-11-20,50
2024,11.088908,2024-09-12,347
2025,8.696307,2024-10-01,0
2026,3.500525,2025-10-03,2
2027,7.7017765,2027-09-30,364
2028,7.7098856,2027-10-01,0
2029,1.7593777,2029-09-27,361
2030,7.561201,2030-09-15,349
2031,6.5603757,2031-09-16,350
2032,4.3343253,2031-10-01,0
2033,4.4358907,2033-09-22,356
2034,7.748454,2034-09-11,345
2035,4.4071927,2034-10-01,0
2036,1.0457485,2036-07-04,277
2037,3.2232966,2037-06-03,245
2038,1.6045257,2038-06-11,253
2039,2.3782482,2039-05-16,227
2040,6.7414064,2040-08-23,327
2041,2.4010646,2041-05-18,229
2042,1.3275753,2042-05-31,242
2043,3.3521261,2043-05-08,219
2044,4.2164226,2044-06-09,252
2045,1.3704209,2045-07-16,288
2046,6.250506,2046-05-01,212
2047,2.7909143,2047-05-14,225
2048,2.9567347,2048-06-02,245
2049,2.8226144,2049-05-09,220
2050,2.9548552,2050-03-28,178
2051,5.5603337,2051-05-10,221
2052,2.5521593,2052-03-23,174
2053,3.0600486,2053-04-23,204
2054,5.8283906,2054-04-08,189
2055,5.585202,2055-04-30,211
2056,0.84949267,2056-03-04,155
2057,8.423119,2057-05-17,228
2058,1.4025664,2058-03-24,174
2059,0.9009536,2059-05-01,212
2060,2.6194346,2060-04-08,190
2061,5.9979734,2061-03-01,151
2062,3.3320696,2062-03-26,176
2063,1.9606001,2063-02-13,135
2064,1.2784588,2064-03-15,166
2065,2.774299,2065-03-11,161
2066,3.998592,2066-02-18,140
2067,0.439321,2067-04-06,187
2068,2.0657525,2068-01-18,109
2069,1.6129874,2069-01-19,110
2070,2.372938,2070-02-20,142
2071,1.9447271,2071-01-12,103
2072,5.5866003,2072-02-22,144
2073,4.443261,2073-03-12,162
2074,1.8163244,2074-02-18,140
2075,0.6791978,2074-12-22,82
2076,1.2113827,2075-12-28,88
2077,2.4672968,2076-12-11,71
2078,2.9414005,2077-11-21,51
2079,4.050704,2078-11-13,43
2080,1.1357042,2080-01-17,108
2081,0.6068335,2080-10-16,15
2082,0.74838835,2081-11-11,41
2083,2.180359,2082-11-18,48
2084,0.68843406,2084-01-02,93
2085,1.6659932,2084-12-24,84
2086,1.8107512,2085-10-31,30
2087,0.80656916,2086-10-24,23
2088,0.21202318,2087-11-26,56
2089,0.4047833,2088-11-30,60
2090,0.024835493,2089-10-07,6
2091,0.934117,2091-09-02,336
2092,2.0404139,2091-11-25,55
2093,0.75389624,2092-11-02,32
2094,0.3526092,2094-09-23,357
2095,1.3090994,2095-08-10,313
2096,0.60568935,2095-10-06,5
2097,0.8903182,2097-08-18,321
