,maxval,maxdate,maxarg
1981,45.10628,1981-03-25,175
1982,31.681053,1982-02-20,142
1983,26.379148,1983-01-22,113
1984,8.306662,1984-02-01,123
1985,37.23578,1985-03-24,174
1986,18.124851,1986-02-05,127
1987,30.39796,1987-03-10,160
1988,37.51905,1988-02-24,146
1989,9.888957,1988-12-21,81
1990,29.291006,1990-01-22,113
1991,19.12863,1990-11-03,33
1992,6.8838162,1992-01-04,95
1993,19.577856,1992-12-14,74
1994,20.667664,1993-12-11,71
1995,40.899837,1995-01-02,93
1996,15.27858,1996-01-21,112
1997,13.602867,1997-09-30,364
1998,24.07895,1997-12-06,66
1999,25.603132,1998-11-08,38
2000,8.365278,2000-09-14,349
2001,16.794659,2000-12-19,79
2002,15.561545,2002-08-27,330
2003,17.970562,2002-11-28,58
2004,19.083717,2004-09-25,360
2005,30.45154,2004-12-03,63
2006,25.21543,2006-09-30,364
2007,28.744305,2006-11-07,37
2008,26.911093,2007-10-30,29
2009,16.188189,2008-10-01,0
2010,23.051058,2010-09-23,357
2011,23.698149,2010-10-28,27
2012,17.757019,2012-08-30,334
2013,11.911036,2012-10-11,10
2014,10.749222,2013-12-07,67
2015,9.748852,2015-02-05,127
2016,8.714651,2015-11-28,58
2017,14.247629,2016-12-01,61
2018,24.830626,2017-11-03,33
2019,16.98513,2018-11-04,34
2020,11.335888,2020-09-30,365
2021,28.157291,2021-01-03,94
2022,16.135181,2022-09-30,364
2023,39.485336,2022-11-26,56
2024,16.300137,2024-09-13,348
2025,13.618531,2024-10-14,13
2026,24.800787,2025-12-05,65
2027,11.270631,2027-09-12,346
2028,12.380843,2027-12-16,76
2029,2.4835525,2029-07-11,283
2030,13.837146,2030-08-18,321
2031,15.993825,2031-09-28,362
2032,19.635347,2031-10-26,25
2033,9.534085,2033-09-23,357
2034,8.211305,2033-10-01,0
2035,10.149965,2034-10-24,23
2036,9.292825,2036-08-22,326
2037,18.390268,2037-06-22,264
2038,2.6448936,2038-08-02,305
2039,9.025018,2039-09-22,356
2040,7.6753516,2039-10-01,0
2041,4.9722404,2041-05-16,227
2042,3.6891582,2042-06-11,253
2043,2.3613522,2043-05-09,220
2044,7.0068917,2044-05-13,225
2045,12.457901,2045-07-26,298
2046,22.2841,2046-07-05,277
2047,18.949055,2047-07-25,297
2048,4.6923175,2048-06-14,257
2049,5.993992,2049-04-10,191
2050,5.8514714,2050-06-29,271
2051,16.726124,2051-06-22,264
2052,4.3372374,2052-03-23,174
2053,14.399964,2053-04-18,199
2054,2.48161,2054-04-11,192
2055,8.714707,2055-06-29,271
2056,3.6002226,2056-02-29,151
2057,14.889936,2057-05-25,236
2058,2.353576,2058-07-09,281
2059,2.7175243,2059-02-27,149
2060,0.9551215,2060-03-13,164
2061,6.301101,2061-02-27,149
2062,9.152966,2062-03-31,181
2063,3.5152216,2063-02-12,134
2064,3.7921665,2064-02-01,123
2065,6.9266887,2065-04-06,187
2066,13.58105,2066-03-10,160
2067,5.4854755,2066-12-22,82
2068,0.5207181,2068-02-12,134
2069,0.8430781,2069-01-16,107
2070,10.519624,2070-03-05,155
2071,3.8336334,2071-03-29,179
2072,7.340655,2072-02-23,145
2073,5.4002843,2072-12-10,70
2074,3.0970552,2074-01-20,111
2075,5.0023656,2075-01-03,94
2076,8.415684,2076-02-01,123
2077,1.999066,2076-12-13,73
2078,2.2325535,2077-11-21,51
2079,2.9052582,2078-11-22,52
2080,5.355885,2079-12-05,65
2081,6.8334827,2081-01-24,115
2082,0.7695267,2081-11-24,54
2083,0.4327468,2082-11-12,42
2084,4.208207,2083-12-15,75
2085,5.5421777,2084-11-27,57
2086,2.8329222,2085-10-14,13
2087,1.0996765,2086-10-29,28
2088,0.5383476,2088-01-17,108
2089,0.28812635,2088-12-05,65
2090,0.76270425,2089-10-27,26
2091,0.006845352,2091-09-14,348
2092,1.3475738,2091-12-11,71
2093,0.43016738,2092-11-01,31
2094,1.4143395,2094-09-28,362
2095,1.0878932,2094-10-01,0
2096,2.5759552,2095-10-19,18
2097,2.742389,2097-08-13,316
