,maxval,maxdate,maxarg
1981,79.78822,1981-04-05,186
1982,56.136753,1982-03-31,181
1983,67.22805,1983-03-24,174
1984,52.765453,1984-04-18,200
1985,89.8457,1985-04-14,195
1986,43.169884,1986-03-11,161
1987,73.96596,1987-03-31,181
1988,66.509445,1988-02-24,146
1989,48.48527,1989-02-10,132
1990,56.27987,1990-02-25,147
1991,52.953987,1991-02-03,125
1992,32.84741,1992-02-16,138
1993,53.243706,1993-02-09,131
1994,64.683716,1994-01-25,116
1995,86.195305,1995-02-02,124
1996,43.43424,1996-01-23,114
1997,34.188065,1996-12-23,83
1998,62.65588,1998-01-21,112
1999,45.12886,1998-12-14,74
2000,31.080389,2000-01-06,97
2001,51.388943,2000-12-22,82
2002,38.20082,2002-09-30,364
2003,67.0964,2002-12-31,91
2004,53.467663,2003-12-10,70
2005,80.243706,2004-12-04,64
2006,58.984615,2005-12-26,86
2007,68.00675,2006-12-12,72
2008,59.413483,2007-11-19,49
2009,45.283775,2008-10-22,21
2010,45.924404,2009-10-25,24
2011,58.069016,2011-09-30,364
2012,65.94421,2011-11-03,33
2013,53.721992,2012-10-18,17
2014,36.12833,2014-02-11,133
2015,53.55047,2015-02-08,130
2016,35.67789,2016-02-15,137
2017,58.400776,2017-01-23,114
2018,75.91763,2018-02-06,128
2019,28.330524,2019-01-09,100
2020,61.985554,2020-01-26,117
2021,71.495895,2021-01-04,95
2022,42.421947,2022-01-10,101
2023,62.146404,2023-01-13,104
2024,31.523394,2024-09-30,365
2025,48.729465,2025-01-03,94
2026,46.866493,2025-12-10,70
2027,45.82062,2027-09-30,364
2028,63.32072,2027-12-26,86
2029,21.596872,2028-11-29,59
2030,39.277714,2030-09-30,364
2031,61.701603,2030-12-03,63
2032,38.744125,2031-11-12,42
2033,38.35044,2033-09-30,364
2034,41.105293,2033-10-24,23
2035,50.738903,2034-10-28,27
2036,39.677177,2035-10-01,0
2037,28.85032,2037-08-18,321
2038,19.785645,2037-10-01,0
2039,46.9673,2039-09-30,364
2040,57.665115,2040-09-22,357
2041,58.79247,2040-10-12,11
2042,42.53497,2041-10-07,6
2043,12.033021,2043-05-30,241
2044,24.649412,2044-07-13,286
2045,28.634363,2045-09-16,350
2046,37.290554,2046-08-09,312
2047,35.30119,2047-08-15,318
2048,23.148237,2048-07-15,288
2049,18.916883,2049-08-11,314
2050,21.761,2050-08-26,329
2051,34.187965,2051-06-24,266
2052,11.087148,2052-05-01,213
2053,33.308216,2053-06-17,259
2054,19.726498,2054-07-14,286
2055,31.977596,2055-07-25,297
2056,7.909499,2056-01-29,120
2057,28.763067,2057-07-04,276
2058,9.1970215,2058-05-17,228
2059,6.1437225,2059-02-17,139
2060,8.136314,2060-04-23,205
2061,34.250298,2061-06-18,260
2062,36.551567,2062-05-10,221
2063,17.015413,2063-02-16,138
2064,23.84317,2064-05-15,227
2065,30.682997,2065-04-28,209
2066,26.843613,2066-03-12,162
2067,5.2571864,2067-02-26,148
2068,10.404201,2068-02-14,136
2069,4.0278206,2069-01-18,109
2070,27.832708,2070-03-28,178
2071,8.358355,2071-03-30,180
2072,18.922575,2072-03-24,175
2073,16.710884,2073-03-17,167
2074,4.721651,2074-01-20,111
2075,32.89521,2075-03-30,180
2076,20.543207,2076-02-05,127
2077,3.6767786,2076-12-14,74
2078,10.083305,2078-01-12,103
2079,4.0664873,2078-12-06,66
2080,10.369548,2080-01-19,110
2081,8.866195,2080-12-01,61
2082,3.0204778,2082-09-23,357
2083,4.4740095,2082-11-21,51
2084,13.411441,2084-01-09,100
2085,14.506038,2084-12-31,91
2086,3.5503366,2085-10-30,29
2087,1.9897363,2086-10-29,28
2088,2.1421902,2087-12-15,75
2089,1.766076,2088-10-28,27
2090,3.7821808,2089-11-03,33
2091,2.180849,2091-08-22,325
2092,3.156249,2091-12-11,71
2093,3.2550542,2092-11-15,45
2094,5.448972,2094-09-30,364
2095,5.741551,2094-10-01,0
2096,15.362842,2095-12-01,61
2097,7.5650415,2097-08-30,333
