,maxval,maxdate,maxarg
1981,2.3237097,1981-02-06,128
1982,8.860648,1982-02-18,140
1983,1.6810583,1982-11-22,52
1984,0.922111,1984-01-31,122
1985,8.138852,1985-02-04,126
1986,2.117731,1986-01-02,93
1987,4.7795353,1987-02-11,133
1988,1.4781097,1987-12-10,70
1989,1.353832,1988-12-23,83
1990,7.073498,1990-01-09,100
1991,1.8229203,1990-11-04,34
1992,2.005156,1991-11-25,55
1993,3.3047686,1992-12-18,78
1994,3.9337542,1993-12-08,68
1995,5.3358026,1994-12-11,71
1996,1.2815472,1995-10-30,29
1997,3.9309487,1997-09-30,364
1998,5.1429815,1997-12-02,62
1999,3.4890702,1998-11-14,44
2000,1.0135838,2000-09-15,350
2001,2.504292,2001-09-29,363
2002,2.812298,2001-10-07,6
2003,1.0399555,2003-07-17,289
2004,3.5865705,2003-10-26,25
2005,2.669834,2005-09-17,351
2006,1.0449317,2005-10-01,0
2007,1.5849841,2007-08-28,331
2008,8.023863,2008-09-29,364
2009,7.959125,2008-10-01,0
2010,6.2266974,2010-09-09,343
2011,5.640317,2011-09-12,346
2012,2.3528442,2012-07-16,289
2013,1.1354841,2013-07-07,279
2014,5.5029483,2013-12-12,72
2015,1.6784813,2014-11-19,49
2016,2.9746492,2015-12-03,63
2017,1.8706074,2016-12-01,61
2018,3.1092484,2018-09-29,363
2019,3.2838182,2018-10-20,19
2020,1.2409047,2020-09-30,365
2021,5.6286225,2020-11-06,36
2022,1.1209774,2021-11-28,58
2023,1.9746612,2023-09-02,336
2024,4.638271,2024-09-28,363
2025,4.6965322,2024-10-15,14
2026,2.771952,2025-10-01,0
2027,1.8572991,2027-08-29,332
2028,1.3466213,2028-08-21,325
2029,1.3371664,2028-10-19,18
2030,3.1609464,2030-08-25,328
2031,2.9103787,2031-09-18,352
2032,1.3709658,2032-08-28,332
2033,2.7757683,2033-09-30,364
2034,3.9916215,2034-09-12,346
2035,2.3243651,2035-07-13,285
2036,1.8499844,2036-07-12,285
2037,1.6146301,2037-07-26,298
2038,2.417141,2038-07-03,275
2039,2.6585064,2039-08-03,306
2040,1.3904483,2040-08-06,310
2041,1.2700666,2041-05-17,228
2042,2.068773,2042-06-11,253
2043,1.0963575,2043-06-17,259
2044,2.7290862,2044-06-01,244
2045,0.8312497,2045-07-19,291
2046,1.9988221,2046-07-03,275
2047,2.896507,2047-06-05,247
2048,5.894017,2048-07-18,291
2049,1.2296519,2049-06-13,255
2050,0.8609486,2050-03-27,177
2051,1.2122506,2051-05-07,218
2052,1.6224377,2052-03-27,178
2053,3.3660731,2053-06-01,243
2054,3.870904,2054-06-24,266
2055,1.59517,2055-03-12,162
2056,1.2981839,2056-03-04,155
2057,3.5728261,2057-05-23,234
2058,1.3532883,2058-03-24,174
2059,0.7844771,2059-04-11,192
2060,1.4174403,2060-04-04,186
2061,3.3094656,2061-03-13,163
2062,0.8165236,2062-03-02,152
2063,2.054157,2063-02-11,133
2064,0.70250666,2064-04-19,201
2065,0.9952765,2065-02-13,135
2066,1.7935538,2066-01-12,103
2067,1.0852917,2067-03-24,174
2068,1.5483384,2068-01-15,106
2069,1.3108475,2069-02-22,144
2070,1.5263684,2070-03-02,152
2071,4.7804384,2071-02-03,125
2072,4.5603623,2072-02-24,146
2073,1.1442505,2073-02-11,133
2074,2.0973842,2074-02-19,141
2075,0.71252304,2075-01-31,122
2076,0.8264277,2076-01-05,96
2077,2.2845142,2076-12-10,70
2078,1.3014886,2078-01-01,92
2079,1.3305044,2078-11-14,44
2080,0.6110783,2079-12-30,90
2081,1.4641178,2080-10-15,14
2082,0.74001974,2081-11-13,43
2083,0.5531977,2082-11-17,47
2084,0.86569387,2083-12-30,90
2085,1.0916297,2084-10-14,13
2086,1.128487,2085-11-25,55
2087,1.4360745,2086-12-06,66
2088,0.8650774,2087-11-26,56
2089,0.7994994,2088-10-07,6
2090,0.9796033,2090-09-13,347
2091,0.45987517,2090-10-16,15
2092,0.4117701,2092-08-24,328
2093,1.0244938,2093-09-28,362
2094,0.65535843,2093-11-12,42
2095,1.2091844,2095-08-11,314
2096,0.5883978,2096-09-04,339
2097,1.100798,2097-08-16,319
