,maxval,maxdate,maxarg
1981,53.81429,1981-04-03,184
1982,43.54931,1982-03-26,176
1983,49.241753,1983-03-25,175
1984,37.860123,1984-03-23,174
1985,57.61573,1985-04-15,196
1986,31.63481,1986-03-24,174
1987,49.697563,1987-04-04,185
1988,48.852757,1988-02-29,151
1989,36.62254,1989-02-09,131
1990,37.609165,1990-02-20,142
1991,35.479046,1991-02-03,125
1992,27.223394,1992-02-16,138
1993,37.482967,1993-02-09,131
1994,33.438625,1994-01-26,117
1995,55.840714,1995-02-03,125
1996,34.786438,1996-01-23,114
1997,25.9314,1996-12-23,83
1998,43.239063,1998-01-21,112
1999,28.417538,1998-12-29,89
2000,36.01351,2000-01-06,97
2001,36.563328,2000-12-24,84
2002,26.11708,2001-11-27,57
2003,38.833153,2002-12-19,79
2004,48.487034,2003-12-11,71
2005,55.926815,2004-12-15,75
2006,41.503498,2005-11-21,51
2007,39.48395,2006-11-18,48
2008,40.38049,2007-11-19,49
2009,41.38845,2008-10-29,28
2010,40.434586,2009-11-06,36
2011,37.311447,2010-11-10,40
2012,43.524536,2012-09-30,365
2013,47.494465,2012-10-18,17
2014,32.75778,2014-01-30,121
2015,49.539337,2015-02-16,138
2016,26.73401,2016-02-17,139
2017,55.42551,2017-01-28,119
2018,71.2437,2018-02-05,127
2019,31.84186,2019-01-10,101
2020,51.93034,2020-01-30,121
2021,55.36196,2021-01-04,95
2022,27.438602,2022-01-12,103
2023,45.308044,2023-01-12,103
2024,32.29674,2023-11-19,49
2025,40.931286,2025-01-04,95
2026,32.53795,2025-12-11,71
2027,51.02483,2026-11-18,48
2028,43.801144,2027-12-17,77
2029,27.519773,2028-12-06,66
2030,26.250734,2030-09-30,364
2031,39.426945,2030-11-23,53
2032,31.47987,2031-11-12,42
2033,32.815395,2033-09-30,364
2034,37.292236,2034-09-30,364
2035,46.68845,2034-10-28,27
2036,41.93148,2035-10-30,29
2037,35.70684,2037-09-21,355
2038,34.76048,2037-10-01,0
2039,46.37679,2039-09-30,364
2040,48.300842,2039-10-14,13
2041,46.627975,2041-09-09,343
2042,44.52526,2041-10-08,7
2043,20.071949,2043-08-24,327
2044,27.263874,2044-07-23,296
2045,39.438957,2045-09-16,350
2046,34.496742,2045-10-01,0
2047,31.597599,2047-08-15,318
2048,26.706999,2048-07-25,298
2049,25.63205,2049-08-11,314
2050,25.446726,2050-08-16,319
2051,31.148148,2051-08-01,304
2052,32.143814,2052-07-13,286
2053,27.061518,2053-06-22,264
2054,23.237907,2054-07-19,291
2055,26.548141,2055-07-12,284
2056,19.723799,2056-05-22,234
2057,36.055252,2057-07-04,276
2058,28.099669,2058-06-03,245
2059,16.898117,2059-06-03,245
2060,12.767037,2060-04-24,206
2061,29.762928,2061-05-31,242
2062,42.924328,2062-05-13,224
2063,24.784555,2063-05-13,224
2064,37.69886,2064-05-27,239
2065,28.075407,2065-04-30,211
2066,23.52924,2066-04-27,208
2067,16.568655,2067-05-12,223
2068,16.257622,2068-04-09,191
2069,15.756801,2069-02-24,146
2070,34.232006,2070-03-29,179
2071,18.03232,2071-03-31,181
2072,16.80847,2072-03-27,178
2073,28.55073,2073-03-17,167
2074,14.317149,2074-02-28,150
2075,37.97973,2075-04-13,194
2076,26.304405,2076-02-06,128
2077,11.574287,2077-02-23,145
2078,12.257413,2078-01-17,108
2079,13.5407,2079-01-26,117
2080,16.223312,2080-02-27,149
2081,24.504045,2081-01-25,116
2082,13.248075,2082-01-06,97
2083,14.988347,2082-12-08,68
2084,29.298958,2084-01-10,101
2085,29.156803,2085-01-15,106
2086,6.6561804,2085-11-07,37
2087,6.8756866,2086-12-17,77
2088,7.3114376,2087-12-16,76
2089,5.171567,2088-10-29,28
2090,9.820968,2089-11-10,40
2091,9.621973,2091-09-29,363
2092,11.915894,2091-10-19,18
2093,10.442783,2092-11-17,47
2094,10.93997,2094-09-30,364
2095,12.021456,2094-10-19,18
2096,20.775238,2095-12-05,65
2097,9.801224,2096-11-11,41
