,maxval,maxdate,maxarg
1981,41.086296,1981-03-27,177
1982,83.554276,1982-04-14,195
1983,35.263714,1983-02-18,140
1984,22.666073,1984-03-22,173
1985,55.273884,1985-03-27,177
1986,25.892187,1986-03-14,164
1987,40.256157,1987-03-12,162
1988,27.55518,1988-02-20,142
1989,20.826002,1989-01-31,122
1990,48.2705,1990-02-26,148
1991,37.098988,1991-02-09,131
1992,28.236591,1992-01-29,120
1993,36.67804,1993-02-05,127
1994,32.568657,1994-01-11,102
1995,57.82084,1995-01-15,106
1996,32.46767,1996-01-19,110
1997,26.701164,1996-12-23,83
1998,47.237545,1997-12-31,91
1999,24.74867,1999-01-01,92
2000,18.87926,1999-12-04,64
2001,22.864326,2000-12-25,85
2002,30.232056,2001-11-26,56
2003,46.812225,2003-01-03,94
2004,41.38976,2003-12-04,64
2005,39.41306,2004-12-18,78
2006,52.37568,2005-12-06,66
2007,42.08175,2006-11-09,39
2008,34.076866,2007-10-31,30
2009,34.87309,2008-10-23,22
2010,38.130512,2009-11-01,31
2011,51.47167,2011-09-29,363
2012,51.318447,2011-10-01,0
2013,50.133648,2012-10-09,8
2014,29.680992,2014-01-21,112
2015,45.27398,2015-02-10,132
2016,30.679823,2016-02-02,124
2017,58.187332,2017-01-22,113
2018,45.524204,2018-01-31,122
2019,31.388142,2019-01-10,101
2020,31.88033,2020-01-09,100
2021,45.849358,2021-01-03,94
2022,29.83135,2022-01-10,101
2023,51.117985,2022-12-30,90
2024,28.310495,2024-09-30,365
2025,47.624535,2024-12-09,69
2026,34.16694,2025-12-05,65
2027,26.472076,2026-11-16,46
2028,27.93965,2028-09-30,365
2029,41.768307,2028-11-02,32
2030,21.878035,2029-10-27,26
2031,23.914803,2030-11-11,41
2032,30.988644,2032-09-29,364
2033,43.203674,2033-09-30,364
2034,46.81302,2033-10-15,14
2035,49.880943,2034-10-28,27
2036,47.648174,2035-10-08,7
2037,34.597008,2037-09-21,355
2038,33.950203,2038-09-09,343
2039,57.717728,2039-09-30,364
2040,58.21713,2039-10-04,3
2041,34.32777,2041-08-13,316
2042,28.814606,2041-10-07,6
2043,27.028631,2043-08-28,331
2044,32.022804,2044-07-22,295
2045,23.590868,2045-08-17,320
2046,57.055,2046-08-11,314
2047,52.279716,2047-08-16,319
2048,34.959045,2048-08-07,311
2049,25.260305,2049-06-26,268
2050,40.490833,2050-07-25,297
2051,35.152557,2051-06-28,270
2052,31.514263,2052-07-11,284
2053,41.357666,2053-06-13,255
2054,35.914165,2054-07-12,284
2055,21.078026,2055-06-22,264
2056,18.23276,2056-05-20,232
2057,34.256847,2057-06-24,266
2058,28.24549,2058-06-03,245
2059,31.489729,2059-05-03,214
2060,21.924631,2060-05-23,235
2061,36.0798,2061-05-29,240
2062,49.44188,2062-05-14,225
2063,15.819785,2063-04-26,207
2064,26.659317,2064-05-17,229
2065,20.4224,2065-04-27,208
2066,36.06582,2066-03-25,175
2067,15.637447,2067-05-11,222
2068,11.754043,2068-04-04,186
2069,14.397616,2069-02-24,146
2070,22.723082,2070-03-24,174
2071,25.36267,2071-03-30,180
2072,29.342426,2072-03-26,177
2073,32.186527,2073-03-28,178
2074,22.279867,2074-02-18,140
2075,34.451584,2075-02-08,130
2076,29.52326,2076-02-03,125
2077,15.673155,2077-02-22,144
2078,23.618889,2078-01-16,107
2079,22.676275,2079-01-25,116
2080,7.136253,2080-01-20,111
2081,25.340178,2081-01-25,116
2082,9.247257,2082-01-05,96
2083,12.115618,2083-01-12,103
2084,17.992624,2084-01-02,93
2085,25.843931,2084-12-27,87
2086,14.155869,2085-12-03,63
2087,22.217934,2086-12-14,74
2088,5.414655,2087-10-01,0
2089,6.4518247,2088-10-25,24
2090,11.982774,2090-09-24,358
2091,13.691154,2090-10-11,10
2092,14.740145,2091-12-12,72
2093,17.898409,2092-11-13,43
2094,13.630727,2094-09-30,364
2095,21.91581,2094-10-23,22
2096,16.91793,2095-12-01,61
2097,13.406938,2097-09-30,364
