,maxval,maxdate,maxarg
1981,4.9509077,1981-02-06,128
1982,2.5530834,1982-02-17,139
1983,1.5972781,1983-04-24,205
1984,4.7868543,1984-01-25,116
1985,0.43136284,1984-11-12,42
1986,3.01343,1986-01-19,110
1987,4.6772203,1987-01-13,104
1988,2.8828058,1987-12-02,62
1989,3.750142,1988-12-22,82
1990,3.5176733,1989-12-24,84
1991,1.0299653,1990-11-28,58
1992,1.9552424,1991-11-19,49
1993,1.6114951,1992-10-07,6
1994,3.7958045,1994-09-28,362
1995,3.0302212,1994-10-01,0
1996,1.5870341,1995-10-11,10
1997,0.9302611,1996-11-16,46
1998,1.035763,1998-09-19,353
1999,1.8349447,1999-09-22,356
2000,1.8306006,1999-10-01,0
2001,1.6023376,2001-09-25,359
2002,3.0503707,2001-11-19,49
2003,1.7608788,2003-09-17,351
2004,6.400227,2003-10-20,19
2005,0.53943914,2005-08-08,311
2006,1.2451539,2006-08-12,315
2007,2.107234,2007-09-21,355
2008,1.8690145,2008-08-23,327
2009,1.0693897,2009-08-24,327
2010,2.0814502,2010-07-29,301
2011,2.6258922,2011-08-10,313
2012,2.1277258,2012-07-18,291
2013,0.7957013,2013-05-06,217
2014,0.43879515,2014-09-29,363
2015,1.383377,2015-09-30,364
2016,4.50162,2015-11-23,53
2017,2.9367309,2017-09-30,364
2018,3.3298721,2017-10-04,3
2019,4.65959,2018-12-22,82
2020,2.3684494,2019-11-09,39
2021,2.0285378,2020-10-29,28
2022,1.908396,2021-10-21,20
2023,3.2151277,2022-11-16,46
2024,1.2446597,2023-10-01,0
2025,2.6941922,2025-09-22,356
2026,2.186868,2025-10-01,0
2027,1.7913736,2026-11-05,35
2028,2.5285802,2028-08-18,322
2029,1.9104786,2029-09-19,353
2030,1.0925626,2030-08-02,305
2031,1.1309122,2030-10-22,21
2032,2.567951,2032-07-21,294
2033,3.2163575,2033-08-05,308
2034,1.3510009,2034-07-28,300
2035,2.6466348,2035-09-01,335
2036,1.3430092,2036-06-10,253
2037,0.4515277,2037-07-17,289
2038,2.9451008,2038-08-18,321
2039,0.8309166,2039-05-01,212
2040,1.1897151,2040-08-05,309
2041,0.68999934,2041-08-26,329
2042,1.851583,2042-07-06,278
2043,1.1474755,2043-06-28,270
2044,0.6469651,2044-07-07,280
2045,0.5278613,2045-06-10,252
2046,0.5867857,2046-05-27,238
2047,1.2451341,2047-03-27,177
2048,1.7733794,2048-05-29,241
2049,0.25417644,2049-05-29,240
2050,0.7519233,2050-03-07,157
2051,2.446295,2051-04-30,211
2052,0.35311946,2052-04-28,210
2053,4.7156086,2053-04-12,193
2054,0.55532235,2054-04-25,206
2055,0.4397561,2055-05-24,235
2056,0.31974024,2056-03-05,156
2057,1.7610476,2057-04-06,187
2058,0.29733795,2058-03-22,172
2059,0.4994698,2059-04-11,192
2060,0.90210706,2060-04-02,184
2061,0.43568572,2061-03-11,161
2062,0.38944477,2062-03-22,172
2063,1.0296772,2063-03-26,176
2064,0.4405934,2064-04-07,189
2065,0.61919796,2065-01-23,114
2066,0.46454445,2066-02-13,135
2067,0.0049423296,2067-03-23,173
2068,0.590723,2068-03-03,154
2069,0.14414872,2069-02-16,138
2070,2.5470514,2070-01-18,109
2071,0.21300285,2071-01-11,102
2072,1.2391168,2072-01-13,104
2073,1.1329094,2072-12-27,87
2074,2.2102847,2074-01-04,95
2075,0.50604767,2074-12-20,80
2076,0.0019844307,2075-11-10,40
2077,0.10184212,2076-12-10,70
2078,0.07727933,2078-02-02,124
2079,0.47881058,2078-12-09,69
2080,0.70123535,2080-01-10,101
2081,0.028556243,2080-11-08,38
2082,1.1324979,2081-11-13,43
2083,0.31442544,2082-12-25,85
2084,0.05226666,2083-11-02,32
2085,0.9383563,2084-10-12,11
2086,0.055560764,2085-12-06,66
2087,0.31868762,2086-11-21,51
2088,2.0043643,2087-12-19,79
2089,0.034980588,2089-09-28,362
2090,0.6702021,2089-10-03,2
2091,0.29105213,2090-11-08,38
2092,0.34693506,2091-11-22,52
2093,0.62867963,2093-09-27,361
2094,0.30214164,2093-10-01,0
2095,0.14073545,2094-10-18,17
2096,0.017519617,2096-09-23,358
2097,0.3384343,2097-08-13,316
