,maxval,maxdate,maxarg
1981,6.957356,1981-03-25,175
1982,9.202906,1982-03-02,152
1983,6.924295,1983-01-26,117
1984,5.760298,1984-02-03,125
1985,9.824151,1985-03-26,176
1986,3.1066515,1986-04-18,199
1987,6.0105023,1987-03-12,162
1988,5.344587,1988-01-28,119
1989,5.462091,1989-01-27,118
1990,6.9690604,1990-02-19,141
1991,5.128815,1990-12-30,90
1992,5.869756,1992-01-22,113
1993,6.911057,1993-01-29,120
1994,9.591944,1994-01-07,98
1995,6.170472,1995-01-15,106
1996,6.233942,1996-01-22,113
1997,3.6936479,1996-11-19,49
1998,6.309611,1997-12-31,91
1999,3.7527711,1998-11-28,58
2000,2.4948015,1999-10-12,11
2001,3.541678,2000-12-11,71
2002,5.4688225,2001-11-26,56
2003,10.230721,2002-12-09,69
2004,5.7364917,2004-09-25,360
2005,8.723113,2004-12-08,68
2006,10.614396,2005-11-18,48
2007,8.075963,2006-10-14,13
2008,6.004874,2007-10-26,25
2009,5.590725,2009-09-28,362
2010,5.6015043,2010-09-22,356
2011,8.548569,2011-09-30,364
2012,8.611558,2011-10-03,2
2013,4.3252983,2012-10-12,11
2014,5.1520677,2014-01-21,112
2015,5.09705,2014-12-18,78
2016,5.679141,2016-01-31,122
2017,7.785652,2016-12-06,66
2018,5.9573975,2017-11-04,34
2019,4.0085287,2018-11-03,33
2020,4.1260595,2020-09-30,365
2021,7.02986,2020-11-23,53
2022,5.416509,2022-01-10,101
2023,9.062982,2022-12-11,71
2024,4.795333,2024-09-30,365
2025,7.2981353,2024-11-23,53
2026,3.0644808,2025-10-03,2
2027,5.4644837,2027-09-30,364
2028,7.3610363,2027-11-28,58
2029,4.642989,2028-10-30,29
2030,5.447499,2030-09-30,364
2031,6.740439,2030-11-09,39
2032,4.9759765,2031-10-27,26
2033,5.719527,2033-09-26,360
2034,8.11617,2034-09-30,364
2035,9.361356,2035-09-23,357
2036,8.565983,2035-10-01,0
2037,5.148294,2037-08-18,321
2038,5.9494233,2038-09-09,343
2039,3.1776974,2039-09-24,358
2040,5.1840715,2040-09-07,342
2041,5.561116,2041-08-12,315
2042,2.668323,2042-09-19,353
2043,2.2416177,2043-06-01,243
2044,6.016204,2044-07-11,284
2045,2.5736248,2045-09-28,362
2046,7.6928577,2046-07-12,284
2047,10.514876,2047-07-23,295
2048,2.1220765,2048-06-08,251
2049,6.185044,2049-06-27,269
2050,1.7981154,2050-06-25,267
2051,11.741166,2051-06-25,267
2052,1.8595951,2052-05-01,213
2053,8.438087,2053-06-11,253
2054,3.5268507,2054-07-01,273
2055,5.5713453,2055-06-07,249
2056,1.2643099,2056-04-27,209
2057,3.465885,2057-05-23,234
2058,2.3617542,2058-03-06,156
2059,4.1209855,2059-05-02,213
2060,3.1720603,2060-05-13,225
2061,2.631841,2061-06-24,266
2062,3.7206779,2062-04-01,182
2063,1.2252674,2063-04-16,197
2064,3.5668104,2064-04-22,204
2065,6.2637,2065-03-16,166
2066,3.8434973,2066-03-13,163
2067,2.5885758,2067-04-11,192
2068,1.1698852,2068-02-14,136
2069,1.7553914,2069-04-14,195
2070,2.7459612,2070-03-05,155
2071,2.2098703,2071-04-19,200
2072,4.682211,2072-03-27,178
2073,1.9680551,2073-02-25,147
2074,2.7119274,2074-01-06,97
2075,3.8826432,2075-02-09,131
2076,3.4848926,2076-02-02,124
2077,2.6939073,2076-12-17,77
2078,1.3347481,2078-01-10,101
2079,2.4360783,2078-12-20,80
2080,4.838504,2080-01-20,111
2081,2.244448,2080-12-01,61
2082,2.0650513,2082-02-06,128
2083,1.9205302,2082-12-08,68
2084,2.9621334,2083-12-15,75
2085,4.874394,2084-12-30,90
2086,3.5218854,2086-02-08,130
2087,1.5707387,2086-10-29,28
2088,0.95024455,2087-12-04,64
2089,1.8118731,2088-10-28,27
2090,2.6213236,2090-09-30,364
2091,2.6297405,2090-10-01,0
2092,0.79755574,2091-11-04,34
2093,2.1220655,2092-11-14,44
2094,1.6418782,2094-09-30,364
2095,1.9195882,2094-10-12,11
2096,1.3672187,2095-10-12,11
2097,2.2640522,2097-08-30,333
