,maxval,maxdate,maxarg
1981,15.087781,1981-03-24,174
1982,19.635313,1982-03-08,158
1983,9.086308,1983-01-29,120
1984,1.4850812,1984-02-17,139
1985,17.348742,1985-03-24,174
1986,6.3497143,1986-02-07,129
1987,16.405638,1987-03-01,151
1988,7.2498546,1988-01-30,121
1989,2.9324837,1988-12-25,85
1990,14.341129,1990-01-18,109
1991,7.154014,1990-12-14,74
1992,2.6250565,1991-12-04,64
1993,8.937451,1992-12-15,75
1994,11.890789,1993-12-12,72
1995,13.317326,1995-01-03,94
1996,7.655046,1995-12-29,89
1997,9.406387,1997-09-30,364
1998,16.200752,1997-12-30,90
1999,8.046559,1998-11-09,39
2000,3.3837059,1999-11-23,53
2001,2.26212,2001-09-29,363
2002,6.426413,2002-09-25,359
2003,9.198728,2002-11-26,56
2004,11.843257,2004-09-29,364
2005,11.975916,2004-10-04,3
2006,14.044796,2005-11-15,45
2007,10.760057,2006-10-24,23
2008,7.736899,2008-09-28,363
2009,6.933366,2008-10-01,0
2010,13.35562,2010-09-21,355
2011,14.595764,2011-09-24,358
2012,14.287614,2011-10-01,0
2013,10.349325,2012-10-08,7
2014,9.663541,2014-01-19,110
2015,5.582231,2015-01-27,118
2016,7.258452,2015-12-15,75
2017,12.433929,2016-11-30,60
2018,9.7524605,2018-01-29,120
2019,6.0891056,2018-11-03,33
2020,5.6091905,2019-11-03,33
2021,14.922398,2020-11-20,50
2022,2.6496294,2022-09-30,364
2023,10.782478,2022-11-29,59
2024,9.515668,2024-09-30,365
2025,10.358602,2024-10-16,15
2026,6.795804,2025-10-02,1
2027,6.9941487,2027-09-30,364
2028,7.9490986,2027-10-17,16
2029,1.523971,2028-10-28,27
2030,6.732365,2030-09-18,352
2031,6.4439483,2031-09-27,361
2032,6.384411,2031-10-01,0
2033,12.366491,2033-09-30,364
2034,13.565865,2034-09-11,345
2035,13.872708,2034-10-09,8
2036,9.226748,2035-10-01,0
2037,8.920809,2037-08-17,320
2038,1.9673481,2038-06-30,272
2039,3.2629669,2039-09-13,347
2040,5.283439,2040-09-17,352
2041,3.0999672,2041-05-21,232
2042,2.962309,2042-06-03,245
2043,2.804446,2043-07-19,291
2044,8.1603775,2044-07-10,283
2045,2.0974486,2045-07-21,293
2046,14.130919,2046-07-08,280
2047,8.78323,2047-07-25,297
2048,2.950764,2048-06-02,245
2049,1.9023033,2049-05-08,219
2050,8.1011305,2050-03-30,180
2051,9.417668,2051-06-19,261
2052,2.3927732,2052-05-01,213
2053,4.6935873,2053-06-06,248
2054,8.003837,2054-06-23,265
2055,7.827505,2055-05-27,238
2056,2.3228378,2056-03-03,154
2057,8.672138,2057-05-22,233
2058,1.5444185,2058-06-03,245
2059,1.8605624,2059-04-13,194
2060,1.0175618,2060-04-06,188
2061,7.594431,2061-03-13,163
2062,10.126131,2062-03-27,177
2063,1.3679266,2063-02-13,135
2064,1.8539722,2064-04-07,189
2065,2.9482236,2065-03-11,161
2066,7.4743037,2066-02-22,144
2067,1.0090777,2067-01-17,108
2068,1.5908387,2068-01-28,119
2069,1.2616268,2069-01-19,110
2070,5.5285354,2070-03-05,155
2071,2.9433992,2071-03-25,175
2072,5.54505,2072-02-22,144
2073,3.7847207,2072-12-11,71
2074,3.1566393,2074-01-06,97
2075,5.2924757,2075-02-05,127
2076,1.8253617,2076-02-02,124
2077,2.8577075,2076-12-10,70
2078,5.0253444,2078-01-07,98
2079,4.8617973,2079-01-22,113
2080,0.9459813,2079-12-30,90
2081,1.2815642,2080-11-26,56
2082,0.6295338,2081-12-01,61
2083,0.77157277,2082-12-20,80
2084,2.8173563,2083-12-04,64
2085,0.98616034,2084-10-14,13
2086,2.588444,2085-11-01,31
2087,1.019356,2086-11-21,51
2088,1.1009668,2087-11-30,60
2089,0.8074828,2088-10-09,8
2090,0.82164097,2090-09-14,348
2091,0.56511575,2091-08-23,326
2092,0.8663389,2092-08-24,328
2093,0.7418437,2093-09-27,361
2094,1.842867,2094-09-05,339
2095,1.829086,2095-08-10,313
2096,0.9117201,2095-10-19,18
2097,1.8226509,2097-08-30,333
