,maxval,maxdate,maxarg
1981,17.07566,1981-03-23,173
1982,18.339514,1982-03-10,160
1983,6.1209517,1983-01-23,114
1984,3.6859744,1984-02-03,125
1985,15.197699,1985-02-04,126
1986,15.724126,1986-03-15,165
1987,17.395147,1987-02-23,145
1988,7.7230287,1988-01-19,110
1989,7.4285316,1989-01-25,116
1990,16.339275,1990-02-26,148
1991,9.683473,1991-02-05,127
1992,5.964296,1992-01-23,114
1993,10.680662,1993-01-29,120
1994,12.0519285,1993-12-12,72
1995,15.329016,1994-12-12,72
1996,11.832369,1996-01-19,110
1997,9.5802555,1997-09-30,364
1998,19.58023,1997-12-31,91
1999,11.694768,1998-11-28,58
2000,3.409358,1999-11-18,48
2001,8.974291,2000-12-10,70
2002,13.156416,2001-11-26,56
2003,12.507597,2002-12-01,61
2004,9.963615,2003-12-03,63
2005,10.216383,2004-10-24,23
2006,11.07414,2005-10-01,0
2007,8.039494,2006-10-14,13
2008,13.106935,2008-09-11,346
2009,13.23836,2008-10-12,11
2010,15.311951,2010-09-18,352
2011,17.543777,2010-11-06,36
2012,8.302186,2011-10-01,0
2013,7.5643187,2012-10-04,3
2014,12.912187,2014-01-21,112
2015,9.374432,2015-01-27,118
2016,10.365337,2015-12-15,75
2017,13.20122,2016-12-01,61
2018,8.4456,2017-11-25,55
2019,9.69493,2018-10-31,30
2020,6.061649,2019-11-06,36
2021,15.851023,2020-11-26,56
2022,4.194879,2021-12-23,83
2023,7.8823986,2022-12-14,74
2024,11.086699,2024-09-29,364
2025,11.325295,2024-10-15,14
2026,8.126348,2025-11-28,58
2027,7.3160276,2027-09-30,364
2028,7.500874,2027-10-08,7
2029,12.568239,2028-10-29,28
2030,7.6864333,2029-10-06,5
2031,8.769343,2030-11-09,39
2032,8.3656435,2031-10-22,21
2033,14.230448,2033-09-30,364
2034,15.524787,2033-10-10,9
2035,11.621691,2035-09-29,363
2036,12.395805,2035-10-08,7
2037,6.821429,2037-08-17,320
2038,7.652504,2038-09-08,342
2039,8.752601,2039-09-13,347
2040,8.119097,2039-10-01,0
2041,3.5809832,2041-06-22,264
2042,4.452644,2042-07-12,284
2043,11.974789,2043-08-15,318
2044,9.09464,2044-07-11,284
2045,5.987475,2045-08-13,316
2046,10.786309,2046-07-09,281
2047,10.988044,2047-07-25,297
2048,8.777915,2048-07-18,291
2049,4.579131,2049-05-30,241
2050,1.9071875,2050-03-28,178
2051,4.8879447,2051-06-17,259
2052,3.8917658,2052-04-17,199
2053,10.546232,2053-06-04,246
2054,12.339473,2054-06-24,266
2055,10.6382,2055-06-13,255
2056,3.2164197,2056-04-28,210
2057,9.640641,2057-06-10,252
2058,3.48775,2058-05-01,212
2059,3.3448842,2059-05-02,213
2060,3.954845,2060-05-24,236
2061,7.5804377,2061-03-13,163
2062,5.8681173,2062-03-26,176
2063,7.162622,2063-04-19,200
2064,2.6928077,2064-04-20,202
2065,4.0848703,2065-03-11,161
2066,5.1307173,2066-02-18,140
2067,3.1185544,2067-04-10,191
2068,3.3278797,2068-02-10,132
2069,1.5366651,2069-02-22,144
2070,4.1514697,2070-03-02,152
2071,7.1949844,2071-03-25,175
2072,10.628102,2072-02-25,147
2073,2.991363,2072-12-10,70
2074,8.767498,2074-02-18,140
2075,4.849983,2075-02-05,127
2076,1.5171196,2076-01-30,121
2077,2.717778,2076-12-11,71
2078,5.728337,2078-01-12,103
2079,4.3284073,2078-12-27,87
2080,2.1197853,2079-12-30,90
2081,1.9010745,2080-10-15,14
2082,1.6908652,2082-02-06,128
2083,1.9884337,2082-12-02,62
2084,2.075165,2084-01-03,94
2085,2.6161494,2084-10-17,16
2086,3.1393094,2085-11-01,31
2087,2.6888857,2086-12-06,66
2088,1.160963,2087-11-29,59
2089,1.1148705,2088-12-06,66
2090,1.4459877,2090-08-19,322
2091,2.4687696,2090-12-10,70
2092,1.288998,2092-08-24,328
2093,1.4244635,2092-11-02,32
2094,0.9992122,2094-09-06,340
2095,2.2168233,2095-08-14,317
2096,2.3194509,2095-10-08,7
2097,5.1813655,2097-09-30,364
