,maxval,maxdate,maxarg
1981,5.8387065,1981-03-23,173
1982,19.182352,1982-02-17,139
1983,3.810643,1983-01-20,111
1984,7.3146706,1984-01-31,122
1985,7.797288,1985-02-09,131
1986,15.533367,1986-02-21,143
1987,15.673163,1987-02-23,145
1988,9.278194,1988-01-18,109
1989,3.551112,1988-12-22,82
1990,15.63964,1989-12-28,88
1991,6.7586074,1991-01-01,92
1992,5.959267,1991-11-22,52
1993,15.591339,1993-01-03,94
1994,16.244673,1994-09-30,364
1995,22.005108,1994-12-25,85
1996,13.509268,1995-12-27,87
1997,6.8811455,1997-09-30,364
1998,16.99794,1997-12-30,90
1999,13.685012,1998-11-09,39
2000,4.2344394,1999-11-16,46
2001,6.6375494,2001-09-28,362
2002,16.028145,2001-11-16,46
2003,5.650575,2003-09-30,364
2004,13.468897,2003-12-02,62
2005,10.457256,2004-10-22,21
2006,3.4940012,2006-08-11,314
2007,3.821237,2007-09-20,354
2008,11.957903,2008-09-10,345
2009,10.530482,2008-10-01,0
2010,9.934946,2010-09-09,343
2011,8.465298,2010-10-30,29
2012,3.7986667,2012-09-11,346
2013,2.2907343,2013-07-06,278
2014,2.4559445,2013-12-10,70
2015,8.967148,2014-12-08,68
2016,8.23989,2015-11-24,54
2017,9.965112,2016-12-01,61
2018,5.309049,2017-11-03,33
2019,3.300542,2018-10-20,19
2020,2.5378492,2020-09-30,365
2021,7.4703107,2020-11-02,32
2022,7.907713,2021-11-28,58
2023,7.3926573,2023-09-01,335
2024,17.164257,2023-12-15,75
2025,8.146964,2025-09-28,362
2026,8.144757,2025-10-01,0
2027,4.960928,2027-09-30,364
2028,6.744479,2028-08-19,323
2029,5.4172163,2028-10-24,23
2030,6.6321163,2029-10-05,4
2031,4.300777,2031-09-18,352
2032,6.4857388,2032-09-25,360
2033,7.156804,2033-09-16,350
2034,4.51339,2033-10-01,0
2035,5.0478587,2035-09-23,357
2036,3.4423447,2035-10-01,0
2037,6.613552,2037-07-26,298
2038,19.179523,2038-09-03,337
2039,12.721387,2038-10-01,0
2040,5.9573927,2040-08-23,327
2041,1.8941829,2041-05-15,226
2042,3.4670663,2042-07-11,283
2043,9.551273,2043-08-01,304
2044,2.8319762,2044-07-07,280
2045,3.296972,2045-07-19,291
2046,3.9737675,2046-06-14,256
2047,8.202426,2047-07-01,273
2048,13.172548,2048-07-17,290
2049,1.625866,2049-05-08,219
2050,1.6086797,2050-06-04,246
2051,2.118293,2051-05-02,213
2052,3.7306871,2052-03-18,169
2053,3.4333227,2053-04-18,199
2054,5.4133635,2054-04-05,186
2055,4.1430817,2055-05-24,235
2056,3.2503915,2056-03-05,156
2057,10.742455,2057-05-22,233
2058,3.2639048,2058-06-06,248
2059,0.9627769,2059-03-19,169
2060,2.9804986,2060-04-07,189
2061,2.4005377,2061-02-27,149
2062,1.6957886,2062-02-14,136
2063,5.991298,2063-03-15,165
2064,1.9552711,2064-01-31,122
2065,1.4676505,2065-03-27,177
2066,0.96705925,2066-02-12,134
2067,1.7464381,2067-03-24,174
2068,1.1159672,2068-03-03,154
2069,0.86315936,2069-02-15,137
2070,2.125746,2070-02-26,148
2071,3.0478954,2071-01-10,101
2072,12.591136,2072-02-24,146
2073,2.4471488,2073-02-11,133
2074,15.713902,2074-02-18,140
2075,2.2190087,2075-03-08,158
2076,0.70207417,2076-03-04,155
2077,3.2357626,2077-02-13,135
2078,1.8181994,2077-12-20,80
2079,2.2917697,2078-11-13,43
2080,2.093136,2080-01-16,107
2081,2.809165,2080-10-15,14
2082,1.3689312,2081-11-13,43
2083,1.1818846,2082-10-19,18
2084,0.42893463,2083-12-01,61
2085,3.1354363,2084-12-24,84
2086,1.7158892,2085-11-25,55
2087,2.5261743,2086-11-26,56
2088,3.8474982,2087-12-07,67
2089,1.2468516,2089-09-30,364
2090,1.3086902,2089-12-31,91
2091,0.3709328,2091-09-01,335
2092,0.47191733,2091-12-02,62
2093,2.146637,2093-09-28,362
2094,1.8969837,2093-10-01,0
2095,1.6207116,2095-08-03,306
2096,0.056430377,2095-10-07,6
2097,1.9859905,2097-08-13,316
