,maxval,maxdate,maxarg
1981,14.787288,1981-03-25,175
1982,26.72489,1982-03-12,162
1983,11.2351055,1983-02-16,138
1984,6.64492,1984-02-04,126
1985,19.64055,1985-03-06,156
1986,6.857895,1986-02-07,129
1987,13.262411,1987-02-28,150
1988,8.631159,1988-02-01,123
1989,7.4932194,1989-01-26,117
1990,14.390591,1990-02-19,141
1991,10.799137,1991-01-27,118
1992,11.441786,1992-01-22,113
1993,11.0446825,1993-01-19,110
1994,11.022344,1993-12-22,82
1995,18.965542,1995-01-14,105
1996,9.88605,1995-12-29,89
1997,8.042962,1996-11-19,49
1998,15.266213,1997-12-30,90
1999,7.4550486,1998-11-15,45
2000,4.838061,1999-11-24,54
2001,7.1803308,2000-12-12,72
2002,11.230814,2001-11-26,56
2003,14.225683,2002-12-05,65
2004,14.7521515,2003-12-01,61
2005,12.775615,2004-12-01,61
2006,16.70404,2005-11-17,47
2007,14.5215845,2006-10-26,25
2008,11.001408,2007-10-30,29
2009,10.821375,2008-10-12,11
2010,13.237152,2010-09-22,356
2011,16.92794,2011-09-26,360
2012,16.70249,2011-10-02,1
2013,14.7362585,2012-10-12,11
2014,9.416995,2014-01-20,111
2015,12.032068,2015-01-27,118
2016,10.170334,2016-01-11,102
2017,20.438004,2017-01-21,112
2018,11.729833,2017-12-25,85
2019,10.755531,2018-12-15,75
2020,7.958834,2019-11-29,59
2021,16.918262,2020-11-27,57
2022,9.045071,2021-12-26,86
2023,18.708498,2022-12-11,71
2024,11.081089,2024-09-30,365
2025,15.192697,2024-11-22,52
2026,6.3921905,2025-12-02,62
2027,6.013219,2027-09-30,364
2028,8.863753,2028-09-30,365
2029,13.710721,2028-10-30,29
2030,5.918431,2030-09-30,364
2031,6.6601615,2031-09-30,364
2032,8.343682,2031-10-31,30
2033,15.767339,2033-09-30,364
2034,16.677425,2033-10-14,13
2035,15.099199,2034-10-21,20
2036,13.157506,2035-10-01,0
2037,11.614142,2037-08-22,325
2038,12.292623,2038-08-27,330
2039,18.772863,2039-09-23,357
2040,18.168743,2039-10-01,0
2041,8.844816,2041-08-11,314
2042,8.86131,2042-08-09,312
2043,8.385953,2043-08-04,307
2044,9.420181,2044-07-21,294
2045,3.1825187,2045-07-29,301
2046,17.082088,2046-07-10,282
2047,15.555248,2047-07-26,298
2048,9.555449,2048-07-17,290
2049,6.9462347,2049-06-01,243
2050,11.7232065,2050-07-08,280
2051,10.537175,2051-06-23,265
2052,7.6384716,2052-05-24,236
2053,12.26103,2053-06-12,254
2054,9.695494,2054-06-24,266
2055,7.168286,2055-06-12,254
2056,3.5065815,2056-04-30,212
2057,7.5309324,2057-06-08,250
2058,4.9983244,2058-05-16,227
2059,4.2931933,2059-05-02,213
2060,3.514327,2060-04-24,206
2061,9.179362,2061-04-14,195
2062,14.802051,2062-04-01,182
2063,4.3156233,2063-04-13,194
2064,2.4754157,2064-02-03,125
2065,4.9268904,2065-04-02,183
2066,10.521255,2066-03-13,163
2067,1.1547433,2067-02-24,146
2068,4.281136,2068-02-23,145
2069,2.048924,2069-02-18,140
2070,6.551946,2070-03-07,157
2071,6.5050054,2071-03-25,175
2072,9.308768,2072-03-07,158
2073,7.053336,2073-03-03,153
2074,8.9113035,2074-02-23,145
2075,9.106905,2075-02-08,130
2076,5.6923075,2076-02-04,126
2077,1.9821836,2076-12-20,80
2078,6.7342176,2078-01-14,105
2079,6.445969,2079-01-23,114
2080,1.0564562,2079-12-31,91
2081,2.0627935,2081-01-24,115
2082,1.0850973,2081-12-04,64
2083,1.0289266,2082-12-03,63
2084,1.9903805,2083-12-15,75
2085,7.3711047,2084-12-27,87
2086,4.0575643,2085-11-03,33
2087,2.8909304,2086-10-29,28
2088,1.2295943,2087-10-01,0
2089,1.0597005,2088-10-24,23
2090,1.8416065,2090-09-15,349
2091,0.9908546,2091-09-21,355
2092,1.5909708,2092-09-02,337
2093,1.166988,2092-11-01,31
2094,2.7341576,2094-09-30,364
2095,5.2607613,2094-10-22,21
2096,0.8660667,2095-10-19,18
2097,2.51936,2097-09-30,364
