,maxval,maxdate,maxarg
1981,9.461791,1981-03-23,173
1982,11.793338,1982-02-21,143
1983,5.4090514,1983-01-23,114
1984,4.6512065,1984-01-31,122
1985,9.159757,1985-03-05,155
1986,5.387566,1986-02-01,123
1987,10.421348,1987-01-31,122
1988,10.920165,1988-01-29,120
1989,4.4134817,1988-12-23,83
1990,9.035613,1990-01-19,110
1991,11.645515,1990-12-17,77
1992,2.330325,1991-11-23,53
1993,5.3309083,1992-12-17,77
1994,7.8272634,1993-11-30,60
1995,6.7476425,1994-12-22,82
1996,4.986771,1995-12-19,79
1997,5.2549057,1997-09-30,364
1998,9.993241,1997-12-03,63
1999,13.74789,1998-11-19,49
2000,4.519316,2000-09-23,358
2001,5.681081,2000-11-18,48
2002,7.2276263,2002-09-30,364
2003,7.8110805,2002-10-27,26
2004,3.7998776,2004-09-10,345
2005,5.0121155,2005-09-05,339
2006,6.003434,2006-09-30,364
2007,6.4425735,2006-10-11,10
2008,4.439118,2008-08-31,335
2009,2.4275148,2008-10-01,0
2010,7.1857147,2010-09-09,343
2011,10.237287,2011-09-06,340
2012,9.449969,2011-10-01,0
2013,2.2648387,2013-07-06,278
2014,3.269746,2013-12-11,71
2015,3.453577,2014-11-29,59
2016,5.985494,2015-12-02,62
2017,3.628695,2016-12-03,63
2018,7.062812,2017-11-03,33
2019,6.878382,2018-11-05,35
2020,3.8444314,2019-11-02,32
2021,9.321001,2020-11-04,34
2022,3.0850475,2022-09-29,363
2023,10.776648,2022-11-27,57
2024,4.8715644,2024-09-12,347
2025,3.2350266,2024-10-15,14
2026,2.9838989,2025-10-01,0
2027,3.1141944,2027-08-25,328
2028,4.2536182,2028-08-22,326
2029,0.71131355,2029-08-14,317
2030,4.463289,2030-08-17,320
2031,4.919415,2031-09-23,357
2032,4.3703213,2031-10-01,0
2033,5.012523,2033-09-24,358
2034,3.6496468,2033-10-01,0
2035,6.497675,2035-08-20,323
2036,2.061024,2036-08-23,327
2037,2.9226935,2037-06-23,265
2038,2.3101597,2038-07-16,288
2039,2.4329693,2039-07-22,294
2040,1.7248135,2040-07-19,292
2041,2.8121624,2041-06-27,269
2042,1.5380139,2042-06-10,252
2043,1.7289503,2043-05-31,242
2044,1.1538926,2044-05-12,224
2045,0.6173665,2045-07-17,289
2046,4.198588,2046-07-08,280
2047,1.6788927,2047-04-25,206
2048,2.2696354,2048-06-09,252
2049,1.5990493,2049-06-04,246
2050,1.7267412,2050-06-28,270
2051,7.0490513,2051-06-24,266
2052,2.1454816,2052-06-08,251
2053,4.0892158,2053-04-26,207
2054,1.4164473,2054-04-08,189
2055,2.6748273,2055-05-22,233
2056,0.69157225,2056-03-06,157
2057,3.9540582,2057-05-21,232
2058,1.3643657,2058-04-30,211
2059,1.5779767,2059-04-28,209
2060,1.1234392,2060-03-20,171
2061,2.0344615,2061-03-10,160
2062,3.2294602,2062-03-05,155
2063,1.2956008,2063-02-10,132
2064,1.7645432,2064-02-02,124
2065,2.6170266,2065-03-14,164
2066,5.5198517,2066-03-11,161
2067,1.5389904,2067-02-26,148
2068,0.78359616,2068-01-18,109
2069,0.756536,2069-01-17,108
2070,4.608921,2070-03-05,155
2071,0.5744403,2071-02-02,124
2072,2.6554046,2072-02-23,145
2073,1.1573513,2073-02-23,145
2074,1.054673,2074-02-17,139
2075,1.4321705,2075-01-04,95
2076,4.701933,2076-01-21,112
2077,0.57730335,2077-02-17,139
2078,0.50277835,2077-11-17,47
2079,2.1228848,2078-12-01,61
2080,2.0698276,2080-01-18,109
2081,2.034323,2080-12-01,61
2082,0.86146384,2081-11-25,55
2083,0.6823419,2082-11-22,52
2084,0.87588114,2083-10-14,13
2085,3.7964396,2084-11-28,58
2086,1.6364456,2085-10-16,15
2087,0.50943685,2086-10-03,2
2088,0.28892106,2087-10-01,0
2089,0.09392376,2088-10-28,27
2090,2.7860656,2089-10-28,27
2091,0.2502262,2091-09-15,349
2092,1.59662,2092-09-27,362
2093,0.810818,2092-11-14,44
2094,0.45348975,2094-09-25,359
2095,0.3532103,2095-07-11,283
2096,0.2725727,2095-11-10,40
2097,0.8300104,2097-08-19,322
