,maxval,maxdate,maxarg
1981,48.221645,1981-04-05,186
1982,82.43378,1982-04-22,203
1983,46.148964,1983-03-25,175
1984,36.19527,1984-03-23,174
1985,66.60958,1985-04-11,192
1986,29.965479,1986-03-24,174
1987,53.24173,1987-04-06,187
1988,40.955444,1988-03-15,166
1989,35.816795,1989-02-11,133
1990,54.783382,1990-03-03,153
1991,48.653572,1991-02-16,138
1992,40.62219,1992-02-04,126
1993,41.37445,1993-02-06,128
1994,45.773315,1994-01-26,117
1995,63.34094,1995-02-10,132
1996,34.69566,1996-01-19,110
1997,36.69162,1997-02-03,125
1998,56.423447,1998-01-11,102
1999,28.049149,1999-01-01,92
2000,38.13319,2000-01-05,96
2001,28.886423,2000-12-27,87
2002,39.091557,2001-12-31,91
2003,60.68994,2003-01-03,94
2004,51.606514,2003-12-12,72
2005,58.683266,2004-12-18,78
2006,64.62702,2005-11-29,59
2007,44.44216,2006-11-29,59
2008,42.051044,2008-09-30,365
2009,49.508144,2008-11-04,34
2010,47.65263,2009-11-13,43
2011,58.15167,2011-09-30,364
2012,66.66828,2011-11-01,31
2013,60.035175,2012-10-18,17
2014,41.747158,2014-02-01,123
2015,61.56513,2015-02-06,128
2016,30.4407,2016-02-03,125
2017,76.247696,2017-01-24,115
2018,60.340153,2018-02-02,124
2019,46.203903,2019-01-11,102
2020,42.101826,2020-01-24,115
2021,57.33957,2021-01-04,95
2022,42.152706,2022-01-10,101
2023,63.34892,2023-01-16,107
2024,36.873894,2024-01-11,102
2025,58.498024,2024-12-29,89
2026,41.944004,2025-12-17,77
2027,42.566383,2026-11-21,51
2028,40.33006,2027-12-15,75
2029,46.299046,2028-11-20,50
2030,30.71418,2029-11-19,49
2031,34.58225,2030-11-21,51
2032,42.74019,2032-09-30,365
2033,52.47958,2032-11-25,55
2034,52.927822,2034-09-30,364
2035,61.637756,2034-11-03,33
2036,57.22915,2035-10-30,29
2037,57.815735,2036-10-27,26
2038,51.79641,2037-10-18,17
2039,72.227295,2039-09-30,364
2040,73.250854,2039-10-08,7
2041,62.79025,2041-09-26,360
2042,62.06401,2041-10-10,9
2043,39.76428,2043-09-17,351
2044,55.358505,2044-08-31,335
2045,42.460976,2044-10-03,2
2046,60.314846,2046-08-20,323
2047,62.70051,2047-08-25,328
2048,45.593018,2048-08-07,311
2049,46.334633,2049-08-12,315
2050,45.964363,2050-08-16,319
2051,58.3894,2051-08-01,304
2052,54.821125,2052-07-12,285
2053,54.749382,2053-06-28,270
2054,34.224083,2054-07-14,286
2055,35.279945,2055-07-12,284
2056,26.726576,2056-06-17,260
2057,40.65398,2057-06-24,266
2058,50.03289,2058-06-08,250
2059,50.639153,2059-06-03,245
2060,34.40532,2060-05-26,238
2061,48.783207,2061-05-31,242
2062,60.2553,2062-05-18,229
2063,28.262337,2063-05-12,223
2064,55.863655,2064-05-22,234
2065,37.507305,2065-04-29,210
2066,46.898136,2066-05-13,224
2067,51.59646,2067-05-13,224
2068,32.52609,2068-04-13,195
2069,25.378881,2069-03-05,155
2070,27.930323,2070-03-29,179
2071,33.222076,2071-03-30,180
2072,36.934082,2072-03-25,176
2073,57.36687,2073-03-29,179
2074,22.383135,2074-03-04,154
2075,43.237415,2075-03-09,159
2076,46.44256,2076-02-06,128
2077,31.60893,2077-02-23,145
2078,29.619383,2078-02-03,125
2079,32.54112,2079-01-29,120
2080,26.354546,2080-02-28,150
2081,60.299828,2081-01-28,119
2082,18.488632,2082-01-07,98
2083,30.76959,2083-01-13,104
2084,47.458294,2084-01-09,100
2085,50.033695,2085-01-16,107
2086,31.0457,2086-01-21,112
2087,39.99927,2087-01-12,103
2088,25.083433,2087-12-23,83
2089,27.047895,2088-12-06,66
2090,21.47827,2090-09-27,361
2091,37.67892,2090-12-16,76
2092,34.176746,2091-12-11,71
2093,34.922863,2092-11-15,45
2094,35.04755,2093-11-26,56
2095,32.08399,2094-11-08,38
2096,31.906343,2095-12-02,62
2097,19.721975,2096-11-12,42
