,maxval,maxdate,maxarg
1981,20.020092,1981-03-24,174
1982,22.046608,1982-03-06,156
1983,7.978654,1983-01-26,117
1984,2.8179312,1984-02-01,123
1985,18.283173,1985-03-06,156
1986,8.356248,1986-02-07,129
1987,15.838636,1987-02-28,150
1988,10.070587,1988-01-27,118
1989,3.756372,1988-12-25,85
1990,18.48449,1990-01-18,109
1991,9.438749,1990-12-22,82
1992,10.430474,1992-01-09,100
1993,8.347987,1992-12-15,75
1994,11.611648,1993-12-11,71
1995,18.693077,1995-01-01,92
1996,6.0072603,1995-12-08,68
1997,8.945478,1997-09-30,364
1998,16.97548,1997-12-30,90
1999,8.503267,1998-11-08,38
2000,4.085313,1999-11-23,53
2001,4.3459754,2001-09-30,364
2002,8.965453,2001-11-12,42
2003,12.748378,2002-11-25,55
2004,7.46682,2004-09-27,362
2005,11.693754,2005-09-17,351
2006,10.551657,2005-10-07,6
2007,8.882758,2006-10-13,12
2008,11.813594,2008-09-27,362
2009,10.502205,2008-10-01,0
2010,14.960423,2010-09-09,343
2011,11.467216,2010-10-26,25
2012,8.428543,2011-10-01,0
2013,1.6267593,2013-07-06,278
2014,9.760417,2013-12-10,70
2015,6.8739314,2015-02-06,128
2016,7.340053,2015-12-02,62
2017,13.373061,2016-12-01,61
2018,7.653048,2017-11-05,35
2019,7.7548404,2018-10-30,29
2020,5.746997,2020-09-30,365
2021,13.242482,2020-11-09,39
2022,4.7039533,2022-09-14,348
2023,11.277293,2022-11-28,58
2024,8.019168,2024-09-30,365
2025,9.220687,2024-10-12,11
2026,8.853452,2025-10-01,0
2027,7.431707,2027-09-30,364
2028,7.840394,2027-10-16,15
2029,3.4162428,2028-10-28,27
2030,5.2888374,2030-08-18,321
2031,5.4800425,2031-09-17,351
2032,4.275145,2031-10-01,0
2033,9.361601,2033-09-18,352
2034,12.584997,2034-09-30,364
2035,16.156599,2034-10-25,24
2036,5.016993,2035-10-01,0
2037,7.945938,2037-08-15,318
2038,1.7695497,2038-06-29,271
2039,3.9749832,2039-08-09,312
2040,5.7694216,2040-09-17,352
2041,2.8324714,2041-05-17,228
2042,1.299532,2042-05-31,242
2043,3.568758,2043-06-09,251
2044,5.5390253,2044-06-23,266
2045,3.6748793,2045-07-25,297
2046,9.179956,2046-07-04,276
2047,7.6026754,2047-07-01,273
2048,4.397263,2048-06-02,245
2049,2.3257086,2049-06-22,264
2050,5.440471,2050-03-30,180
2051,6.55128,2051-06-17,259
2052,3.3112779,2052-03-23,174
2053,4.1217723,2053-05-28,239
2054,6.0454493,2054-04-11,192
2055,6.2616863,2055-05-23,234
2056,1.9491919,2056-03-02,153
2057,9.583739,2057-05-23,234
2058,2.1442397,2058-03-23,173
2059,2.0516098,2059-04-10,191
2060,1.2463996,2060-04-06,188
2061,7.920207,2061-02-28,150
2062,8.794865,2062-03-27,177
2063,1.6033838,2063-03-16,166
2064,2.6842203,2064-04-07,189
2065,2.5481117,2065-03-10,160
2066,4.1391425,2066-02-21,143
2067,1.8010311,2067-03-22,172
2068,1.6877528,2068-01-27,118
2069,1.2234219,2069-01-18,109
2070,6.923066,2070-02-19,141
2071,4.2851353,2071-03-24,174
2072,6.2930746,2072-02-22,144
2073,2.6030648,2072-12-11,71
2074,3.9211226,2074-01-06,97
2075,3.3879066,2075-02-05,127
2076,2.4830456,2076-01-29,120
2077,2.3503172,2076-12-10,70
2078,3.769331,2077-11-20,50
2079,7.020819,2078-11-23,53
2080,1.1328197,2080-03-18,169
2081,1.2565835,2080-11-10,40
2082,0.8470884,2081-11-13,43
2083,1.852621,2082-12-21,81
2084,2.932268,2083-12-04,64
2085,1.5872952,2084-11-20,50
2086,3.360395,2085-10-30,29
2087,2.0860376,2086-11-23,53
2088,1.681137,2087-11-30,60
2089,0.6860429,2088-12-05,65
2090,0.5140052,2089-10-01,0
2091,0.49748114,2091-09-01,335
2092,2.238711,2091-11-27,57
2093,0.97560054,2092-10-23,22
2094,1.8323658,2094-09-30,364
2095,1.8423818,2094-10-01,0
2096,1.1208149,2095-10-19,18
2097,2.0258358,2097-08-16,319
