,maxval,maxdate,maxarg
1981,47.822094,1981-04-09,190
1982,80.11535,1982-04-22,203
1983,44.625175,1983-03-26,176
1984,31.11774,1984-03-23,174
1985,60.894127,1985-04-11,192
1986,24.16025,1986-03-25,175
1987,51.83488,1987-03-28,178
1988,48.86149,1988-03-16,167
1989,28.207512,1989-02-11,133
1990,49.93486,1990-03-04,154
1991,44.69962,1991-02-16,138
1992,38.03082,1992-02-13,135
1993,34.690247,1993-02-06,128
1994,37.88716,1994-01-27,118
1995,60.565895,1995-02-10,132
1996,29.93218,1996-01-20,111
1997,29.511786,1997-01-11,102
1998,52.697388,1998-01-11,102
1999,26.354101,1998-12-31,91
2000,33.79506,2000-01-04,95
2001,25.548752,2000-12-26,86
2002,36.77717,2001-12-31,91
2003,51.23949,2003-01-02,93
2004,57.198044,2003-12-11,71
2005,55.265137,2004-12-18,78
2006,53.307217,2005-11-29,59
2007,43.19693,2006-11-29,59
2008,40.427563,2008-09-30,365
2009,46.57289,2008-11-05,35
2010,40.27148,2009-11-12,42
2011,50.92589,2011-09-30,364
2012,56.828903,2011-10-26,25
2013,55.899136,2012-10-16,15
2014,33.17527,2014-02-04,126
2015,57.84826,2015-02-10,132
2016,26.074348,2016-02-14,136
2017,69.21854,2017-01-23,114
2018,52.136116,2018-02-03,125
2019,40.246613,2019-01-15,106
2020,39.05842,2020-01-10,101
2021,56.96689,2021-01-09,100
2022,34.040512,2022-01-11,102
2023,62.24715,2023-01-16,107
2024,33.43675,2024-01-10,101
2025,51.48574,2024-12-30,90
2026,40.069317,2025-12-06,66
2027,38.64027,2026-11-29,59
2028,32.662064,2027-12-11,71
2029,42.735386,2028-11-24,54
2030,23.218845,2029-11-19,49
2031,31.088772,2030-11-21,51
2032,37.87808,2032-09-30,365
2033,44.596962,2032-11-24,54
2034,48.40702,2034-09-30,364
2035,57.648247,2034-11-01,31
2036,50.19766,2035-10-29,28
2037,50.059856,2036-10-22,21
2038,47.236248,2037-10-01,0
2039,61.329266,2039-09-30,364
2040,62.019638,2039-10-07,6
2041,60.67727,2041-09-26,360
2042,59.245407,2041-10-07,6
2043,29.339989,2043-09-16,350
2044,44.811775,2044-08-31,335
2045,35.07147,2044-10-01,0
2046,59.520103,2046-08-15,318
2047,59.286263,2047-08-25,328
2048,43.41926,2047-10-01,0
2049,42.05225,2049-08-11,314
2050,41.537144,2050-08-16,319
2051,46.53646,2051-07-26,298
2052,51.405323,2052-07-13,286
2053,49.30265,2053-06-26,268
2054,29.22456,2054-07-14,286
2055,29.552557,2055-06-30,272
2056,24.958506,2056-06-04,247
2057,35.352085,2057-07-04,276
2058,43.104084,2058-06-04,246
2059,42.262646,2059-06-03,245
2060,28.070421,2060-05-23,235
2061,43.28,2061-05-28,239
2062,58.35776,2062-05-18,229
2063,25.963455,2063-05-12,223
2064,48.03872,2064-05-22,234
2065,35.28526,2065-04-28,209
2066,45.781715,2066-05-06,217
2067,39.24459,2067-05-13,224
2068,26.601162,2068-04-12,194
2069,24.1551,2069-02-27,149
2070,27.72796,2070-03-29,179
2071,28.958027,2071-03-30,180
2072,33.625027,2072-03-25,176
2073,47.93328,2073-03-29,179
2074,20.469795,2074-04-03,184
2075,35.75996,2075-03-09,159
2076,40.852325,2076-02-06,128
2077,23.905771,2077-02-23,145
2078,21.830956,2078-01-31,122
2079,27.559769,2079-01-29,120
2080,24.086926,2080-02-27,149
2081,52.929874,2081-01-27,118
2082,15.710789,2082-01-07,98
2083,25.921944,2083-01-13,104
2084,39.605637,2084-01-09,100
2085,44.636486,2085-01-15,106
2086,22.998455,2086-01-21,112
2087,30.444603,2086-12-17,77
2088,21.223484,2087-12-16,76
2089,24.038435,2088-12-06,66
2090,17.406712,2090-09-27,361
2091,27.966455,2090-12-17,77
2092,28.483843,2091-12-12,72
2093,27.87192,2092-11-15,45
2094,25.473557,2093-11-25,55
2095,25.882969,2094-10-22,21
2096,28.485382,2095-12-05,65
2097,15.81287,2097-09-30,364
