,maxval,maxdate,maxarg
1981,47.063126,1981-04-03,184
1982,36.770855,1982-03-13,163
1983,41.43238,1983-03-23,173
1984,35.243446,1984-02-18,140
1985,52.305237,1985-04-09,190
1986,31.468037,1986-03-11,161
1987,45.47894,1987-04-01,182
1988,41.1773,1988-02-24,146
1989,35.502678,1989-02-11,133
1990,36.95841,1990-02-20,142
1991,36.73894,1991-01-29,120
1992,33.944336,1992-02-15,137
1993,36.35392,1993-02-08,130
1994,32.82835,1994-01-26,117
1995,46.281906,1995-02-02,124
1996,35.10143,1996-01-23,114
1997,26.680017,1996-12-23,83
1998,41.39175,1997-12-31,91
1999,29.640734,1998-12-29,89
2000,34.876522,2000-01-06,97
2001,34.219513,2000-12-22,82
2002,25.86671,2001-11-22,52
2003,40.782116,2002-12-13,73
2004,39.675373,2003-12-11,71
2005,50.38593,2004-12-15,75
2006,44.17401,2005-11-21,51
2007,38.020477,2006-11-10,40
2008,33.721584,2007-11-19,49
2009,37.837475,2008-10-29,28
2010,33.531155,2010-09-29,363
2011,36.87373,2010-11-05,35
2012,40.486206,2012-09-29,364
2013,43.412304,2012-10-18,17
2014,33.591732,2014-02-11,133
2015,45.8234,2015-02-09,131
2016,28.795725,2016-01-31,122
2017,54.169903,2017-01-26,117
2018,58.212036,2018-02-05,127
2019,28.366817,2019-01-10,101
2020,41.35982,2020-01-24,115
2021,51.024784,2020-12-17,77
2022,30.106987,2022-01-11,102
2023,43.677486,2023-01-12,103
2024,28.771818,2023-11-15,45
2025,35.070045,2024-12-10,70
2026,34.13039,2025-12-10,70
2027,44.492275,2026-11-18,48
2028,38.283154,2027-12-17,77
2029,26.765156,2028-10-31,30
2030,24.671354,2030-09-30,364
2031,39.665176,2030-11-22,52
2032,31.927916,2031-11-11,41
2033,31.029545,2033-09-30,364
2034,37.60785,2034-09-29,363
2035,45.737713,2034-10-28,27
2036,42.041023,2035-10-08,7
2037,29.274666,2037-09-11,345
2038,27.827553,2037-10-01,0
2039,43.55571,2039-09-30,364
2040,44.69975,2039-10-14,13
2041,44.538094,2041-09-09,343
2042,42.045494,2041-10-07,6
2043,20.627499,2043-08-18,321
2044,29.497591,2044-07-22,295
2045,35.400368,2045-09-16,350
2046,31.642687,2046-08-10,313
2047,27.830116,2047-08-10,313
2048,26.301115,2048-07-25,298
2049,25.056608,2049-07-01,273
2050,24.682182,2050-08-16,319
2051,32.04271,2051-07-31,303
2052,24.37004,2052-07-12,285
2053,26.249485,2053-06-22,264
2054,25.141998,2054-07-19,291
2055,28.249136,2055-07-02,274
2056,20.411577,2056-05-21,233
2057,32.00721,2057-07-04,276
2058,27.179148,2058-06-03,245
2059,15.26,2059-06-02,244
2060,12.073125,2060-04-25,207
2061,33.12653,2061-05-27,238
2062,33.3561,2062-05-09,220
2063,17.035366,2063-04-21,202
2064,28.655006,2064-05-23,235
2065,27.807827,2065-04-29,210
2066,22.310892,2066-03-14,164
2067,15.908798,2067-05-12,223
2068,21.207413,2068-03-23,174
2069,17.680534,2069-02-24,146
2070,30.337572,2070-03-28,178
2071,18.021713,2071-03-31,181
2072,18.93943,2072-03-24,175
2073,30.30272,2073-03-17,167
2074,13.814471,2074-02-22,144
2075,39.1639,2075-03-09,159
2076,29.981617,2076-02-05,127
2077,11.29559,2077-02-23,145
2078,12.789238,2078-01-17,108
2079,17.099276,2079-01-26,117
2080,16.054976,2080-02-24,146
2081,19.458694,2081-01-30,121
2082,13.584067,2082-01-06,97
2083,14.938054,2082-12-08,68
2084,36.940304,2084-01-09,100
2085,29.365015,2085-01-02,93
2086,6.1396575,2085-11-07,37
2087,6.450521,2086-12-16,76
2088,6.7831426,2087-12-16,76
2089,5.62819,2088-10-29,28
2090,7.969742,2089-10-28,27
2091,10.896182,2091-09-30,364
2092,11.783558,2091-10-19,18
2093,11.917147,2092-11-16,46
2094,9.943005,2094-09-30,364
2095,10.784794,2094-10-19,18
2096,19.233854,2095-12-13,73
2097,11.400764,2097-09-29,363
