,maxval,maxdate,maxarg
1981,21.25504,1981-03-23,173
1982,38.16675,1982-04-15,196
1983,16.04745,1983-03-27,177
1984,14.97518,1984-03-21,172
1985,18.959435,1985-03-06,156
1986,18.265928,1986-03-31,181
1987,23.27232,1987-03-06,156
1988,19.812386,1988-02-21,143
1989,11.666287,1989-02-24,146
1990,21.582872,1990-03-11,161
1991,17.997309,1991-02-20,142
1992,9.791513,1992-02-01,123
1993,16.467606,1993-02-01,123
1994,13.953507,1994-09-30,364
1995,25.026217,1995-01-26,117
1996,24.350357,1996-01-21,112
1997,12.372215,1996-12-25,85
1998,24.235735,1998-01-17,108
1999,24.118477,1999-01-08,99
2000,13.208074,1999-12-12,72
2001,9.650289,2000-12-23,83
2002,26.650143,2002-01-04,95
2003,17.51268,2002-12-09,69
2004,21.09607,2003-12-03,63
2005,13.487946,2004-11-30,60
2006,14.564296,2005-12-06,66
2007,12.333259,2007-09-30,364
2008,20.264698,2007-11-17,47
2009,18.522934,2008-12-01,61
2010,21.123806,2009-11-06,36
2011,23.169807,2010-11-23,53
2012,13.80977,2012-09-30,365
2013,14.480632,2012-10-10,9
2014,10.201769,2014-01-22,113
2015,16.829317,2015-02-11,133
2016,18.414835,2016-02-10,132
2017,23.866003,2017-01-15,106
2018,19.976913,2018-01-23,114
2019,22.197609,2019-02-06,128
2020,11.821989,2020-01-02,93
2021,26.221537,2021-01-03,94
2022,21.153318,2021-12-29,89
2023,26.565006,2023-01-01,92
2024,16.268616,2024-01-12,103
2025,16.733236,2024-11-30,60
2026,12.412444,2025-12-08,68
2027,8.00377,2027-09-30,364
2028,17.555326,2027-12-12,72
2029,16.793554,2028-11-21,51
2030,10.954239,2029-11-14,44
2031,18.77289,2031-09-29,363
2032,21.6896,2031-11-01,31
2033,21.002724,2033-09-30,364
2034,22.87094,2033-11-10,40
2035,15.272018,2035-09-30,364
2036,16.486021,2035-10-10,9
2037,18.438538,2037-09-23,357
2038,17.804018,2038-09-30,364
2039,18.498594,2038-10-04,3
2040,13.345161,2039-10-01,0
2041,9.99221,2041-08-28,331
2042,9.052519,2042-08-30,333
2043,17.460054,2043-08-30,333
2044,8.5193815,2044-07-20,293
2045,10.888103,2045-08-17,320
2046,15.656293,2046-08-13,316
2047,17.566725,2047-08-09,312
2048,21.634464,2048-08-11,315
2049,3.3481932,2049-06-23,265
2050,13.438223,2050-07-20,292
2051,10.51196,2051-07-01,273
2052,12.858722,2052-07-15,288
2053,14.01738,2053-07-08,280
2054,17.140312,2054-07-10,282
2055,14.52559,2055-06-21,263
2056,7.2226434,2056-06-02,245
2057,15.849315,2057-06-11,253
2058,10.633287,2058-06-10,252
2059,13.835515,2059-05-28,239
2060,10.65135,2060-06-11,254
2061,5.3309536,2061-04-14,195
2062,12.727707,2062-05-22,233
2063,14.092148,2063-05-09,220
2064,8.408314,2064-05-01,213
2065,12.632609,2065-04-08,189
2066,15.728088,2066-05-08,219
2067,5.424353,2067-02-25,147
2068,10.32666,2068-03-26,177
2069,5.713659,2069-04-01,182
2070,9.840717,2070-03-05,155
2071,16.100925,2071-03-25,175
2072,26.304235,2072-03-26,177
2073,10.902561,2073-03-22,172
2074,15.982782,2074-03-15,165
2075,11.195936,2075-02-07,129
2076,4.521067,2076-01-08,99
2077,10.005397,2077-02-19,141
2078,12.503731,2078-03-10,160
2079,13.25753,2079-01-30,121
2080,11.0103245,2080-01-31,122
2081,12.475012,2081-01-24,115
2082,7.9716825,2082-01-07,98
2083,8.361022,2083-01-11,102
2084,9.626125,2083-12-14,74
2085,10.654039,2084-12-30,90
2086,10.379467,2086-01-06,97
2087,10.404542,2087-01-15,106
2088,8.341755,2087-12-21,81
2089,6.4544883,2088-12-08,68
2090,3.3728065,2090-09-20,354
2091,7.918184,2090-11-22,52
2092,4.328581,2091-12-14,74
2093,6.401458,2092-11-18,48
2094,5.5402775,2093-11-18,48
2095,6.938065,2094-10-25,24
2096,8.743754,2095-10-25,24
2097,8.50332,2097-09-30,364
