,maxval,maxdate,maxarg
1981,15.725918,1981-03-24,174
1982,16.584675,1982-02-20,142
1983,5.379165,1983-01-25,116
1984,3.7919085,1984-02-02,124
1985,17.839478,1985-03-02,152
1986,10.42578,1986-02-07,129
1987,18.868471,1987-02-23,145
1988,6.811831,1988-01-18,109
1989,4.8491235,1988-12-26,86
1990,15.671636,1990-01-18,109
1991,7.8299575,1990-12-22,82
1992,2.6473455,1991-12-10,70
1993,8.19274,1992-12-15,75
1994,11.666655,1993-12-09,69
1995,14.795212,1994-12-14,74
1996,9.505365,1995-12-26,86
1997,8.935885,1997-09-30,364
1998,17.991753,1997-12-30,90
1999,8.747241,1998-11-08,38
2000,3.4445343,1999-11-23,53
2001,4.7323923,2001-09-29,363
2002,10.043882,2001-11-12,42
2003,11.190696,2002-12-01,61
2004,11.040223,2004-09-26,361
2005,11.345422,2004-10-04,3
2006,9.988469,2006-09-29,363
2007,10.708248,2006-10-14,13
2008,8.942524,2008-09-28,363
2009,8.444292,2008-10-01,0
2010,14.71936,2010-09-09,343
2011,12.935922,2010-10-26,25
2012,10.489188,2012-09-10,345
2013,5.5832562,2012-10-01,0
2014,11.363506,2013-12-10,70
2015,8.62908,2015-02-09,131
2016,7.507758,2015-12-03,63
2017,14.383979,2016-11-30,60
2018,8.212091,2017-11-25,55
2019,8.038866,2018-11-03,33
2020,5.2659073,2020-09-30,365
2021,16.187084,2020-11-13,43
2022,2.7544172,2022-09-14,348
2023,12.913355,2022-11-28,58
2024,9.835692,2024-09-28,363
2025,9.7798815,2024-10-01,0
2026,7.2057347,2025-10-01,0
2027,7.058038,2027-09-30,364
2028,7.244068,2027-10-06,5
2029,3.9460835,2028-10-28,27
2030,6.747161,2030-09-17,351
2031,7.4214478,2031-09-27,361
2032,7.0053635,2031-10-01,0
2033,12.755374,2033-09-18,352
2034,12.302271,2033-10-09,8
2035,11.630489,2034-10-09,8
2036,10.559437,2035-10-05,4
2037,6.71371,2037-07-30,302
2038,1.8294672,2038-06-11,253
2039,3.9942133,2039-05-21,232
2040,11.810863,2040-09-17,352
2041,2.6643486,2041-05-18,229
2042,1.5091817,2042-07-05,277
2043,4.4618044,2043-08-02,305
2044,6.611886,2044-07-10,283
2045,3.6912842,2045-07-25,297
2046,10.720058,2046-07-08,280
2047,9.055612,2047-07-25,297
2048,9.171777,2048-07-15,288
2049,2.1226058,2049-05-30,241
2050,3.2624588,2050-03-28,178
2051,5.825027,2051-06-16,258
2052,3.1559732,2052-03-23,174
2053,8.196685,2053-06-01,243
2054,12.076538,2054-06-16,258
2055,8.666358,2055-05-23,234
2056,1.3185866,2056-03-03,154
2057,12.121487,2057-05-22,233
2058,2.0284042,2058-03-23,173
2059,1.6396158,2059-04-30,211
2060,2.4169106,2060-04-08,190
2061,8.424938,2061-03-13,163
2062,8.588646,2062-03-26,176
2063,2.4890447,2063-03-16,166
2064,1.7751752,2064-04-19,201
2065,3.2877607,2065-03-10,160
2066,5.523525,2066-02-21,143
2067,0.9515143,2067-04-25,206
2068,1.5659529,2068-01-22,113
2069,0.9224944,2069-02-23,145
2070,4.7608657,2070-03-05,155
2071,4.250076,2071-01-13,104
2072,7.5333242,2072-02-23,145
2073,2.8114092,2072-12-11,71
2074,3.4020083,2074-01-20,111
2075,2.9707541,2075-02-05,127
2076,2.6539462,2076-01-04,95
2077,3.1832674,2076-12-18,78
2078,4.194987,2077-12-31,91
2079,7.663463,2079-01-23,114
2080,1.5182511,2079-12-27,87
2081,1.5148065,2080-10-15,14
2082,0.8125314,2081-11-13,43
2083,1.4103341,2082-11-18,48
2084,1.1675326,2084-01-02,93
2085,2.248854,2084-10-17,16
2086,4.293134,2085-11-02,32
2087,1.8831294,2086-11-27,57
2088,1.7681965,2087-12-02,62
2089,0.92969596,2088-12-05,65
2090,0.7172782,2090-09-13,347
2091,0.587079,2090-11-30,60
2092,0.8827151,2091-11-25,55
2093,0.97158146,2093-09-30,364
2094,1.3736175,2094-09-30,364
2095,1.4390137,2094-10-01,0
2096,0.9226348,2096-09-04,339
2097,1.464371,2097-09-29,363
