,maxval,maxdate,maxarg
1981,4.280706,1981-03-23,173
1982,21.656235,1982-02-17,139
1983,4.518215,1983-01-21,112
1984,3.643094,1984-01-29,120
1985,9.242277,1984-12-31,91
1986,4.3721013,1986-02-04,126
1987,8.886741,1987-01-29,120
1988,12.720963,1988-01-27,118
1989,6.3170943,1988-12-21,81
1990,14.720307,1989-12-30,90
1991,6.9415746,1990-11-04,34
1992,3.0769637,1991-11-19,49
1993,7.5678854,1993-09-25,359
1994,6.6974487,1993-10-01,0
1995,6.430778,1994-10-05,4
1996,4.2622476,1996-09-19,354
1997,6.7974963,1997-09-30,364
1998,9.504988,1997-10-04,3
1999,8.071942,1998-11-08,38
2000,3.7180367,1999-11-15,45
2001,9.640645,2001-09-28,362
2002,12.570639,2002-09-16,350
2003,9.327727,2002-10-01,0
2004,12.919111,2003-11-02,32
2005,5.358085,2005-09-04,338
2006,8.414784,2006-08-09,312
2007,5.908116,2007-08-30,333
2008,3.2873433,2008-08-05,309
2009,7.7671466,2009-07-23,295
2010,5.1801257,2010-07-26,298
2011,4.2188654,2011-09-30,364
2012,7.057236,2012-08-24,328
2013,1.578205,2013-07-04,276
2014,7.5517015,2013-12-08,68
2015,4.6917086,2014-10-21,20
2016,2.2596796,2015-12-14,74
2017,7.1842604,2016-12-01,61
2018,6.771185,2017-11-02,32
2019,11.096377,2018-11-04,34
2020,4.9482894,2019-10-15,14
2021,10.486329,2020-10-17,16
2022,5.8375626,2022-09-13,347
2023,18.524206,2022-10-23,22
2024,2.8869019,2024-08-29,333
2025,6.73701,2025-09-20,354
2026,5.3132377,2025-11-29,59
2027,1.7267724,2027-08-21,324
2028,4.8361673,2028-07-27,300
2029,1.8993424,2029-08-20,323
2030,1.4847193,2030-08-07,310
2031,9.768983,2031-09-17,351
2032,7.1697702,2031-10-01,0
2033,3.6764576,2033-09-04,338
2034,3.536498,2034-08-29,332
2035,2.6351867,2035-08-18,321
2036,5.6118894,2036-08-23,327
2037,5.2738,2037-06-23,265
2038,5.1793694,2038-08-03,306
2039,2.3728178,2039-07-21,293
2040,1.0578252,2040-05-19,231
2041,1.7383869,2041-05-12,223
2042,3.3646905,2042-07-11,283
2043,2.8785317,2043-05-21,232
2044,0.47807476,2044-05-28,240
2045,0.58247745,2045-05-12,223
2046,10.421777,2046-07-05,277
2047,4.5274587,2047-07-25,297
2048,5.612067,2048-06-10,253
2049,1.0427212,2049-05-08,219
2050,5.9855638,2050-06-27,269
2051,7.5248537,2051-06-24,266
2052,7.0333047,2052-03-25,176
2053,4.874659,2053-05-02,213
2054,0.48821548,2054-04-09,190
2055,2.1577532,2055-05-09,220
2056,2.2925577,2056-02-24,146
2057,3.1148078,2057-05-03,214
2058,0.7497092,2058-04-01,182
2059,1.1390364,2059-04-27,208
2060,2.1373074,2060-03-08,159
2061,1.5932004,2061-01-27,118
2062,8.189769,2062-04-01,182
2063,0.4577221,2063-03-01,151
2064,2.476378,2064-02-02,124
2065,6.9678698,2065-04-08,189
2066,12.937512,2066-02-28,150
2067,0.17082849,2067-01-28,119
2068,1.0388535,2068-01-17,108
2069,0.41711676,2069-02-04,126
2070,2.6864762,2070-02-01,123
2071,1.1345836,2071-01-23,114
2072,3.994019,2072-02-26,148
2073,4.427963,2073-02-23,145
2074,2.3009374,2074-01-04,95
2075,3.6144488,2074-12-31,91
2076,5.181717,2076-01-11,102
2077,1.6271465,2077-01-04,95
2078,3.1213567,2078-01-11,102
2079,3.0332103,2078-11-27,57
2080,1.9127911,2079-12-02,62
2081,13.476811,2080-12-01,61
2082,1.5398654,2081-11-25,55
2083,0.5809514,2082-12-08,68
2084,3.7343092,2083-10-14,13
2085,10.278502,2084-11-26,56
2086,8.822302,2085-10-19,18
2087,5.3901415,2086-10-30,29
2088,2.5264263,2087-10-01,0
2089,1.2551193,2088-10-28,27
2090,3.240913,2089-10-28,27
2091,0.13257237,2090-10-07,6
2092,2.8693228,2091-10-16,15
2093,0.7634727,2092-11-13,43
2094,2.0527587,2094-09-25,359
2095,0.68833214,2095-07-08,280
2096,0.32294413,2096-08-26,330
2097,2.0013754,2097-08-30,333
