,maxval,maxdate,maxarg
1981,21.648802,1981-03-29,179
1982,39.138958,1982-04-14,195
1983,18.89058,1983-03-26,176
1984,7.268786,1984-02-04,126
1985,27.917887,1985-04-04,185
1986,7.2554107,1986-03-15,165
1987,21.39432,1987-03-13,163
1988,16.470175,1988-02-24,146
1989,9.874104,1989-02-11,133
1990,21.793554,1990-02-26,148
1991,17.412125,1991-02-16,138
1992,14.615427,1992-01-30,121
1993,12.940878,1993-02-05,127
1994,12.62059,1994-01-07,98
1995,24.97465,1995-02-01,123
1996,14.684447,1996-01-21,112
1997,11.275483,1996-12-23,83
1998,20.584927,1997-12-31,91
1999,9.3382845,1998-11-28,58
2000,10.244773,1999-12-10,70
2001,11.3621435,2000-12-25,85
2002,15.51852,2001-11-26,56
2003,22.145378,2002-12-10,70
2004,27.84809,2003-12-13,73
2005,18.24446,2004-12-08,68
2006,21.29459,2005-11-23,53
2007,18.49033,2006-11-11,41
2008,21.581312,2008-09-30,365
2009,24.479609,2008-10-27,26
2010,20.646994,2009-11-08,38
2011,23.441883,2011-09-30,364
2012,25.799942,2011-10-26,25
2013,26.808006,2012-10-17,16
2014,12.360227,2014-01-27,118
2015,20.329351,2015-02-10,132
2016,14.172578,2016-02-03,125
2017,31.80641,2017-01-25,116
2018,20.051264,2018-02-02,124
2019,16.97039,2019-01-12,103
2020,13.194543,2020-01-01,92
2021,26.427603,2021-01-04,95
2022,13.712946,2022-01-11,102
2023,26.124666,2022-12-24,84
2024,10.6013365,2024-09-30,365
2025,20.724619,2024-12-29,89
2026,16.258036,2025-12-06,66
2027,14.528713,2026-11-18,48
2028,14.198595,2027-12-15,75
2029,17.222958,2028-11-20,50
2030,6.666442,2029-10-10,9
2031,11.018434,2030-11-11,41
2032,14.901595,2032-09-30,365
2033,17.820343,2033-09-30,364
2034,18.887295,2033-10-20,19
2035,21.612976,2034-10-25,24
2036,18.71227,2036-09-30,365
2037,21.229996,2037-09-22,356
2038,19.839375,2037-10-01,0
2039,24.857935,2039-09-30,364
2040,25.530231,2039-10-08,7
2041,21.946291,2041-09-07,341
2042,18.512943,2041-10-01,0
2043,11.009175,2043-08-30,333
2044,12.978904,2044-08-31,335
2045,10.302339,2045-08-18,321
2046,27.057095,2046-08-20,323
2047,29.223232,2047-08-26,329
2048,24.260996,2048-08-07,311
2049,16.650194,2049-07-01,273
2050,19.462887,2050-07-28,300
2051,23.541103,2051-07-03,275
2052,18.519667,2052-07-12,285
2053,20.10602,2053-06-27,269
2054,14.029463,2054-07-14,286
2055,10.556355,2055-06-13,255
2056,7.098178,2056-05-23,235
2057,13.054489,2057-06-29,271
2058,15.851154,2058-06-08,250
2059,16.4286,2059-05-08,219
2060,16.244467,2060-05-23,235
2061,17.432827,2061-06-01,243
2062,29.203217,2062-05-05,216
2063,6.7315683,2063-04-21,202
2064,25.446972,2064-04-23,205
2065,11.676713,2065-04-28,209
2066,21.155626,2066-04-07,188
2067,20.353561,2067-05-13,224
2068,8.221376,2068-04-09,191
2069,4.5447416,2069-02-26,148
2070,14.540909,2070-03-24,174
2071,13.633848,2071-03-30,180
2072,15.343812,2072-03-26,177
2073,19.482948,2073-03-29,179
2074,9.234144,2074-02-25,147
2075,15.229206,2075-02-16,138
2076,18.532335,2076-02-08,130
2077,11.88043,2077-02-23,145
2078,9.788554,2078-02-02,124
2079,11.507443,2079-01-29,120
2080,7.6632614,2080-01-21,112
2081,30.707706,2081-01-25,116
2082,2.7217472,2081-12-11,71
2083,7.4348087,2083-01-13,104
2084,16.026419,2084-01-05,96
2085,19.891409,2085-01-03,94
2086,6.6910954,2085-12-08,68
2087,13.691448,2086-12-17,77
2088,13.765722,2087-12-16,76
2089,10.982087,2088-12-06,66
2090,6.791537,2090-09-24,358
2091,9.971851,2090-11-05,35
2092,8.578568,2092-09-30,365
2093,13.733483,2092-11-16,46
2094,9.30706,2093-11-24,54
2095,10.493059,2094-10-24,23
2096,4.515463,2095-10-25,24
2097,5.929217,2097-09-30,364
