,maxval,maxdate,maxarg
1981,16.16879,1981-03-25,175
1982,12.486586,1982-02-21,143
1983,13.35023,1983-01-22,113
1984,6.6222744,1984-01-31,122
1985,17.47238,1985-03-10,160
1986,7.7794876,1986-02-19,141
1987,14.52241,1987-03-22,172
1988,13.260919,1988-02-23,145
1989,6.8280697,1988-12-25,85
1990,15.330712,1990-02-19,141
1991,8.918806,1991-01-02,93
1992,4.6891384,1992-01-06,97
1993,7.7833285,1993-01-28,119
1994,12.745741,1993-12-11,71
1995,17.281912,1995-01-02,93
1996,6.1472297,1996-01-19,110
1997,8.131102,1997-09-30,364
1998,13.585202,1997-12-05,65
1999,8.172061,1998-11-19,49
2000,5.517507,2000-09-22,357
2001,8.874966,2000-12-11,71
2002,9.636934,2002-09-28,362
2003,13.330657,2002-11-25,55
2004,9.885681,2004-09-23,358
2005,14.594672,2004-12-03,63
2006,10.037607,2006-09-30,364
2007,11.334913,2006-11-08,38
2008,12.7562475,2008-09-27,362
2009,11.497037,2008-10-01,0
2010,6.4607177,2010-09-23,357
2011,9.60601,2011-09-30,364
2012,10.013489,2011-10-02,1
2013,5.58148,2012-10-12,11
2014,6.6953645,2013-12-10,70
2015,8.863557,2014-12-01,61
2016,5.0588202,2015-12-01,61
2017,5.7235093,2016-12-03,63
2018,9.889644,2017-11-03,33
2019,10.266274,2018-11-04,34
2020,3.755126,2020-09-30,365
2021,10.103647,2020-11-05,35
2022,7.4206896,2022-09-30,364
2023,16.121778,2022-11-27,57
2024,6.915676,2024-09-12,347
2025,5.5017915,2024-10-15,14
2026,5.6307125,2025-12-03,63
2027,4.4055104,2027-08-25,328
2028,5.0680866,2027-12-02,62
2029,1.7235371,2028-10-30,29
2030,5.370266,2030-08-18,321
2031,4.542389,2031-09-17,351
2032,4.7150717,2031-10-26,25
2033,7.191026,2033-09-24,358
2034,6.5096793,2033-10-02,1
2035,6.656284,2034-10-24,23
2036,4.016895,2036-08-23,327
2037,5.580539,2037-06-23,265
2038,3.90279,2038-08-03,306
2039,2.3510516,2039-09-24,358
2040,3.8571327,2040-08-30,334
2041,3.849793,2041-06-27,269
2042,2.734109,2042-07-12,284
2043,2.7590973,2043-05-10,221
2044,2.2153325,2044-05-13,225
2045,3.3003962,2045-07-26,298
2046,6.350719,2046-07-06,278
2047,6.8351765,2047-07-25,297
2048,4.193772,2048-06-20,263
2049,1.9185252,2049-06-01,243
2050,2.7645652,2050-06-28,270
2051,8.128684,2051-06-23,265
2052,1.7132893,2052-05-16,228
2053,5.6135583,2053-05-26,237
2054,2.286819,2054-04-12,193
2055,2.2517352,2055-05-01,212
2056,1.1276834,2056-04-25,207
2057,3.3890336,2057-05-24,235
2058,2.8001633,2058-05-07,218
2059,1.9346522,2059-04-30,211
2060,0.7163496,2060-04-11,193
2061,3.8185418,2061-02-28,150
2062,4.223412,2062-03-04,154
2063,1.752949,2063-02-16,138
2064,3.4400344,2064-02-10,132
2065,2.0932434,2065-02-12,134
2066,7.306986,2066-03-11,161
2067,1.8628948,2067-04-06,187
2068,1.4976836,2068-01-18,109
2069,1.0956962,2069-04-05,186
2070,4.5468235,2070-03-05,155
2071,1.4073278,2071-02-02,124
2072,3.7977154,2072-02-25,147
2073,2.816636,2073-02-24,146
2074,2.239334,2074-01-05,96
2075,2.5051441,2075-03-09,159
2076,5.050412,2076-02-01,123
2077,2.5787709,2077-02-22,144
2078,0.72803736,2077-11-18,48
2079,2.7886043,2078-11-27,57
2080,2.3955493,2080-01-19,110
2081,3.0670366,2080-12-01,61
2082,0.61137354,2081-11-24,54
2083,0.39581814,2082-11-21,51
2084,3.4209976,2083-12-16,76
2085,4.32119,2084-11-27,57
2086,1.9550358,2085-10-16,15
2087,1.5099698,2086-10-05,4
2088,1.2474979,2087-10-08,7
2089,0.8928759,2088-10-28,27
2090,2.1922972,2089-10-28,27
2091,0.67532074,2091-09-18,352
2092,1.26237,2092-09-18,353
2093,1.0276623,2092-11-14,44
2094,0.8143654,2094-09-28,362
2095,1.0127072,2095-07-11,283
2096,0.88228333,2095-11-12,42
2097,1.699058,2097-08-30,333
