,maxval,maxdate,maxarg
1981,23.734861,1981-04-01,182
1982,41.854935,1982-04-22,203
1983,22.16499,1983-03-26,176
1984,13.555248,1984-04-24,206
1985,27.911995,1985-04-05,186
1986,12.439648,1986-03-28,178
1987,23.433264,1987-04-06,187
1988,19.717018,1988-03-16,167
1989,12.755446,1989-02-11,133
1990,23.967339,1990-03-04,154
1991,20.59862,1991-02-16,138
1992,17.437927,1992-02-13,135
1993,15.881856,1993-02-06,128
1994,17.186806,1994-01-28,119
1995,26.91981,1995-02-02,124
1996,16.590248,1996-01-21,112
1997,14.623578,1997-01-11,102
1998,23.711853,1998-01-15,106
1999,14.018262,1999-01-07,98
2000,19.513979,2000-01-05,96
2001,12.329889,2000-12-27,87
2002,18.867878,2002-01-02,93
2003,26.224497,2003-01-03,94
2004,31.002571,2003-12-12,72
2005,20.816698,2004-12-19,79
2006,23.371363,2005-12-15,75
2007,23.72911,2006-12-05,65
2008,23.028744,2008-09-30,365
2009,26.820179,2008-11-05,35
2010,23.345514,2009-11-13,43
2011,25.038185,2011-09-30,364
2012,28.184929,2011-10-27,26
2013,27.361605,2012-10-28,27
2014,14.056973,2014-02-02,124
2015,25.706596,2015-02-11,133
2016,15.943881,2016-02-13,135
2017,35.45567,2017-01-29,120
2018,23.239845,2018-02-02,124
2019,19.502176,2019-01-24,115
2020,16.173994,2020-01-12,103
2021,28.444355,2021-01-04,95
2022,15.520712,2022-09-30,364
2023,30.432758,2023-01-16,107
2024,18.062983,2024-01-11,102
2025,26.955631,2024-12-29,89
2026,18.81892,2025-12-20,80
2027,17.278559,2026-11-29,59
2028,16.83219,2027-12-15,75
2029,19.23095,2028-12-06,66
2030,13.0470915,2029-11-19,49
2031,14.564548,2030-11-22,52
2032,16.568914,2032-09-30,365
2033,22.375767,2032-11-25,55
2034,21.775858,2033-11-05,35
2035,23.895252,2034-10-29,28
2036,22.28016,2035-10-29,28
2037,25.284527,2036-10-23,22
2038,23.10266,2037-10-20,19
2039,26.341501,2039-09-30,364
2040,26.941702,2039-10-08,7
2041,25.81447,2040-10-05,4
2042,23.157198,2041-10-01,0
2043,14.114032,2043-08-31,334
2044,18.51671,2044-08-31,335
2045,16.801708,2045-09-14,348
2046,27.324713,2046-08-20,323
2047,30.774193,2047-08-26,329
2048,26.280556,2048-08-08,312
2049,21.524906,2049-08-11,314
2050,20.810677,2050-08-16,319
2051,26.787825,2051-08-02,305
2052,19.793816,2052-07-13,286
2053,21.583551,2053-07-04,276
2054,15.184478,2054-07-14,286
2055,13.270769,2055-07-02,274
2056,12.580515,2056-06-18,261
2057,17.749226,2057-06-29,271
2058,18.815186,2058-06-19,261
2059,18.665773,2059-06-02,244
2060,18.233025,2060-05-29,241
2061,21.309757,2061-06-02,244
2062,33.57986,2062-05-31,242
2063,12.474648,2063-05-12,223
2064,30.037256,2064-05-31,243
2065,17.298018,2065-04-29,210
2066,23.43821,2066-05-12,223
2067,25.685907,2067-05-13,224
2068,13.144472,2068-05-02,214
2069,11.198379,2069-04-14,195
2070,15.467397,2070-03-30,180
2071,16.623283,2071-04-03,184
2072,15.544364,2072-03-25,176
2073,23.983711,2073-03-29,179
2074,13.575249,2074-04-09,190
2075,19.115917,2075-03-10,160
2076,22.269629,2076-02-07,129
2077,17.23687,2077-02-27,149
2078,11.684316,2078-02-05,127
2079,14.657935,2079-03-15,165
2080,15.629153,2080-03-20,171
2081,35.21234,2081-01-28,119
2082,5.1939893,2082-01-07,98
2083,12.830095,2083-01-19,110
2084,19.343987,2084-01-09,100
2085,24.753958,2085-01-15,106
2086,12.665397,2086-01-26,117
2087,16.675169,2087-01-14,105
2088,17.75181,2087-12-27,87
2089,14.877455,2089-01-15,106
2090,12.884508,2090-01-08,99
2091,14.970195,2090-12-17,77
2092,13.9868765,2091-12-12,72
2093,15.616121,2092-11-20,50
2094,16.501102,2093-11-27,57
2095,16.203766,2094-11-28,58
2096,13.7118025,2095-12-03,63
2097,10.016606,2096-11-12,42
