,maxval,maxdate,maxarg
1981,0.5999997,1980-12-23,83
1982,4.036635,1982-01-08,99
1983,0.5454281,1982-11-10,40
1984,0.74926513,1984-01-15,106
1985,1.2317307,1984-12-01,61
1986,1.6015109,1985-12-28,88
1987,5.4497895,1987-01-27,118
1988,4.3709426,1987-12-31,91
1989,0.5798169,1988-12-21,81
1990,2.9992945,1989-12-28,88
1991,1.1254498,1990-11-03,33
1992,1.6281416,1991-11-18,48
1993,7.5836344,1992-12-04,64
1994,5.049297,1994-09-29,363
1995,5.84592,1994-10-02,1
1996,3.2190707,1995-10-25,24
1997,2.98831,1997-09-21,355
1998,3.2655053,1997-11-16,46
1999,4.2978144,1998-11-03,33
2000,0.6294143,1999-11-10,40
2001,4.3417506,2001-09-28,362
2002,5.354247,2001-10-04,3
2003,2.042555,2003-09-30,364
2004,6.292881,2003-10-19,18
2005,1.2673426,2004-10-21,20
2006,1.3155695,2006-07-26,298
2007,1.9226227,2006-11-22,52
2008,3.0287144,2008-08-23,327
2009,1.5372878,2009-08-11,314
2010,4.3368673,2010-07-22,294
2011,1.2584792,2010-10-09,8
2012,1.1454824,2012-08-23,327
2013,0.712597,2013-07-02,274
2014,1.5047196,2014-09-29,363
2015,2.603369,2014-11-18,48
2016,3.6557772,2015-10-05,4
2017,1.6132758,2017-09-29,363
2018,2.3422554,2017-11-03,33
2019,0.16164398,2018-10-20,19
2020,0.61738133,2019-12-24,84
2021,3.99197,2020-11-02,32
2022,3.4661682,2021-11-22,52
2023,3.2283008,2023-08-30,333
2024,1.8120362,2023-10-11,10
2025,5.449064,2025-09-25,359
2026,5.388376,2025-10-01,0
2027,2.4635308,2027-08-25,328
2028,0.29737622,2028-08-18,322
2029,0.82842934,2029-09-17,351
2030,2.231879,2030-08-03,306
2031,1.6999141,2031-09-17,351
2032,2.3360367,2032-09-22,357
2033,0.7318606,2033-08-30,333
2034,0.34601966,2034-07-18,290
2035,3.3426576,2035-09-22,356
2036,0.00016444932,2035-10-17,16
2037,1.5207382,2037-07-21,293
2038,1.9226162,2038-08-01,304
2039,0.7627482,2039-07-17,289
2040,3.9032953,2040-08-05,309
2041,0.9389985,2041-07-27,299
2042,1.7408723,2042-07-03,275
2043,0.36396393,2043-06-17,259
2044,0.76128316,2044-05-10,222
2045,1.6491568,2045-07-18,290
2046,1.0817536,2046-08-10,313
2047,0.7440143,2047-04-08,189
2048,0.7491678,2048-06-01,244
2049,0.41491088,2049-05-28,239
2050,0.17023197,2050-06-04,246
2051,1.1038401,2051-04-17,198
2052,2.2061973,2052-03-15,166
2053,2.597971,2053-04-11,192
2054,0.7310172,2054-03-22,172
2055,0.6869587,2055-05-19,230
2056,1.837217,2056-03-04,155
2057,6.596856,2057-05-16,227
2058,1.0827223,2058-03-21,171
2059,0.020849165,2059-02-10,132
2060,0.7473625,2060-03-29,180
2061,0.7504906,2061-02-11,133
2062,2.1241891,2062-01-26,117
2063,1.4542077,2063-02-09,131
2064,0.06798269,2064-04-18,200
2065,1.1047082,2065-03-26,176
2066,0.21196674,2066-02-04,126
2067,0.005711303,2067-03-23,173
2068,0.0038293095,2068-03-11,162
2069,0.009653193,2068-12-28,88
2070,0.3018268,2070-01-30,121
2071,0.28355366,2071-01-11,102
2072,4.4826956,2072-02-22,144
2073,1.2036915,2073-02-09,131
2074,5.307263,2074-01-16,107
2075,0.89123005,2075-03-08,158
2076,0.15006745,2076-03-04,155
2077,0.6985942,2076-12-10,70
2078,0.13129368,2077-11-17,47
2079,0.55177826,2078-10-31,30
2080,0.25368136,2080-01-08,99
2081,0.7210358,2080-10-15,14
2082,0.4115628,2081-11-10,40
2083,0.20736006,2082-11-30,60
2084,3.909137e-05,2083-12-01,61
2085,1.4131249,2084-12-22,82
2086,3.2322554e-05,2085-11-23,53
2087,0.71045613,2086-12-06,66
2088,0.42236978,2087-12-01,61
2089,0.012148645,2088-12-16,76
2090,0.00012252877,2090-08-16,319
2091,1.6514865e-05,2091-08-30,333
2092,4.409342e-05,2091-12-01,61
2093,5.079081e-05,2093-09-26,360
2094,0.45689917,2093-10-17,16
2095,0.25209573,2094-10-01,0
2096,0.0018313584,2095-10-05,4
2097,0.053588074,2097-08-13,316
