,maxval,maxdate,maxarg
1981,7.769425,1981-02-22,144
1982,3.3445015,1982-02-17,139
1983,2.1260283,1983-04-24,205
1984,7.579908,1984-01-25,116
1985,0.68329114,1984-11-12,42
1986,5.1588283,1986-01-19,110
1987,7.1731277,1987-01-13,104
1988,3.6767695,1987-12-02,62
1989,5.011709,1988-12-22,82
1990,3.600666,1989-12-24,84
1991,1.5160146,1990-10-12,11
1992,4.0658593,1991-11-19,49
1993,2.7529848,1992-12-01,61
1994,5.5785794,1993-12-07,67
1995,4.15358,1994-10-01,0
1996,3.215317,1995-10-05,4
1997,1.8101646,1996-10-01,0
1998,2.3202894,1997-12-31,91
1999,2.4787729,1999-09-22,356
2000,2.452096,1999-10-01,0
2001,3.453951,2001-09-25,359
2002,9.224917,2001-11-18,48
2003,4.194626,2003-09-18,352
2004,11.487635,2003-10-19,18
2005,0.80802685,2005-08-08,311
2006,1.6587571,2006-08-07,310
2007,3.099616,2007-09-21,355
2008,3.277086,2008-08-31,335
2009,1.768118,2009-06-14,256
2010,3.1563723,2010-07-29,301
2011,2.7268,2011-08-10,313
2012,2.5005107,2012-07-17,290
2013,1.0790045,2013-05-06,217
2014,0.7138883,2014-09-29,363
2015,2.3228273,2015-09-30,364
2016,7.9619603,2015-11-23,53
2017,3.5986464,2017-09-30,364
2018,4.5062366,2017-10-04,3
2019,5.6879745,2018-12-23,83
2020,2.0718374,2019-11-09,39
2021,2.421447,2020-10-29,28
2022,4.1115155,2021-10-20,19
2023,4.4905853,2022-11-16,46
2024,1.9102486,2023-10-13,12
2025,4.2822175,2025-09-23,357
2026,3.7745216,2025-10-01,0
2027,1.632332,2027-08-26,329
2028,3.8730502,2028-08-18,322
2029,2.5058396,2029-09-19,353
2030,2.7142966,2030-08-07,310
2031,1.5421698,2031-09-14,348
2032,2.9682364,2032-07-22,295
2033,4.3067465,2033-08-05,308
2034,2.063859,2034-07-28,300
2035,3.2794027,2035-09-01,335
2036,1.4000472,2036-06-26,269
2037,0.7668614,2037-07-01,273
2038,9.608857,2038-08-28,331
2039,1.3246784,2039-05-01,212
2040,1.8119707,2040-08-06,310
2041,1.5605373,2041-08-26,329
2042,2.3730836,2042-07-06,278
2043,2.6481884,2043-06-29,271
2044,1.1541249,2044-07-08,281
2045,0.9708319,2045-05-01,212
2046,1.2011253,2046-05-27,238
2047,2.82536,2047-04-07,188
2048,2.8343644,2048-05-29,241
2049,0.29397318,2049-05-29,240
2050,0.6746761,2050-06-05,247
2051,3.539356,2051-05-01,212
2052,0.403032,2052-04-28,210
2053,5.2866154,2053-04-12,193
2054,0.8894459,2054-04-25,206
2055,0.71205795,2055-05-24,235
2056,0.38459924,2056-03-05,156
2057,1.8226995,2057-04-06,187
2058,0.5741594,2058-03-22,172
2059,0.8057407,2059-04-11,192
2060,1.7175763,2060-04-02,184
2061,0.5251894,2061-02-27,149
2062,0.57159394,2062-03-22,172
2063,2.2738218,2063-03-26,176
2064,0.65803564,2064-01-28,119
2065,0.91972256,2065-01-22,113
2066,0.5958191,2066-02-13,135
2067,0.10734125,2067-03-24,174
2068,1.2082138,2068-03-03,154
2069,0.29075938,2069-02-16,138
2070,1.8337656,2070-01-18,109
2071,0.67508733,2071-01-12,103
2072,1.5597112,2072-01-13,104
2073,1.7402943,2072-12-27,87
2074,4.311245,2074-01-17,108
2075,0.5595228,2074-12-20,80
2076,0.0104568545,2075-12-25,85
2077,0.67471355,2076-12-10,70
2078,0.42835715,2077-11-16,46
2079,0.32031137,2078-12-09,69
2080,1.0960119,2080-01-10,101
2081,0.28812668,2081-01-07,98
2082,1.6734588,2081-11-13,43
2083,0.37196827,2082-12-01,61
2084,0.2818625,2083-12-30,90
2085,1.5085164,2084-10-12,11
2086,0.51400137,2085-10-12,11
2087,1.4656743,2086-11-21,51
2088,2.2626715,2087-12-20,80
2089,0.059381213,2089-09-28,362
2090,1.5544275,2089-10-04,3
2091,0.2140735,2090-10-03,2
2092,0.49991506,2091-11-22,52
2093,1.127629,2093-09-27,361
2094,0.6152202,2093-10-01,0
2095,0.0421539,2094-10-17,16
2096,0.035250258,2095-10-06,5
2097,0.721243,2097-08-14,317
